SearchBayesianSkopt: New best config found. Config 0: {'topK': 1405, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.7774926731437998e-05, 'lambda_j': 9.201412058447423e-07, 'learning_rate': 2.7775637774492805e-05} - results: ROC_AUC: 0.0925107, PRECISION: 0.0149503, PRECISION_RECALL_MIN_DEN: 0.0498342, RECALL: 0.0498342, MAP: 0.0243160, MRR: 0.0672546, NDCG: 0.0415791, F1: 0.0230004, HIT_RATE: 0.1495027, ARHR: 0.0700548, RMSE: 0.9841994, NOVELTY: 0.0053389, AVERAGE_POPULARITY: 0.6437369, DIVERSITY_MEAN_INTER_LIST: 0.8319539, DIVERSITY_HERFINDAHL: 0.9831903, COVERAGE_ITEM: 0.3350095, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0856013, SHANNON_ENTROPY: 7.6152547, 
SearchBayesianSkopt: New best config found. Config 30: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 1e-07, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1037735, PRECISION: 0.0156360, PRECISION_RECALL_MIN_DEN: 0.0521200, RECALL: 0.0521200, MAP: 0.0273575, MRR: 0.0753722, NDCG: 0.0455460, F1: 0.0240554, HIT_RATE: 0.1563600, ARHR: 0.0786565, RMSE: 0.9999975, NOVELTY: 0.0064778, AVERAGE_POPULARITY: 0.2512765, DIVERSITY_MEAN_INTER_LIST: 0.9774716, DIVERSITY_HERFINDAHL: 0.9977411, COVERAGE_ITEM: 0.3846986, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1973047, SHANNON_ENTROPY: 10.4084895, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1030304, PRECISION: 0.0155372, PRECISION_RECALL_MIN_DEN: 0.0517905, RECALL: 0.0517905, MAP: 0.0270428, MRR: 0.0746166, NDCG: 0.0451332, F1: 0.0239033, HIT_RATE: 0.1553716, ARHR: 0.0778176, RMSE: 0.9999975, NOVELTY: 0.0064857, AVERAGE_POPULARITY: 0.2521846, DIVERSITY_MEAN_INTER_LIST: 0.9772482, DIVERSITY_HERFINDAHL: 0.9977188, COVERAGE_ITEM: 0.3839416, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1968028, SHANNON_ENTROPY: 10.3959768, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 1e-07, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1030358, PRECISION: 0.0153209, PRECISION_RECALL_MIN_DEN: 0.0510698, RECALL: 0.0510698, MAP: 0.0271294, MRR: 0.0747746, NDCG: 0.0449963, F1: 0.0235707, HIT_RATE: 0.1532094, ARHR: 0.0780281, RMSE: 0.9999975, NOVELTY: 0.0065036, AVERAGE_POPULARITY: 0.2455833, DIVERSITY_MEAN_INTER_LIST: 0.9776248, DIVERSITY_HERFINDAHL: 0.9977564, COVERAGE_ITEM: 0.3859421, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1985377, SHANNON_ENTROPY: 10.4238012, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1031601, PRECISION: 0.0154754, PRECISION_RECALL_MIN_DEN: 0.0515846, RECALL: 0.0515846, MAP: 0.0269517, MRR: 0.0744776, NDCG: 0.0449995, F1: 0.0238083, HIT_RATE: 0.1547538, ARHR: 0.0776026, RMSE: 0.9999975, NOVELTY: 0.0064742, AVERAGE_POPULARITY: 0.2540022, DIVERSITY_MEAN_INTER_LIST: 0.9768954, DIVERSITY_HERFINDAHL: 0.9976835, COVERAGE_ITEM: 0.3834550, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1962179, SHANNON_ENTROPY: 10.3844031, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 241, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 9.73226248678983, 'lambda_j': 7.335159992700922, 'learning_rate': 1.1388531485543474e-06} - results: ROC_AUC: 0.1008158, PRECISION: 0.0160870, PRECISION_RECALL_MIN_DEN: 0.0536233, RECALL: 0.0536233, MAP: 0.0267541, MRR: 0.0735562, NDCG: 0.0452974, F1: 0.0247492, HIT_RATE: 0.1608698, ARHR: 0.0768442, RMSE: 0.9999903, NOVELTY: 0.0056942, AVERAGE_POPULARITY: 0.4916183, DIVERSITY_MEAN_INTER_LIST: 0.9367363, DIVERSITY_HERFINDAHL: 0.9936678, COVERAGE_ITEM: 0.3921060, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1392349, SHANNON_ENTROPY: 9.1862881, 
SearchBayesianSkopt: Config 35 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1034812, PRECISION: 0.0155866, PRECISION_RECALL_MIN_DEN: 0.0519553, RECALL: 0.0519553, MAP: 0.0270498, MRR: 0.0747442, NDCG: 0.0452214, F1: 0.0239794, HIT_RATE: 0.1558658, ARHR: 0.0778952, RMSE: 0.9999975, NOVELTY: 0.0064942, AVERAGE_POPULARITY: 0.2500127, DIVERSITY_MEAN_INTER_LIST: 0.9772476, DIVERSITY_HERFINDAHL: 0.9977187, COVERAGE_ITEM: 0.3877805, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1960818, SHANNON_ENTROPY: 10.4049632, 
SearchBayesianSkopt: Config 36 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1026427, PRECISION: 0.0153148, PRECISION_RECALL_MIN_DEN: 0.0510492, RECALL: 0.0510492, MAP: 0.0271264, MRR: 0.0747017, NDCG: 0.0449641, F1: 0.0235612, HIT_RATE: 0.1531476, ARHR: 0.0779840, RMSE: 0.9999975, NOVELTY: 0.0065148, AVERAGE_POPULARITY: 0.2446873, DIVERSITY_MEAN_INTER_LIST: 0.9777737, DIVERSITY_HERFINDAHL: 0.9977713, COVERAGE_ITEM: 0.3860503, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1988733, SHANNON_ENTROPY: 10.4328673, 
SearchBayesianSkopt: Config 37 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1034123, PRECISION: 0.0154939, PRECISION_RECALL_MIN_DEN: 0.0516464, RECALL: 0.0516464, MAP: 0.0272825, MRR: 0.0752760, NDCG: 0.0453334, F1: 0.0238368, HIT_RATE: 0.1549391, ARHR: 0.0784897, RMSE: 0.9999975, NOVELTY: 0.0064691, AVERAGE_POPULARITY: 0.2565485, DIVERSITY_MEAN_INTER_LIST: 0.9767673, DIVERSITY_HERFINDAHL: 0.9976707, COVERAGE_ITEM: 0.3839416, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1973684, SHANNON_ENTROPY: 10.3905683, 
SearchBayesianSkopt: Config 38 is suboptimal. Config: {'topK': 1787, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.1626106735455567e-07, 'lambda_j': 4.124155562634356e-07, 'learning_rate': 1.2495297955689008e-06} - results: ROC_AUC: 0.0900120, PRECISION: 0.0147835, PRECISION_RECALL_MIN_DEN: 0.0492782, RECALL: 0.0492782, MAP: 0.0238027, MRR: 0.0657815, NDCG: 0.0408275, F1: 0.0227438, HIT_RATE: 0.1478347, ARHR: 0.0685462, RMSE: 0.9996243, NOVELTY: 0.0052242, AVERAGE_POPULARITY: 0.6784446, DIVERSITY_MEAN_INTER_LIST: 0.8111143, DIVERSITY_HERFINDAHL: 0.9811064, COVERAGE_ITEM: 0.2560151, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0660112, SHANNON_ENTROPY: 7.1741797, 
SearchBayesianSkopt: Config 39 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1023072, PRECISION: 0.0154445, PRECISION_RECALL_MIN_DEN: 0.0514816, RECALL: 0.0514816, MAP: 0.0268999, MRR: 0.0741386, NDCG: 0.0448647, F1: 0.0237608, HIT_RATE: 0.1544449, ARHR: 0.0773501, RMSE: 0.9999975, NOVELTY: 0.0064953, AVERAGE_POPULARITY: 0.2484731, DIVERSITY_MEAN_INTER_LIST: 0.9775932, DIVERSITY_HERFINDAHL: 0.9977533, COVERAGE_ITEM: 0.3842119, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1986162, SHANNON_ENTROPY: 10.4201100, 
SearchBayesianSkopt: Config 40 is suboptimal. Config: {'topK': 44, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 5.602110615352455, 'lambda_j': 8.158693689949951, 'learning_rate': 3.972980025849458e-06} - results: ROC_AUC: 0.0981078, PRECISION: 0.0158769, PRECISION_RECALL_MIN_DEN: 0.0529231, RECALL: 0.0529231, MAP: 0.0257307, MRR: 0.0706995, NDCG: 0.0439899, F1: 0.0244261, HIT_RATE: 0.1587694, ARHR: 0.0738859, RMSE: 0.9992349, NOVELTY: 0.0057061, AVERAGE_POPULARITY: 0.4782405, DIVERSITY_MEAN_INTER_LIST: 0.9435310, DIVERSITY_HERFINDAHL: 0.9943473, COVERAGE_ITEM: 0.3831846, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1352266, SHANNON_ENTROPY: 9.2371094, 
SearchBayesianSkopt: Config 41 is suboptimal. Config: {'topK': 33, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 8.654144704540595, 'lambda_j': 1.7102574557981419e-06, 'learning_rate': 1.0448966248913529e-06} - results: ROC_AUC: 0.1010081, PRECISION: 0.0163279, PRECISION_RECALL_MIN_DEN: 0.0544264, RECALL: 0.0544264, MAP: 0.0264722, MRR: 0.0730672, NDCG: 0.0453048, F1: 0.0251199, HIT_RATE: 0.1632792, ARHR: 0.0761777, RMSE: 0.9999107, NOVELTY: 0.0056114, AVERAGE_POPULARITY: 0.4894196, DIVERSITY_MEAN_INTER_LIST: 0.9434451, DIVERSITY_HERFINDAHL: 0.9943387, COVERAGE_ITEM: 0.3494458, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1200319, SHANNON_ENTROPY: 9.0736111, 
SearchBayesianSkopt: Config 42 is suboptimal. Config: {'topK': 1990, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.267162522518605e-07, 'lambda_j': 6.775123841215224, 'learning_rate': 1.7570427347450981e-06} - results: ROC_AUC: 0.0905994, PRECISION: 0.0147402, PRECISION_RECALL_MIN_DEN: 0.0491341, RECALL: 0.0491341, MAP: 0.0236895, MRR: 0.0656091, NDCG: 0.0407082, F1: 0.0226773, HIT_RATE: 0.1474022, ARHR: 0.0682855, RMSE: 0.9999867, NOVELTY: 0.0052398, AVERAGE_POPULARITY: 0.6699270, DIVERSITY_MEAN_INTER_LIST: 0.8219042, DIVERSITY_HERFINDAHL: 0.9821853, COVERAGE_ITEM: 0.2591511, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0687621, SHANNON_ENTROPY: 7.2877846, 
SearchBayesianSkopt: Config 43 is suboptimal. Config: {'topK': 82, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.0468992720442914e-07, 'lambda_j': 9.35256630703296, 'learning_rate': 0.0006758633328118823} - results: ROC_AUC: 0.0972858, PRECISION: 0.0156978, PRECISION_RECALL_MIN_DEN: 0.0523259, RECALL: 0.0523259, MAP: 0.0255246, MRR: 0.0705353, NDCG: 0.0436427, F1: 0.0241504, HIT_RATE: 0.1569778, ARHR: 0.0734953, RMSE: 0.9384695, NOVELTY: 0.0056256, AVERAGE_POPULARITY: 0.5090692, DIVERSITY_MEAN_INTER_LIST: 0.9315578, DIVERSITY_HERFINDAHL: 0.9931500, COVERAGE_ITEM: 0.3706948, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1255219, SHANNON_ENTROPY: 8.9806578, 
SearchBayesianSkopt: Config 44 is suboptimal. Config: {'topK': 51, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 8.382945576219743, 'lambda_j': 5.222366086418543, 'learning_rate': 2.8127111055784466e-06} - results: ROC_AUC: 0.0995690, PRECISION: 0.0160252, PRECISION_RECALL_MIN_DEN: 0.0534174, RECALL: 0.0534174, MAP: 0.0261645, MRR: 0.0720985, NDCG: 0.0446455, F1: 0.0246542, HIT_RATE: 0.1602521, ARHR: 0.0752385, RMSE: 0.9997217, NOVELTY: 0.0055555, AVERAGE_POPULARITY: 0.5107745, DIVERSITY_MEAN_INTER_LIST: 0.9360158, DIVERSITY_HERFINDAHL: 0.9935958, COVERAGE_ITEM: 0.3318194, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1123098, SHANNON_ENTROPY: 8.8735793, 
SearchBayesianSkopt: Config 45 is suboptimal. Config: {'topK': 213, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 3.971981364074072, 'lambda_j': 2.1519840578818894e-07, 'learning_rate': 1.1266647261427982e-06} - results: ROC_AUC: 0.1013841, PRECISION: 0.0161364, PRECISION_RECALL_MIN_DEN: 0.0537880, RECALL: 0.0537880, MAP: 0.0267523, MRR: 0.0734534, NDCG: 0.0453439, F1: 0.0248252, HIT_RATE: 0.1613641, ARHR: 0.0767796, RMSE: 0.9999908, NOVELTY: 0.0057083, AVERAGE_POPULARITY: 0.4863670, DIVERSITY_MEAN_INTER_LIST: 0.9385796, DIVERSITY_HERFINDAHL: 0.9938522, COVERAGE_ITEM: 0.3880508, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1424568, SHANNON_ENTROPY: 9.2310665, 
SearchBayesianSkopt: Config 46 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 1e-07, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1015264, PRECISION: 0.0152715, PRECISION_RECALL_MIN_DEN: 0.0509050, RECALL: 0.0509050, MAP: 0.0268264, MRR: 0.0739519, NDCG: 0.0446095, F1: 0.0234946, HIT_RATE: 0.1527151, ARHR: 0.0771650, RMSE: 0.9999975, NOVELTY: 0.0065029, AVERAGE_POPULARITY: 0.2473629, DIVERSITY_MEAN_INTER_LIST: 0.9774028, DIVERSITY_HERFINDAHL: 0.9977342, COVERAGE_ITEM: 0.3858881, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1980332, SHANNON_ENTROPY: 10.4192888, 
SearchBayesianSkopt: Config 47 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1031173, PRECISION: 0.0157287, PRECISION_RECALL_MIN_DEN: 0.0524289, RECALL: 0.0524289, MAP: 0.0268753, MRR: 0.0740558, NDCG: 0.0451480, F1: 0.0241980, HIT_RATE: 0.1572867, ARHR: 0.0772916, RMSE: 0.9998943, NOVELTY: 0.0061852, AVERAGE_POPULARITY: 0.3219456, DIVERSITY_MEAN_INTER_LIST: 0.9666134, DIVERSITY_HERFINDAHL: 0.9966554, COVERAGE_ITEM: 0.3698838, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1597825, SHANNON_ENTROPY: 9.8427984, 
SearchBayesianSkopt: Config 48 is suboptimal. Config: {'topK': 1919, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.3951410397095643e-07, 'lambda_j': 9.633196940075177, 'learning_rate': 1.1432123277610094e-06} - results: ROC_AUC: 0.0900138, PRECISION: 0.0146784, PRECISION_RECALL_MIN_DEN: 0.0489282, RECALL: 0.0489282, MAP: 0.0234961, MRR: 0.0651158, NDCG: 0.0404480, F1: 0.0225822, HIT_RATE: 0.1467845, ARHR: 0.0677519, RMSE: 0.9996544, NOVELTY: 0.0052206, AVERAGE_POPULARITY: 0.6800260, DIVERSITY_MEAN_INTER_LIST: 0.8098845, DIVERSITY_HERFINDAHL: 0.9809834, COVERAGE_ITEM: 0.2571506, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0648411, SHANNON_ENTROPY: 7.1574398, 
SearchBayesianSkopt: Config 49 is suboptimal. Config: {'topK': 42, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 3.4638550984154627e-07, 'lambda_j': 2.891378040577448e-06, 'learning_rate': 0.0008342880265481001} - results: ROC_AUC: 0.0992934, PRECISION: 0.0159387, PRECISION_RECALL_MIN_DEN: 0.0531291, RECALL: 0.0531291, MAP: 0.0260004, MRR: 0.0715451, NDCG: 0.0443654, F1: 0.0245211, HIT_RATE: 0.1593872, ARHR: 0.0747080, RMSE: 0.9563365, NOVELTY: 0.0055849, AVERAGE_POPULARITY: 0.4972319, DIVERSITY_MEAN_INTER_LIST: 0.9418343, DIVERSITY_HERFINDAHL: 0.9941776, COVERAGE_ITEM: 0.3350635, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1169689, SHANNON_ENTROPY: 8.9882486, 
SearchBayesianSkopt: Config 50 is suboptimal. Config: {'topK': 43, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.6569045691386622, 'lambda_j': 5.2033979142884235, 'learning_rate': 0.0008556647635017175} - results: ROC_AUC: 0.0948099, PRECISION: 0.0153765, PRECISION_RECALL_MIN_DEN: 0.0512551, RECALL: 0.0512551, MAP: 0.0242517, MRR: 0.0667988, NDCG: 0.0419594, F1: 0.0236562, HIT_RATE: 0.1537654, ARHR: 0.0697163, RMSE: 0.9366036, NOVELTY: 0.0057599, AVERAGE_POPULARITY: 0.4606979, DIVERSITY_MEAN_INTER_LIST: 0.9499514, DIVERSITY_HERFINDAHL: 0.9949893, COVERAGE_ITEM: 0.3845904, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1447542, SHANNON_ENTROPY: 9.4228027, 
SearchBayesianSkopt: Config 51 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 1e-07, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1027936, PRECISION: 0.0154445, PRECISION_RECALL_MIN_DEN: 0.0514816, RECALL: 0.0514816, MAP: 0.0270758, MRR: 0.0744518, NDCG: 0.0450286, F1: 0.0237608, HIT_RATE: 0.1544449, ARHR: 0.0777762, RMSE: 0.9999975, NOVELTY: 0.0064774, AVERAGE_POPULARITY: 0.2521527, DIVERSITY_MEAN_INTER_LIST: 0.9771855, DIVERSITY_HERFINDAHL: 0.9977125, COVERAGE_ITEM: 0.3835091, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1970791, SHANNON_ENTROPY: 10.3977103, 
SearchBayesianSkopt: Config 52 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 1e-07, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1030377, PRECISION: 0.0152715, PRECISION_RECALL_MIN_DEN: 0.0509050, RECALL: 0.0509050, MAP: 0.0269743, MRR: 0.0744559, NDCG: 0.0448022, F1: 0.0234946, HIT_RATE: 0.1527151, ARHR: 0.0776363, RMSE: 0.9999975, NOVELTY: 0.0064935, AVERAGE_POPULARITY: 0.2516474, DIVERSITY_MEAN_INTER_LIST: 0.9770311, DIVERSITY_HERFINDAHL: 0.9976971, COVERAGE_ITEM: 0.3861044, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1964094, SHANNON_ENTROPY: 10.4021839, 
SearchBayesianSkopt: Config 53 is suboptimal. Config: {'topK': 1885, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 7.385522486316042, 'lambda_j': 5.964787111873235, 'learning_rate': 1.0082122500786876e-06} - results: ROC_AUC: 0.0967686, PRECISION: 0.0156113, PRECISION_RECALL_MIN_DEN: 0.0520376, RECALL: 0.0520376, MAP: 0.0255552, MRR: 0.0703081, NDCG: 0.0435337, F1: 0.0240174, HIT_RATE: 0.1561129, ARHR: 0.0734216, RMSE: 0.9999849, NOVELTY: 0.0054873, AVERAGE_POPULARITY: 0.5858673, DIVERSITY_MEAN_INTER_LIST: 0.8775388, DIVERSITY_HERFINDAHL: 0.9877485, COVERAGE_ITEM: 0.3746418, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1102269, SHANNON_ENTROPY: 8.2833654, 
SearchBayesianSkopt: Config 54 is suboptimal. Config: {'topK': 1999, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.0208923338478026, 'lambda_j': 2.649909820696328e-07, 'learning_rate': 1.029139860638135e-06} - results: ROC_AUC: 0.0917913, PRECISION: 0.0148452, PRECISION_RECALL_MIN_DEN: 0.0494842, RECALL: 0.0494842, MAP: 0.0241349, MRR: 0.0667417, NDCG: 0.0412742, F1: 0.0228388, HIT_RATE: 0.1484525, ARHR: 0.0695218, RMSE: 0.9993747, NOVELTY: 0.0053237, AVERAGE_POPULARITY: 0.6518034, DIVERSITY_MEAN_INTER_LIST: 0.8239920, DIVERSITY_HERFINDAHL: 0.9823941, COVERAGE_ITEM: 0.3313869, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0834736, SHANNON_ENTROPY: 7.5316835, 
SearchBayesianSkopt: Config 55 is suboptimal. Config: {'topK': 51, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 6.842333933259799, 'lambda_j': 3.5020623277069797e-07, 'learning_rate': 1.57141983109082e-06} - results: ROC_AUC: 0.0995877, PRECISION: 0.0159449, PRECISION_RECALL_MIN_DEN: 0.0531496, RECALL: 0.0531496, MAP: 0.0260737, MRR: 0.0719608, NDCG: 0.0444838, F1: 0.0245306, HIT_RATE: 0.1594489, ARHR: 0.0750326, RMSE: 0.9998435, NOVELTY: 0.0055577, AVERAGE_POPULARITY: 0.5097085, DIVERSITY_MEAN_INTER_LIST: 0.9364878, DIVERSITY_HERFINDAHL: 0.9936430, COVERAGE_ITEM: 0.3338200, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1124810, SHANNON_ENTROPY: 8.8783241, 
SearchBayesianSkopt: Config 56 is suboptimal. Config: {'topK': 74, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.2454651260271334, 'lambda_j': 9.115656124162962, 'learning_rate': 0.0006380999248140796} - results: ROC_AUC: 0.0959028, PRECISION: 0.0162044, PRECISION_RECALL_MIN_DEN: 0.0540145, RECALL: 0.0540145, MAP: 0.0240123, MRR: 0.0662713, NDCG: 0.0425921, F1: 0.0249298, HIT_RATE: 0.1620436, ARHR: 0.0690937, RMSE: 0.9988933, NOVELTY: 0.0056878, AVERAGE_POPULARITY: 0.4484681, DIVERSITY_MEAN_INTER_LIST: 0.9585522, DIVERSITY_HERFINDAHL: 0.9958493, COVERAGE_ITEM: 0.3366315, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1351211, SHANNON_ENTROPY: 9.4192985, 
SearchBayesianSkopt: Config 57 is suboptimal. Config: {'topK': 145, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.3569046589282128e-07, 'lambda_j': 4.1467812488065515e-07, 'learning_rate': 0.00093870261599209} - results: ROC_AUC: 0.0971368, PRECISION: 0.0156175, PRECISION_RECALL_MIN_DEN: 0.0520582, RECALL: 0.0520582, MAP: 0.0254984, MRR: 0.0705935, NDCG: 0.0435517, F1: 0.0240269, HIT_RATE: 0.1561747, ARHR: 0.0734774, RMSE: 0.9363217, NOVELTY: 0.0055705, AVERAGE_POPULARITY: 0.5319314, DIVERSITY_MEAN_INTER_LIST: 0.9203246, DIVERSITY_HERFINDAHL: 0.9920268, COVERAGE_ITEM: 0.3628548, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1186065, SHANNON_ENTROPY: 8.7719083, 
SearchBayesianSkopt: Config 58 is suboptimal. Config: {'topK': 80, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.6677211599499966, 'lambda_j': 4.3364310514045705, 'learning_rate': 1.0813447574342566e-06} - results: ROC_AUC: 0.1032716, PRECISION: 0.0166677, PRECISION_RECALL_MIN_DEN: 0.0555590, RECALL: 0.0555590, MAP: 0.0267783, MRR: 0.0738385, NDCG: 0.0459881, F1: 0.0256426, HIT_RATE: 0.1666770, ARHR: 0.0770199, RMSE: 0.9999973, NOVELTY: 0.0056096, AVERAGE_POPULARITY: 0.4853543, DIVERSITY_MEAN_INTER_LIST: 0.9453891, DIVERSITY_HERFINDAHL: 0.9945331, COVERAGE_ITEM: 0.3307921, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1209618, SHANNON_ENTROPY: 9.0908438, 
SearchBayesianSkopt: Config 59 is suboptimal. Config: {'topK': 39, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 3.510600085779743e-07, 'lambda_j': 2.851296162805744e-07, 'learning_rate': 1.152725443629503e-06} - results: ROC_AUC: 0.1002283, PRECISION: 0.0161858, PRECISION_RECALL_MIN_DEN: 0.0539528, RECALL: 0.0539528, MAP: 0.0261998, MRR: 0.0720141, NDCG: 0.0448177, F1: 0.0249013, HIT_RATE: 0.1618583, ARHR: 0.0752435, RMSE: 0.9998955, NOVELTY: 0.0055913, AVERAGE_POPULARITY: 0.4968110, DIVERSITY_MEAN_INTER_LIST: 0.9416218, DIVERSITY_HERFINDAHL: 0.9941564, COVERAGE_ITEM: 0.3452825, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1169701, SHANNON_ENTROPY: 9.0063002, 
SearchBayesianSkopt: Config 60 is suboptimal. Config: {'topK': 20, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.3104163240538886e-07, 'lambda_j': 2.827068480590482e-07, 'learning_rate': 1.1503177014763594e-06} - results: ROC_AUC: 0.1019731, PRECISION: 0.0162476, PRECISION_RECALL_MIN_DEN: 0.0541587, RECALL: 0.0541587, MAP: 0.0267204, MRR: 0.0735098, NDCG: 0.0454567, F1: 0.0249963, HIT_RATE: 0.1624761, ARHR: 0.0767845, RMSE: 0.9999162, NOVELTY: 0.0056942, AVERAGE_POPULARITY: 0.4606983, DIVERSITY_MEAN_INTER_LIST: 0.9515909, DIVERSITY_HERFINDAHL: 0.9951532, COVERAGE_ITEM: 0.3597729, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1280948, SHANNON_ENTROPY: 9.2865536, 
