CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 23, 'shrink': 570, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.8843630186261162, 'tversky_beta': 0.31487249295509706} - results: ROC_AUC: 0.039028±0.0016, PRECISION: 0.006061±0.0002, PRECISION_RECALL_MIN_DEN: 0.060614±0.0023, RECALL: 0.060614±0.0023, MAP: 0.025664±0.0010, MRR: 0.025664±0.0010, NDCG: 0.033829±0.0010, F1: 0.011021±0.0004, HIT_RATE: 0.060614±0.0023, ARHR: 0.025664±0.0010, RMSE: 0.971204±0.0001, NOVELTY: 0.005421±0.0000, AVERAGE_POPULARITY: 0.503474±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.941704±0.0003, DIVERSITY_HERFINDAHL: 0.994146±0.0000, COVERAGE_ITEM: 0.053712±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.217987±0.0007, SHANNON_ENTROPY: 8.130869±0.0044, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 570, 'shrink': 473, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.780943385530382, 'tversky_beta': 1.3153004676593623} - results: ROC_AUC: 0.028963±0.0005, PRECISION: 0.004433±0.0001, PRECISION_RECALL_MIN_DEN: 0.044332±0.0006, RECALL: 0.044332±0.0006, MAP: 0.019976±0.0010, MRR: 0.019976±0.0010, NDCG: 0.025644±0.0008, F1: 0.008060±0.0001, HIT_RATE: 0.044332±0.0006, ARHR: 0.019976±0.0010, RMSE: 0.921623±0.0009, NOVELTY: 0.005016±0.0000, AVERAGE_POPULARITY: 0.753986±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.707535±0.0007, DIVERSITY_HERFINDAHL: 0.970736±0.0001, COVERAGE_ITEM: 0.021141±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118677±0.0007, SHANNON_ENTROPY: 5.830996±0.0064, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 710, 'shrink': 1402, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.024827034369773, 'tversky_beta': 1.7053017352742317} - results: ROC_AUC: 0.025491±0.0011, PRECISION: 0.003961±0.0002, PRECISION_RECALL_MIN_DEN: 0.039615±0.0023, RECALL: 0.039615±0.0023, MAP: 0.017856±0.0011, MRR: 0.017856±0.0011, NDCG: 0.022901±0.0011, F1: 0.007203±0.0004, HIT_RATE: 0.039615±0.0023, ARHR: 0.017856±0.0011, RMSE: 0.958611±0.0005, NOVELTY: 0.004962±0.0000, AVERAGE_POPULARITY: 0.794891±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.625396±0.0016, DIVERSITY_HERFINDAHL: 0.962524±0.0002, COVERAGE_ITEM: 0.014577±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119112±0.0014, SHANNON_ENTROPY: 5.340548±0.0063, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 556, 'shrink': 1729, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.0420690484635626, 'tversky_beta': 0.7317137858583952} - results: ROC_AUC: 0.025863±0.0008, PRECISION: 0.004012±0.0002, PRECISION_RECALL_MIN_DEN: 0.040122±0.0017, RECALL: 0.040122±0.0017, MAP: 0.017990±0.0012, MRR: 0.017990±0.0012, NDCG: 0.023128±0.0011, F1: 0.007295±0.0003, HIT_RATE: 0.040122±0.0017, ARHR: 0.017990±0.0012, RMSE: 0.960974±0.0005, NOVELTY: 0.004967±0.0000, AVERAGE_POPULARITY: 0.790651±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.640727±0.0011, DIVERSITY_HERFINDAHL: 0.964056±0.0001, COVERAGE_ITEM: 0.015107±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120233±0.0017, SHANNON_ENTROPY: 5.407559±0.0054, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 903, 'shrink': 1075, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.4567561733852378, 'tversky_beta': 1.040034964376547} - results: ROC_AUC: 0.023936±0.0013, PRECISION: 0.003693±0.0002, PRECISION_RECALL_MIN_DEN: 0.036926±0.0017, RECALL: 0.036926±0.0017, MAP: 0.016811±0.0012, MRR: 0.016811±0.0012, NDCG: 0.021481±0.0012, F1: 0.006714±0.0003, HIT_RATE: 0.036926±0.0017, ARHR: 0.016811±0.0012, RMSE: 0.937426±0.0008, NOVELTY: 0.004936±0.0000, AVERAGE_POPULARITY: 0.816401±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.569235±0.0012, DIVERSITY_HERFINDAHL: 0.956909±0.0001, COVERAGE_ITEM: 0.011344±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124228±0.0010, SHANNON_ENTROPY: 5.054333±0.0063, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 580, 'shrink': 247, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.9340956705315802, 'tversky_beta': 1.3866404661680443} - results: ROC_AUC: 0.037022±0.0015, PRECISION: 0.005711±0.0002, PRECISION_RECALL_MIN_DEN: 0.057114±0.0020, RECALL: 0.057114±0.0020, MAP: 0.025387±0.0009, MRR: 0.025387±0.0009, NDCG: 0.032774±0.0010, F1: 0.010384±0.0004, HIT_RATE: 0.057114±0.0020, ARHR: 0.025387±0.0009, RMSE: 0.925069±0.0007, NOVELTY: 0.005237±0.0000, AVERAGE_POPULARITY: 0.608767±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.849922±0.0014, DIVERSITY_HERFINDAHL: 0.984971±0.0001, COVERAGE_ITEM: 0.040833±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.153266±0.0009, SHANNON_ENTROPY: 7.075058±0.0117, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 208, 'shrink': 763, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.6018952592081607, 'tversky_beta': 1.370370648908767} - results: ROC_AUC: 0.029926±0.0008, PRECISION: 0.004656±0.0002, PRECISION_RECALL_MIN_DEN: 0.046564±0.0024, RECALL: 0.046564±0.0024, MAP: 0.020584±0.0009, MRR: 0.020584±0.0009, NDCG: 0.026625±0.0010, F1: 0.008466±0.0004, HIT_RATE: 0.046564±0.0024, ARHR: 0.020584±0.0009, RMSE: 0.953576±0.0007, NOVELTY: 0.005052±0.0000, AVERAGE_POPULARITY: 0.729359±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.773692±0.0007, DIVERSITY_HERFINDAHL: 0.977350±0.0001, COVERAGE_ITEM: 0.027034±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123256±0.0003, SHANNON_ENTROPY: 6.224602±0.0039, 
CrossSearchBayesianSkopt: New best config found. Config 33: {'topK': 680, 'shrink': 138, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.3758878681475635, 'tversky_beta': 0.39436383456077106} - results: ROC_AUC: 0.039085±0.0013, PRECISION: 0.006061±0.0002, PRECISION_RECALL_MIN_DEN: 0.060614±0.0020, RECALL: 0.060614±0.0020, MAP: 0.026257±0.0010, MRR: 0.026257±0.0010, NDCG: 0.034265±0.0011, F1: 0.011021±0.0004, HIT_RATE: 0.060614±0.0020, ARHR: 0.026257±0.0010, RMSE: 0.847467±0.0011, NOVELTY: 0.005383±0.0000, AVERAGE_POPULARITY: 0.518696±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.895624±0.0012, DIVERSITY_HERFINDAHL: 0.989540±0.0001, COVERAGE_ITEM: 0.047710±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.185745±0.0021, SHANNON_ENTROPY: 7.614792±0.0085, 
CrossSearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 701, 'shrink': 881, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.1989062203377117, 'tversky_beta': 1.2341960487326202} - results: ROC_AUC: 0.027751±0.0006, PRECISION: 0.004276±0.0001, PRECISION_RECALL_MIN_DEN: 0.042759±0.0013, RECALL: 0.042759±0.0013, MAP: 0.019285±0.0011, MRR: 0.019285±0.0011, NDCG: 0.024741±0.0007, F1: 0.007774±0.0002, HIT_RATE: 0.042759±0.0013, ARHR: 0.019285±0.0011, RMSE: 0.942847±0.0007, NOVELTY: 0.005001±0.0000, AVERAGE_POPULARITY: 0.764217±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.680026±0.0011, DIVERSITY_HERFINDAHL: 0.967985±0.0001, COVERAGE_ITEM: 0.018005±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122253±0.0012, SHANNON_ENTROPY: 5.665633±0.0059, 
CrossSearchBayesianSkopt: New best config found. Config 35: {'topK': 28, 'shrink': 603, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.6073141916026545, 'tversky_beta': 0.796039467331102} - results: ROC_AUC: 0.041074±0.0011, PRECISION: 0.006264±0.0002, PRECISION_RECALL_MIN_DEN: 0.062643±0.0016, RECALL: 0.062643±0.0016, MAP: 0.026983±0.0007, MRR: 0.026983±0.0007, NDCG: 0.035339±0.0005, F1: 0.011390±0.0003, HIT_RATE: 0.062643±0.0016, ARHR: 0.026983±0.0007, RMSE: 0.978160±0.0002, NOVELTY: 0.005476±0.0000, AVERAGE_POPULARITY: 0.477976±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.947713±0.0003, DIVERSITY_HERFINDAHL: 0.994747±0.0000, COVERAGE_ITEM: 0.058697±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.224756±0.0016, SHANNON_ENTROPY: 8.301250±0.0059, 
CrossSearchBayesianSkopt: Config 36 is suboptimal. Config: {'topK': 352, 'shrink': 1890, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.3839470174818036, 'tversky_beta': 0.4681612459036445} - results: ROC_AUC: 0.027836±0.0007, PRECISION: 0.004281±0.0001, PRECISION_RECALL_MIN_DEN: 0.042810±0.0014, RECALL: 0.042810±0.0014, MAP: 0.019085±0.0010, MRR: 0.019085±0.0010, NDCG: 0.024609±0.0008, F1: 0.007784±0.0003, HIT_RATE: 0.042810±0.0014, ARHR: 0.019085±0.0010, RMSE: 0.967242±0.0004, NOVELTY: 0.005006±0.0000, AVERAGE_POPULARITY: 0.760589±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.709301±0.0009, DIVERSITY_HERFINDAHL: 0.970912±0.0001, COVERAGE_ITEM: 0.019789±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120866±0.0014, SHANNON_ENTROPY: 5.788066±0.0065, 
CrossSearchBayesianSkopt: Config 37 is suboptimal. Config: {'topK': 765, 'shrink': 1886, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.9065103390284248, 'tversky_beta': 1.4198510035150633} - results: ROC_AUC: 0.024420±0.0010, PRECISION: 0.003733±0.0002, PRECISION_RECALL_MIN_DEN: 0.037332±0.0017, RECALL: 0.037332±0.0017, MAP: 0.017101±0.0013, MRR: 0.017101±0.0013, NDCG: 0.021806±0.0012, F1: 0.006788±0.0003, HIT_RATE: 0.037332±0.0017, ARHR: 0.017101±0.0013, RMSE: 0.963835±0.0005, NOVELTY: 0.004945±0.0000, AVERAGE_POPULARITY: 0.808351±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.592323±0.0008, DIVERSITY_HERFINDAHL: 0.959217±0.0001, COVERAGE_ITEM: 0.012641±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120798±0.0021, SHANNON_ENTROPY: 5.166196±0.0028, 
CrossSearchBayesianSkopt: Config 38 is suboptimal. Config: {'topK': 847, 'shrink': 1369, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.5670152377796144, 'tversky_beta': 1.5949566323360658} - results: ROC_AUC: 0.023834±0.0013, PRECISION: 0.003733±0.0002, PRECISION_RECALL_MIN_DEN: 0.037332±0.0021, RECALL: 0.037332±0.0021, MAP: 0.016713±0.0013, MRR: 0.016713±0.0013, NDCG: 0.021489±0.0013, F1: 0.006788±0.0004, HIT_RATE: 0.037332±0.0021, ARHR: 0.016713±0.0013, RMSE: 0.953004±0.0006, NOVELTY: 0.004937±0.0000, AVERAGE_POPULARITY: 0.815458±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.574424±0.0008, DIVERSITY_HERFINDAHL: 0.957428±0.0001, COVERAGE_ITEM: 0.011755±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122027±0.0024, SHANNON_ENTROPY: 5.077057±0.0047, 
CrossSearchBayesianSkopt: New best config found. Config 39: {'topK': 7, 'shrink': 432, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.07021662206150238, 'tversky_beta': 1.1891569378003377} - results: ROC_AUC: 0.043278±0.0010, PRECISION: 0.006903±0.0001, PRECISION_RECALL_MIN_DEN: 0.069034±0.0010, RECALL: 0.069034±0.0010, MAP: 0.028185±0.0010, MRR: 0.028185±0.0010, NDCG: 0.037697±0.0007, F1: 0.012552±0.0002, HIT_RATE: 0.069034±0.0010, ARHR: 0.028185±0.0010, RMSE: 0.983247±0.0004, NOVELTY: 0.005506±0.0000, AVERAGE_POPULARITY: 0.464078±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.951819±0.0003, DIVERSITY_HERFINDAHL: 0.995158±0.0000, COVERAGE_ITEM: 0.054642±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.249326±0.0026, SHANNON_ENTROPY: 8.369126±0.0073, 
CrossSearchBayesianSkopt: New best config found. Config 40: {'topK': 22, 'shrink': 72, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.982134181285232, 'tversky_beta': 1.5760835166123923} - results: ROC_AUC: 0.047882±0.0021, PRECISION: 0.007385±0.0003, PRECISION_RECALL_MIN_DEN: 0.073852±0.0034, RECALL: 0.073852±0.0034, MAP: 0.031734±0.0013, MRR: 0.031734±0.0013, NDCG: 0.041574±0.0016, F1: 0.013428±0.0006, HIT_RATE: 0.073852±0.0034, ARHR: 0.031734±0.0013, RMSE: 0.977560±0.0004, NOVELTY: 0.005836±0.0000, AVERAGE_POPULARITY: 0.349401±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.970545±0.0002, DIVERSITY_HERFINDAHL: 0.997030±0.0000, COVERAGE_ITEM: 0.100676±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.247484±0.0011, SHANNON_ENTROPY: 9.197586±0.0039, 
CrossSearchBayesianSkopt: Config 41 is suboptimal. Config: {'topK': 17, 'shrink': 17, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.8416331796854084, 'tversky_beta': 1.1489072970391816} - results: ROC_AUC: 0.047849±0.0022, PRECISION: 0.007400±0.0004, PRECISION_RECALL_MIN_DEN: 0.074005±0.0035, RECALL: 0.074005±0.0035, MAP: 0.031697±0.0016, MRR: 0.031697±0.0016, NDCG: 0.041581±0.0021, F1: 0.013455±0.0006, HIT_RATE: 0.074005±0.0035, ARHR: 0.031697±0.0016, RMSE: 0.972791±0.0006, NOVELTY: 0.006146±0.0000, AVERAGE_POPULARITY: 0.284011±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.977240±0.0001, DIVERSITY_HERFINDAHL: 0.997699±0.0000, COVERAGE_ITEM: 0.175485±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.225494±0.0008, SHANNON_ENTROPY: 9.748058±0.0054, 
CrossSearchBayesianSkopt: Config 42 is suboptimal. Config: {'topK': 36, 'shrink': 110, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.9969850452161342, 'tversky_beta': 1.6522089700108957} - results: ROC_AUC: 0.045853±0.0014, PRECISION: 0.007121±0.0002, PRECISION_RECALL_MIN_DEN: 0.071215±0.0017, RECALL: 0.071215±0.0017, MAP: 0.030337±0.0006, MRR: 0.030337±0.0006, NDCG: 0.039880±0.0009, F1: 0.012948±0.0003, HIT_RATE: 0.071215±0.0017, ARHR: 0.030337±0.0006, RMSE: 0.974873±0.0004, NOVELTY: 0.005694±0.0000, AVERAGE_POPULARITY: 0.398559±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.963469±0.0002, DIVERSITY_HERFINDAHL: 0.996323±0.0000, COVERAGE_ITEM: 0.086650±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.234676±0.0007, SHANNON_ENTROPY: 8.898105±0.0021, 
CrossSearchBayesianSkopt: Config 43 is suboptimal. Config: {'topK': 12, 'shrink': 10, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.9519021043561438, 'tversky_beta': 0.33672349345009894} - results: ROC_AUC: 0.044518±0.0025, PRECISION: 0.006883±0.0003, PRECISION_RECALL_MIN_DEN: 0.068831±0.0031, RECALL: 0.068831±0.0031, MAP: 0.029340±0.0017, MRR: 0.029340±0.0017, NDCG: 0.038563±0.0019, F1: 0.012515±0.0006, HIT_RATE: 0.068831±0.0031, ARHR: 0.029340±0.0017, RMSE: 0.961552±0.0008, NOVELTY: 0.006485±0.0000, AVERAGE_POPULARITY: 0.208673±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.981589±0.0001, DIVERSITY_HERFINDAHL: 0.998134±0.0000, COVERAGE_ITEM: 0.239340±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.242073±0.0006, SHANNON_ENTROPY: 10.199826±0.0082, 
CrossSearchBayesianSkopt: Config 44 is suboptimal. Config: {'topK': 41, 'shrink': 14, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.058086591811513, 'tversky_beta': 1.1810623166584933} - results: ROC_AUC: 0.047110±0.0018, PRECISION: 0.007507±0.0002, PRECISION_RECALL_MIN_DEN: 0.075070±0.0017, RECALL: 0.075070±0.0017, MAP: 0.030947±0.0017, MRR: 0.030947±0.0017, NDCG: 0.041208±0.0017, F1: 0.013649±0.0003, HIT_RATE: 0.075070±0.0017, ARHR: 0.030947±0.0017, RMSE: 0.954012±0.0012, NOVELTY: 0.005757±0.0000, AVERAGE_POPULARITY: 0.399517±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.960682±0.0004, DIVERSITY_HERFINDAHL: 0.996044±0.0000, COVERAGE_ITEM: 0.120368±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.204748±0.0005, SHANNON_ENTROPY: 9.036878±0.0084, 
CrossSearchBayesianSkopt: Config 45 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.038831±0.0020, PRECISION: 0.006122±0.0003, PRECISION_RECALL_MIN_DEN: 0.061222±0.0031, RECALL: 0.061222±0.0031, MAP: 0.025684±0.0017, MRR: 0.025684±0.0017, NDCG: 0.033959±0.0019, F1: 0.011131±0.0006, HIT_RATE: 0.061222±0.0031, ARHR: 0.025684±0.0017, RMSE: 0.984796±0.0008, NOVELTY: 0.007454±0.0000, AVERAGE_POPULARITY: 0.159210±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.988892±0.0001, DIVERSITY_HERFINDAHL: 0.998864±0.0000, COVERAGE_ITEM: 0.415345±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.380318±0.0010, SHANNON_ENTROPY: 11.457727±0.0072, 
CrossSearchBayesianSkopt: Config 46 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.038831±0.0020, PRECISION: 0.006122±0.0003, PRECISION_RECALL_MIN_DEN: 0.061222±0.0031, RECALL: 0.061222±0.0031, MAP: 0.025684±0.0017, MRR: 0.025684±0.0017, NDCG: 0.033959±0.0019, F1: 0.011131±0.0006, HIT_RATE: 0.061222±0.0031, ARHR: 0.025684±0.0017, RMSE: 0.984796±0.0008, NOVELTY: 0.007454±0.0000, AVERAGE_POPULARITY: 0.159210±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.988892±0.0001, DIVERSITY_HERFINDAHL: 0.998864±0.0000, COVERAGE_ITEM: 0.415345±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.380318±0.0010, SHANNON_ENTROPY: 11.457727±0.0072, 
CrossSearchBayesianSkopt: Config 47 is suboptimal. Config: {'topK': 17, 'shrink': 49, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.011333575036745815, 'tversky_beta': 1.7929753125646404} - results: ROC_AUC: 0.048559±0.0011, PRECISION: 0.007821±0.0002, PRECISION_RECALL_MIN_DEN: 0.078215±0.0016, RECALL: 0.078215±0.0016, MAP: 0.031482±0.0012, MRR: 0.031482±0.0012, NDCG: 0.042345±0.0012, F1: 0.014221±0.0003, HIT_RATE: 0.078215±0.0016, ARHR: 0.031482±0.0012, RMSE: 0.973609±0.0010, NOVELTY: 0.005811±0.0000, AVERAGE_POPULARITY: 0.355972±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.967817±0.0001, DIVERSITY_HERFINDAHL: 0.996757±0.0000, COVERAGE_ITEM: 0.092685±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.253453±0.0014, SHANNON_ENTROPY: 9.101669±0.0049, 
CrossSearchBayesianSkopt: Config 48 is suboptimal. Config: {'topK': 62, 'shrink': 28, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.10427639323292295, 'tversky_beta': 0.0756942099538054} - results: ROC_AUC: 0.033736±0.0019, PRECISION: 0.005341±0.0002, PRECISION_RECALL_MIN_DEN: 0.053411±0.0016, RECALL: 0.053411±0.0016, MAP: 0.022273±0.0013, MRR: 0.022273±0.0013, NDCG: 0.029515±0.0014, F1: 0.009711±0.0003, HIT_RATE: 0.053411±0.0016, ARHR: 0.022273±0.0013, RMSE: 0.741087±0.0027, NOVELTY: 0.005396±0.0000, AVERAGE_POPULARITY: 0.519828±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.939061±0.0003, DIVERSITY_HERFINDAHL: 0.993882±0.0000, COVERAGE_ITEM: 0.062482±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.199465±0.0021, SHANNON_ENTROPY: 8.168876±0.0059, 
CrossSearchBayesianSkopt: Config 49 is suboptimal. Config: {'topK': 12, 'shrink': 1965, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.8837298602520358, 'tversky_beta': 1.8573364953968956} - results: ROC_AUC: 0.040206±0.0018, PRECISION: 0.006219±0.0002, PRECISION_RECALL_MIN_DEN: 0.062186±0.0023, RECALL: 0.062186±0.0023, MAP: 0.026232±0.0012, MRR: 0.026232±0.0012, NDCG: 0.034645±0.0013, F1: 0.011307±0.0004, HIT_RATE: 0.062186±0.0023, ARHR: 0.026232±0.0012, RMSE: 0.993665±0.0000, NOVELTY: 0.005444±0.0000, AVERAGE_POPULARITY: 0.491602±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.945640±0.0002, DIVERSITY_HERFINDAHL: 0.994540±0.0000, COVERAGE_ITEM: 0.052901±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.229551±0.0014, SHANNON_ENTROPY: 8.198322±0.0076, 
CrossSearchBayesianSkopt: Config 50 is suboptimal. Config: {'topK': 35, 'shrink': 85, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.9658289480888091, 'tversky_beta': 0.05885420457928349} - results: ROC_AUC: 0.040821±0.0024, PRECISION: 0.006163±0.0003, PRECISION_RECALL_MIN_DEN: 0.061628±0.0026, RECALL: 0.061628±0.0026, MAP: 0.027055±0.0014, MRR: 0.027055±0.0014, NDCG: 0.035163±0.0016, F1: 0.011205±0.0005, HIT_RATE: 0.061628±0.0026, ARHR: 0.027055±0.0014, RMSE: 0.932382±0.0007, NOVELTY: 0.006112±0.0000, AVERAGE_POPULARITY: 0.237527±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.977861±0.0001, DIVERSITY_HERFINDAHL: 0.997761±0.0000, COVERAGE_ITEM: 0.134404±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.263492±0.0014, SHANNON_ENTROPY: 9.675543±0.0073, 
CrossSearchBayesianSkopt: Config 51 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.038831±0.0020, PRECISION: 0.006122±0.0003, PRECISION_RECALL_MIN_DEN: 0.061222±0.0031, RECALL: 0.061222±0.0031, MAP: 0.025684±0.0017, MRR: 0.025684±0.0017, NDCG: 0.033959±0.0019, F1: 0.011131±0.0006, HIT_RATE: 0.061222±0.0031, ARHR: 0.025684±0.0017, RMSE: 0.984796±0.0008, NOVELTY: 0.007454±0.0000, AVERAGE_POPULARITY: 0.159210±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.988892±0.0001, DIVERSITY_HERFINDAHL: 0.998864±0.0000, COVERAGE_ITEM: 0.415345±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.380318±0.0010, SHANNON_ENTROPY: 11.457727±0.0072, 
CrossSearchBayesianSkopt: Config 52 is suboptimal. Config: {'topK': 48, 'shrink': 55, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.9762182955145113, 'tversky_beta': 0.2200212817925134} - results: ROC_AUC: 0.043926±0.0022, PRECISION: 0.006629±0.0003, PRECISION_RECALL_MIN_DEN: 0.066295±0.0030, RECALL: 0.066295±0.0030, MAP: 0.028702±0.0018, MRR: 0.028702±0.0018, NDCG: 0.037520±0.0021, F1: 0.012054±0.0005, HIT_RATE: 0.066295±0.0030, ARHR: 0.028702±0.0018, RMSE: 0.930908±0.0007, NOVELTY: 0.006044±0.0000, AVERAGE_POPULARITY: 0.261825±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.976737±0.0001, DIVERSITY_HERFINDAHL: 0.997649±0.0000, COVERAGE_ITEM: 0.132511±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.252317±0.0008, SHANNON_ENTROPY: 9.593792±0.0058, 
CrossSearchBayesianSkopt: Config 53 is suboptimal. Config: {'topK': 33, 'shrink': 4, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.11109101995655227, 'tversky_beta': 1.7464924340895884} - results: ROC_AUC: 0.046772±0.0024, PRECISION: 0.007182±0.0003, PRECISION_RECALL_MIN_DEN: 0.071823±0.0028, RECALL: 0.071823±0.0028, MAP: 0.031094±0.0021, MRR: 0.031094±0.0021, NDCG: 0.040615±0.0022, F1: 0.013059±0.0005, HIT_RATE: 0.071823±0.0028, ARHR: 0.031094±0.0021, RMSE: 0.968795±0.0011, NOVELTY: 0.006333±0.0000, AVERAGE_POPULARITY: 0.308266±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.974118±0.0001, DIVERSITY_HERFINDAHL: 0.997387±0.0000, COVERAGE_ITEM: 0.347218±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238706±0.0005, SHANNON_ENTROPY: 10.218468±0.0053, 
