CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2129, 'shrink': 1102, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.5006135572348298, 'tversky_beta': 0.37331649326443045} - results: ROC_AUC: 0.023582±0.0008, PRECISION: 0.003871±0.0001, PRECISION_RECALL_MIN_DEN: 0.038708±0.0010, RECALL: 0.038708±0.0010, MAP: 0.014798±0.0005, MRR: 0.014798±0.0005, NDCG: 0.020359±0.0006, F1: 0.007038±0.0002, HIT_RATE: 0.038708±0.0010, ARHR: 0.014798±0.0005, RMSE: 2.344024±0.0324, NOVELTY: 0.005094±0.0000, AVERAGE_POPULARITY: 0.693366±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.843306±0.0003, DIVERSITY_HERFINDAHL: 0.984312±0.0000, COVERAGE_ITEM: 0.037935±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128898±0.0007, SHANNON_ENTROPY: 6.769834±0.0025, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 924, 'shrink': 1581, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.8134514496403966, 'tversky_beta': 0.20934471004330685} - results: ROC_AUC: 0.026639±0.0006, PRECISION: 0.004449±0.0001, PRECISION_RECALL_MIN_DEN: 0.044490±0.0012, RECALL: 0.044490±0.0012, MAP: 0.016371±0.0003, MRR: 0.016371±0.0003, NDCG: 0.022909±0.0004, F1: 0.008089±0.0002, HIT_RATE: 0.044490±0.0012, ARHR: 0.016371±0.0003, RMSE: 1.201777±0.0176, NOVELTY: 0.005296±0.0000, AVERAGE_POPULARITY: 0.575077±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.922001±0.0003, DIVERSITY_HERFINDAHL: 0.992179±0.0000, COVERAGE_ITEM: 0.075210±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.148020±0.0006, SHANNON_ENTROPY: 7.906145±0.0037, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 671, 'shrink': 1570, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.1878556749411386, 'tversky_beta': 1.5682596058055518} - results: ROC_AUC: 0.025439±0.0004, PRECISION: 0.004241±0.0002, PRECISION_RECALL_MIN_DEN: 0.042412±0.0020, RECALL: 0.042412±0.0020, MAP: 0.016147±0.0005, MRR: 0.016147±0.0005, NDCG: 0.022238±0.0004, F1: 0.007711±0.0004, HIT_RATE: 0.042412±0.0020, ARHR: 0.016147±0.0005, RMSE: 0.898023±0.0049, NOVELTY: 0.005196±0.0000, AVERAGE_POPULARITY: 0.632235±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.891852±0.0002, DIVERSITY_HERFINDAHL: 0.989165±0.0000, COVERAGE_ITEM: 0.059443±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133902±0.0011, SHANNON_ENTROPY: 7.417063±0.0041, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 2165, 'shrink': 469, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.30093688802692103, 'tversky_beta': 0.1790965419734092} - results: ROC_AUC: 0.023181±0.0004, PRECISION: 0.003740±0.0000, PRECISION_RECALL_MIN_DEN: 0.037398±0.0005, RECALL: 0.037398±0.0005, MAP: 0.014833±0.0003, MRR: 0.014833±0.0003, NDCG: 0.020086±0.0002, F1: 0.006800±0.0001, HIT_RATE: 0.037398±0.0005, ARHR: 0.014833±0.0003, RMSE: 9.797997±0.1247, NOVELTY: 0.005069±0.0000, AVERAGE_POPULARITY: 0.712665±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.802976±0.0004, DIVERSITY_HERFINDAHL: 0.980279±0.0000, COVERAGE_ITEM: 0.037459±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116259±0.0015, SHANNON_ENTROPY: 6.540748±0.0013, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 395, 'shrink': 278, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.9540465030909087, 'tversky_beta': 1.9594205894174117} - results: ROC_AUC: 0.027125±0.0005, PRECISION: 0.004472±0.0002, PRECISION_RECALL_MIN_DEN: 0.044715±0.0021, RECALL: 0.044715±0.0021, MAP: 0.017131±0.0006, MRR: 0.017131±0.0006, NDCG: 0.023536±0.0007, F1: 0.008130±0.0004, HIT_RATE: 0.044715±0.0021, ARHR: 0.017131±0.0006, RMSE: 2.080483±0.0291, NOVELTY: 0.005400±0.0000, AVERAGE_POPULARITY: 0.526511±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.940884±0.0001, DIVERSITY_HERFINDAHL: 0.994067±0.0000, COVERAGE_ITEM: 0.110084±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144588±0.0008, SHANNON_ENTROPY: 8.345434±0.0020, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 3278, 'shrink': 595, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.3829742018311061, 'tversky_beta': 0.49968183433170565} - results: ROC_AUC: 0.020772±0.0004, PRECISION: 0.003442±0.0001, PRECISION_RECALL_MIN_DEN: 0.034417±0.0005, RECALL: 0.034417±0.0005, MAP: 0.013438±0.0006, MRR: 0.013438±0.0006, NDCG: 0.018298±0.0005, F1: 0.006258±0.0001, HIT_RATE: 0.034417±0.0005, ARHR: 0.013438±0.0006, RMSE: 5.826738±0.0737, NOVELTY: 0.005005±0.0000, AVERAGE_POPULARITY: 0.756667±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.763733±0.0009, DIVERSITY_HERFINDAHL: 0.976356±0.0001, COVERAGE_ITEM: 0.025812±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116308±0.0012, SHANNON_ENTROPY: 6.091976±0.0021, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 1170, 'shrink': 1975, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.7125496035228257, 'tversky_beta': 1.763802276128265} - results: ROC_AUC: 0.025228±0.0005, PRECISION: 0.004164±0.0001, PRECISION_RECALL_MIN_DEN: 0.041644±0.0013, RECALL: 0.041644±0.0013, MAP: 0.016006±0.0006, MRR: 0.016006±0.0006, NDCG: 0.021963±0.0006, F1: 0.007572±0.0002, HIT_RATE: 0.041644±0.0013, ARHR: 0.016006±0.0006, RMSE: 1.540822±0.0232, NOVELTY: 0.005214±0.0000, AVERAGE_POPULARITY: 0.624123±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.890961±0.0001, DIVERSITY_HERFINDAHL: 0.989076±0.0000, COVERAGE_ITEM: 0.065142±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130038±0.0013, SHANNON_ENTROPY: 7.468251±0.0030, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 1234, 'shrink': 1563, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.977725686559777, 'tversky_beta': 0.1405327830225234} - results: ROC_AUC: 0.025233±0.0004, PRECISION: 0.004119±0.0001, PRECISION_RECALL_MIN_DEN: 0.041192±0.0006, RECALL: 0.041192±0.0006, MAP: 0.015987±0.0003, MRR: 0.015987±0.0003, NDCG: 0.021851±0.0003, F1: 0.007490±0.0001, HIT_RATE: 0.041192±0.0006, ARHR: 0.015987±0.0003, RMSE: 1.968369±0.0317, NOVELTY: 0.005206±0.0000, AVERAGE_POPULARITY: 0.628462±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.888230±0.0001, DIVERSITY_HERFINDAHL: 0.988803±0.0000, COVERAGE_ITEM: 0.063185±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130257±0.0016, SHANNON_ENTROPY: 7.429863±0.0032, 
CrossSearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 1826, 'shrink': 1006, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.1014953473271618, 'tversky_beta': 0.23396082660484635} - results: ROC_AUC: 0.024079±0.0005, PRECISION: 0.003880±0.0001, PRECISION_RECALL_MIN_DEN: 0.038799±0.0006, RECALL: 0.038799±0.0006, MAP: 0.015532±0.0005, MRR: 0.015532±0.0005, NDCG: 0.020945±0.0005, F1: 0.007054±0.0001, HIT_RATE: 0.038799±0.0006, ARHR: 0.015532±0.0005, RMSE: 3.865295±0.0546, NOVELTY: 0.005109±0.0000, AVERAGE_POPULARITY: 0.686318±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.836058±0.0004, DIVERSITY_HERFINDAHL: 0.983587±0.0000, COVERAGE_ITEM: 0.043861±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121992±0.0016, SHANNON_ENTROPY: 6.832001±0.0039, 
CrossSearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 1482, 'shrink': 1680, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.7528701314858681, 'tversky_beta': 1.07689735049758} - results: ROC_AUC: 0.024932±0.0010, PRECISION: 0.004115±0.0001, PRECISION_RECALL_MIN_DEN: 0.041147±0.0012, RECALL: 0.041147±0.0012, MAP: 0.015526±0.0007, MRR: 0.015526±0.0007, NDCG: 0.021482±0.0007, F1: 0.007481±0.0002, HIT_RATE: 0.041147±0.0012, ARHR: 0.015526±0.0007, RMSE: 1.337926±0.0212, NOVELTY: 0.005173±0.0000, AVERAGE_POPULARITY: 0.643601±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.883314±0.0001, DIVERSITY_HERFINDAHL: 0.988311±0.0000, COVERAGE_ITEM: 0.051322±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136083±0.0015, SHANNON_ENTROPY: 7.261279±0.0020, 
CrossSearchBayesianSkopt: Config 35 is suboptimal. Config: {'topK': 3482, 'shrink': 128, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.6361410528285812, 'tversky_beta': 1.056037670162982} - results: ROC_AUC: 0.021645±0.0007, PRECISION: 0.003586±0.0001, PRECISION_RECALL_MIN_DEN: 0.035863±0.0010, RECALL: 0.035863±0.0010, MAP: 0.014038±0.0005, MRR: 0.014038±0.0005, NDCG: 0.019091±0.0004, F1: 0.006520±0.0002, HIT_RATE: 0.035863±0.0010, ARHR: 0.014038±0.0005, RMSE: 13.585309±0.1390, NOVELTY: 0.005020±0.0000, AVERAGE_POPULARITY: 0.741595±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.793291±0.0008, DIVERSITY_HERFINDAHL: 0.979311±0.0001, COVERAGE_ITEM: 0.024158±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129520±0.0020, SHANNON_ENTROPY: 6.204522±0.0044, 
CrossSearchBayesianSkopt: Config 36 is suboptimal. Config: {'topK': 1130, 'shrink': 1131, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.2691024526721322, 'tversky_beta': 1.7932988192783186} - results: ROC_AUC: 0.025344±0.0007, PRECISION: 0.004119±0.0002, PRECISION_RECALL_MIN_DEN: 0.041192±0.0016, RECALL: 0.041192±0.0016, MAP: 0.016053±0.0004, MRR: 0.016053±0.0004, NDCG: 0.021906±0.0006, F1: 0.007490±0.0003, HIT_RATE: 0.041192±0.0016, ARHR: 0.016053±0.0004, RMSE: 2.157597±0.0326, NOVELTY: 0.005213±0.0000, AVERAGE_POPULARITY: 0.622622±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.893566±0.0001, DIVERSITY_HERFINDAHL: 0.989336±0.0000, COVERAGE_ITEM: 0.062936±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132090±0.0008, SHANNON_ENTROPY: 7.467576±0.0039, 
CrossSearchBayesianSkopt: Config 37 is suboptimal. Config: {'topK': 1140, 'shrink': 1040, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.30706511620493454, 'tversky_beta': 0.31752574623985136} - results: ROC_AUC: 0.025735±0.0007, PRECISION: 0.004196±0.0002, PRECISION_RECALL_MIN_DEN: 0.041960±0.0015, RECALL: 0.041960±0.0015, MAP: 0.016403±0.0008, MRR: 0.016403±0.0008, NDCG: 0.022346±0.0009, F1: 0.007629±0.0003, HIT_RATE: 0.041960±0.0015, ARHR: 0.016403±0.0008, RMSE: 2.889914±0.0469, NOVELTY: 0.005227±0.0000, AVERAGE_POPULARITY: 0.617874±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.894591±0.0003, DIVERSITY_HERFINDAHL: 0.989439±0.0000, COVERAGE_ITEM: 0.068765±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130475±0.0012, SHANNON_ENTROPY: 7.537132±0.0035, 
CrossSearchBayesianSkopt: Config 38 is suboptimal. Config: {'topK': 1676, 'shrink': 961, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.42239616907811717, 'tversky_beta': 0.24620196823774237} - results: ROC_AUC: 0.022463±0.0006, PRECISION: 0.003650±0.0001, PRECISION_RECALL_MIN_DEN: 0.036495±0.0010, RECALL: 0.036495±0.0010, MAP: 0.014339±0.0007, MRR: 0.014339±0.0007, NDCG: 0.019493±0.0006, F1: 0.006635±0.0002, HIT_RATE: 0.036495±0.0010, ARHR: 0.014339±0.0007, RMSE: 1.096081±0.0157, NOVELTY: 0.005029±0.0000, AVERAGE_POPULARITY: 0.740806±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.778507±0.0009, DIVERSITY_HERFINDAHL: 0.977833±0.0001, COVERAGE_ITEM: 0.030030±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117639±0.0013, SHANNON_ENTROPY: 6.283916±0.0046, 
CrossSearchBayesianSkopt: Config 39 is suboptimal. Config: {'topK': 3646, 'shrink': 263, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.837736780502413, 'tversky_beta': 0.1882027753441729} - results: ROC_AUC: 0.019949±0.0004, PRECISION: 0.003243±0.0001, PRECISION_RECALL_MIN_DEN: 0.032430±0.0012, RECALL: 0.032430±0.0012, MAP: 0.012843±0.0005, MRR: 0.012843±0.0005, NDCG: 0.017397±0.0005, F1: 0.005896±0.0002, HIT_RATE: 0.032430±0.0012, ARHR: 0.012843±0.0005, RMSE: 16.053898±0.1741, NOVELTY: 0.004975±0.0000, AVERAGE_POPULARITY: 0.780869±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.695982±0.0012, DIVERSITY_HERFINDAHL: 0.969582±0.0001, COVERAGE_ITEM: 0.023260±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.103702±0.0007, SHANNON_ENTROPY: 5.751189±0.0035, 
CrossSearchBayesianSkopt: Config 40 is suboptimal. Config: {'topK': 5, 'shrink': 1936, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.12579567182509901, 'tversky_beta': 1.6893647403553882} - results: ROC_AUC: 0.004391±0.0006, PRECISION: 0.000754±0.0001, PRECISION_RECALL_MIN_DEN: 0.007543±0.0008, RECALL: 0.007543±0.0008, MAP: 0.002951±0.0007, MRR: 0.002951±0.0007, NDCG: 0.004005±0.0006, F1: 0.001371±0.0002, HIT_RATE: 0.007543±0.0008, ARHR: 0.002951±0.0007, RMSE: 0.993397±0.0003, NOVELTY: 0.007526±0.0001, AVERAGE_POPULARITY: 0.075109±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.984045±0.0006, DIVERSITY_HERFINDAHL: 0.998382±0.0001, COVERAGE_ITEM: 0.617021±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.512648±0.0020, SHANNON_ENTROPY: 12.350540±0.0218, 
CrossSearchBayesianSkopt: Config 41 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.002354±0.0005, PRECISION: 0.000393±0.0000, PRECISION_RECALL_MIN_DEN: 0.003930±0.0004, RECALL: 0.003930±0.0004, MAP: 0.001327±0.0003, MRR: 0.001327±0.0003, NDCG: 0.001936±0.0003, F1: 0.000714±0.0001, HIT_RATE: 0.003930±0.0004, ARHR: 0.001327±0.0003, RMSE: 1.142083±0.0363, NOVELTY: 0.007560±0.0002, AVERAGE_POPULARITY: 0.044189±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.872938±0.0009, DIVERSITY_HERFINDAHL: 0.987274±0.0001, COVERAGE_ITEM: 0.458178±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.365146±0.0016, SHANNON_ENTROPY: 10.045826±0.0147, 
CrossSearchBayesianSkopt: Config 42 is suboptimal. Config: {'topK': 4000, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.018689±0.0010, PRECISION: 0.003031±0.0001, PRECISION_RECALL_MIN_DEN: 0.030307±0.0009, RECALL: 0.030307±0.0009, MAP: 0.012105±0.0007, MRR: 0.012105±0.0007, NDCG: 0.016335±0.0007, F1: 0.005510±0.0002, HIT_RATE: 0.030307±0.0009, ARHR: 0.012105±0.0007, RMSE: 2.997403±0.0401, NOVELTY: 0.004954±0.0000, AVERAGE_POPULARITY: 0.798044±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.621234±0.0006, DIVERSITY_HERFINDAHL: 0.962109±0.0001, COVERAGE_ITEM: 0.020708±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.093758±0.0012, SHANNON_ENTROPY: 5.418660±0.0035, 
CrossSearchBayesianSkopt: Config 43 is suboptimal. Config: {'topK': 3987, 'shrink': 301, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.9422231480561758, 'tversky_beta': 1.844751266327235} - results: ROC_AUC: 0.018383±0.0004, PRECISION: 0.002958±0.0001, PRECISION_RECALL_MIN_DEN: 0.029584±0.0011, RECALL: 0.029584±0.0011, MAP: 0.012021±0.0007, MRR: 0.012021±0.0007, NDCG: 0.016103±0.0005, F1: 0.005379±0.0002, HIT_RATE: 0.029584±0.0011, ARHR: 0.012021±0.0007, RMSE: 2.083493±0.0336, NOVELTY: 0.004918±0.0000, AVERAGE_POPULARITY: 0.827702±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.580092±0.0015, DIVERSITY_HERFINDAHL: 0.957996±0.0002, COVERAGE_ITEM: 0.013279±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111321±0.0016, SHANNON_ENTROPY: 5.114120±0.0044, 
CrossSearchBayesianSkopt: Config 44 is suboptimal. Config: {'topK': 3509, 'shrink': 1867, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.998375153343848, 'tversky_beta': 1.823635976203836} - results: ROC_AUC: 0.019778±0.0007, PRECISION: 0.003266±0.0001, PRECISION_RECALL_MIN_DEN: 0.032656±0.0010, RECALL: 0.032656±0.0010, MAP: 0.012744±0.0006, MRR: 0.012744±0.0006, NDCG: 0.017366±0.0006, F1: 0.005937±0.0002, HIT_RATE: 0.032656±0.0010, ARHR: 0.012744±0.0006, RMSE: 2.745629±0.0377, NOVELTY: 0.004976±0.0000, AVERAGE_POPULARITY: 0.780796±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.675916±0.0008, DIVERSITY_HERFINDAHL: 0.967576±0.0001, COVERAGE_ITEM: 0.023650±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100038±0.0008, SHANNON_ENTROPY: 5.694749±0.0018, 
CrossSearchBayesianSkopt: Config 45 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.003127±0.0006, PRECISION: 0.000501±0.0001, PRECISION_RECALL_MIN_DEN: 0.005014±0.0009, RECALL: 0.005014±0.0009, MAP: 0.002033±0.0004, MRR: 0.002033±0.0004, NDCG: 0.002726±0.0005, F1: 0.000912±0.0002, HIT_RATE: 0.005014±0.0009, ARHR: 0.002033±0.0004, RMSE: 1.066305±0.0307, NOVELTY: 0.007321±0.0002, AVERAGE_POPULARITY: 0.068494±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.872928±0.0010, DIVERSITY_HERFINDAHL: 0.987273±0.0001, COVERAGE_ITEM: 0.420103±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.323938±0.0016, SHANNON_ENTROPY: 9.877352±0.0153, 
CrossSearchBayesianSkopt: Config 46 is suboptimal. Config: {'topK': 5, 'shrink': 1013, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.006022±0.0010, PRECISION: 0.001007±0.0001, PRECISION_RECALL_MIN_DEN: 0.010072±0.0010, RECALL: 0.010072±0.0010, MAP: 0.003696±0.0009, MRR: 0.003696±0.0009, NDCG: 0.005176±0.0009, F1: 0.001831±0.0002, HIT_RATE: 0.010072±0.0010, ARHR: 0.003696±0.0009, RMSE: 0.986154±0.0004, NOVELTY: 0.007505±0.0000, AVERAGE_POPULARITY: 0.090742±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.995631±0.0002, DIVERSITY_HERFINDAHL: 0.999541±0.0000, COVERAGE_ITEM: 0.652685±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.547807±0.0019, SHANNON_ENTROPY: 12.837960±0.0128, 
CrossSearchBayesianSkopt: Config 47 is suboptimal. Config: {'topK': 3104, 'shrink': 149, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.6800556757782685, 'tversky_beta': 0.012157163838955713} - results: ROC_AUC: 0.021133±0.0006, PRECISION: 0.003546±0.0001, PRECISION_RECALL_MIN_DEN: 0.035456±0.0006, RECALL: 0.035456±0.0006, MAP: 0.013403±0.0004, MRR: 0.013403±0.0004, NDCG: 0.018511±0.0003, F1: 0.006447±0.0001, HIT_RATE: 0.035456±0.0006, ARHR: 0.013403±0.0004, RMSE: 15.789272±0.1835, NOVELTY: 0.005032±0.0000, AVERAGE_POPULARITY: 0.734808±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.801596±0.0008, DIVERSITY_HERFINDAHL: 0.980141±0.0001, COVERAGE_ITEM: 0.027662±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126253±0.0019, SHANNON_ENTROPY: 6.324114±0.0042, 
CrossSearchBayesianSkopt: Config 48 is suboptimal. Config: {'topK': 287, 'shrink': 1919, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.9552985265002132, 'tversky_beta': 0.9496358386893424} - results: ROC_AUC: 0.023773±0.0006, PRECISION: 0.003880±0.0001, PRECISION_RECALL_MIN_DEN: 0.038799±0.0012, RECALL: 0.038799±0.0012, MAP: 0.015134±0.0004, MRR: 0.015134±0.0004, NDCG: 0.020637±0.0004, F1: 0.007054±0.0002, HIT_RATE: 0.038799±0.0012, ARHR: 0.015134±0.0004, RMSE: 1.071010±0.0140, NOVELTY: 0.005788±0.0000, AVERAGE_POPULARITY: 0.409624±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.970073±0.0001, DIVERSITY_HERFINDAHL: 0.996985±0.0000, COVERAGE_ITEM: 0.254090±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.197259±0.0006, SHANNON_ENTROPY: 9.709392±0.0098, 
CrossSearchBayesianSkopt: Config 49 is suboptimal. Config: {'topK': 2930, 'shrink': 1960, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.1991562353101664, 'tversky_beta': 0.019150128872264197} - results: ROC_AUC: 0.021419±0.0005, PRECISION: 0.003451±0.0001, PRECISION_RECALL_MIN_DEN: 0.034508±0.0008, RECALL: 0.034508±0.0008, MAP: 0.013591±0.0004, MRR: 0.013591±0.0004, NDCG: 0.018462±0.0004, F1: 0.006274±0.0002, HIT_RATE: 0.034508±0.0008, ARHR: 0.013591±0.0004, RMSE: 1.716068±0.0227, NOVELTY: 0.005025±0.0000, AVERAGE_POPULARITY: 0.741613±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.785599±0.0008, DIVERSITY_HERFINDAHL: 0.978542±0.0001, COVERAGE_ITEM: 0.027943±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121431±0.0012, SHANNON_ENTROPY: 6.260151±0.0036, 
