CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 127, 'shrink': 714, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.13858164166184, 'feature_weighting': 'none'} - results: ROC_AUC: 0.036726±0.0018, PRECISION: 0.005614±0.0002, PRECISION_RECALL_MIN_DEN: 0.056143±0.0018, RECALL: 0.056143±0.0018, MAP: 0.025299±0.0017, MRR: 0.025299±0.0017, NDCG: 0.032487±0.0017, F1: 0.010208±0.0003, HIT_RATE: 0.056143±0.0018, ARHR: 0.025299±0.0017, RMSE: 0.746858±0.0019, NOVELTY: 0.005250±0.0000, AVERAGE_POPULARITY: 0.596303±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.887682±0.0012, DIVERSITY_HERFINDAHL: 0.988748±0.0001, COVERAGE_ITEM: 0.050435±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.143855±0.0007, SHANNON_ENTROPY: 7.335971±0.0085, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 200, 'shrink': 2000, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0656699100667533, 'feature_weighting': 'none'} - results: ROC_AUC: 0.031170±0.0013, PRECISION: 0.004797±0.0002, PRECISION_RECALL_MIN_DEN: 0.047967±0.0017, RECALL: 0.047967±0.0017, MAP: 0.021666±0.0010, MRR: 0.021666±0.0010, NDCG: 0.027783±0.0011, F1: 0.008721±0.0003, HIT_RATE: 0.047967±0.0017, ARHR: 0.021666±0.0010, RMSE: 0.970864±0.0004, NOVELTY: 0.005050±0.0000, AVERAGE_POPULARITY: 0.728074±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.764076±0.0019, DIVERSITY_HERFINDAHL: 0.976390±0.0002, COVERAGE_ITEM: 0.031079±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105500±0.0012, SHANNON_ENTROPY: 6.173380±0.0068, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 1, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.045885±0.0032, PRECISION: 0.006662±0.0004, PRECISION_RECALL_MIN_DEN: 0.066621±0.0042, RECALL: 0.066621±0.0042, MAP: 0.031966±0.0021, MRR: 0.031966±0.0021, NDCG: 0.040097±0.0026, F1: 0.012113±0.0008, HIT_RATE: 0.066621±0.0042, ARHR: 0.031966±0.0021, RMSE: 0.996481±0.0002, NOVELTY: 0.006603±0.0000, AVERAGE_POPULARITY: 0.160839±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.991941±0.0000, DIVERSITY_HERFINDAHL: 0.999172±0.0000, COVERAGE_ITEM: 0.475512±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.350042±0.0004, SHANNON_ENTROPY: 11.631514±0.0050, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 200, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.037624±0.0013, PRECISION: 0.005673±0.0002, PRECISION_RECALL_MIN_DEN: 0.056730±0.0019, RECALL: 0.056730±0.0019, MAP: 0.025702±0.0011, MRR: 0.025702±0.0011, NDCG: 0.032948±0.0011, F1: 0.010315±0.0003, HIT_RATE: 0.056730±0.0019, ARHR: 0.025702±0.0011, RMSE: 0.970583±0.0004, NOVELTY: 0.005379±0.0000, AVERAGE_POPULARITY: 0.631464±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.836432±0.0005, DIVERSITY_HERFINDAHL: 0.983624±0.0001, COVERAGE_ITEM: 0.176696±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.109063±0.0002, SHANNON_ENTROPY: 7.463629±0.0066, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 1, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.045885±0.0032, PRECISION: 0.006662±0.0004, PRECISION_RECALL_MIN_DEN: 0.066621±0.0042, RECALL: 0.066621±0.0042, MAP: 0.031966±0.0021, MRR: 0.031966±0.0021, NDCG: 0.040097±0.0026, F1: 0.012113±0.0008, HIT_RATE: 0.066621±0.0042, ARHR: 0.031966±0.0021, RMSE: 0.996481±0.0002, NOVELTY: 0.006603±0.0000, AVERAGE_POPULARITY: 0.160839±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.991941±0.0000, DIVERSITY_HERFINDAHL: 0.999172±0.0000, COVERAGE_ITEM: 0.475512±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.350042±0.0004, SHANNON_ENTROPY: 11.631514±0.0050, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 1, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.045885±0.0032, PRECISION: 0.006662±0.0004, PRECISION_RECALL_MIN_DEN: 0.066621±0.0042, RECALL: 0.066621±0.0042, MAP: 0.031966±0.0021, MRR: 0.031966±0.0021, NDCG: 0.040097±0.0026, F1: 0.012113±0.0008, HIT_RATE: 0.066621±0.0042, ARHR: 0.031966±0.0021, RMSE: 0.996481±0.0002, NOVELTY: 0.006603±0.0000, AVERAGE_POPULARITY: 0.160839±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.991941±0.0000, DIVERSITY_HERFINDAHL: 0.999172±0.0000, COVERAGE_ITEM: 0.475512±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.350042±0.0004, SHANNON_ENTROPY: 11.631514±0.0050, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 1, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.045885±0.0032, PRECISION: 0.006662±0.0004, PRECISION_RECALL_MIN_DEN: 0.066621±0.0042, RECALL: 0.066621±0.0042, MAP: 0.031966±0.0021, MRR: 0.031966±0.0021, NDCG: 0.040097±0.0026, F1: 0.012113±0.0008, HIT_RATE: 0.066621±0.0042, ARHR: 0.031966±0.0021, RMSE: 0.996481±0.0002, NOVELTY: 0.006603±0.0000, AVERAGE_POPULARITY: 0.160839±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.991941±0.0000, DIVERSITY_HERFINDAHL: 0.999172±0.0000, COVERAGE_ITEM: 0.475512±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.350042±0.0004, SHANNON_ENTROPY: 11.631514±0.0050, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 1, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.045885±0.0032, PRECISION: 0.006662±0.0004, PRECISION_RECALL_MIN_DEN: 0.066621±0.0042, RECALL: 0.066621±0.0042, MAP: 0.031966±0.0021, MRR: 0.031966±0.0021, NDCG: 0.040097±0.0026, F1: 0.012113±0.0008, HIT_RATE: 0.066621±0.0042, ARHR: 0.031966±0.0021, RMSE: 0.996481±0.0002, NOVELTY: 0.006603±0.0000, AVERAGE_POPULARITY: 0.160839±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.991941±0.0000, DIVERSITY_HERFINDAHL: 0.999172±0.0000, COVERAGE_ITEM: 0.475512±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.350042±0.0004, SHANNON_ENTROPY: 11.631514±0.0050, 
CrossSearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 1, 'shrink': 2000, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.044856±0.0029, PRECISION: 0.006667±0.0004, PRECISION_RECALL_MIN_DEN: 0.066667±0.0040, RECALL: 0.066667±0.0040, MAP: 0.030925±0.0025, MRR: 0.030925±0.0025, NDCG: 0.039288±0.0028, F1: 0.012121±0.0007, HIT_RATE: 0.066667±0.0040, ARHR: 0.030925±0.0025, RMSE: 0.996792±0.0002, NOVELTY: 0.006676±0.0000, AVERAGE_POPULARITY: 0.145401±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.993226±0.0001, DIVERSITY_HERFINDAHL: 0.999300±0.0000, COVERAGE_ITEM: 0.481914±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.367874±0.0008, SHANNON_ENTROPY: 11.787111±0.0073, 
CrossSearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 1, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.039376±0.0034, PRECISION: 0.006079±0.0004, PRECISION_RECALL_MIN_DEN: 0.060795±0.0039, RECALL: 0.060795±0.0039, MAP: 0.026105±0.0024, MRR: 0.026105±0.0024, NDCG: 0.034197±0.0027, F1: 0.011054±0.0007, HIT_RATE: 0.060795±0.0039, ARHR: 0.026105±0.0024, RMSE: 0.996492±0.0002, NOVELTY: 0.005703±0.0000, AVERAGE_POPULARITY: 0.375690±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.973370±0.0002, DIVERSITY_HERFINDAHL: 0.997315±0.0000, COVERAGE_ITEM: 0.103304±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239842±0.0013, SHANNON_ENTROPY: 9.221462±0.0078, 
CrossSearchBayesianSkopt: Config 35 is suboptimal. Config: {'topK': 46, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.050331±0.0025, PRECISION: 0.007782±0.0004, PRECISION_RECALL_MIN_DEN: 0.077823±0.0043, RECALL: 0.077823±0.0043, MAP: 0.033999±0.0020, MRR: 0.033999±0.0020, NDCG: 0.044205±0.0025, F1: 0.014150±0.0008, HIT_RATE: 0.077823±0.0043, ARHR: 0.033999±0.0020, RMSE: 0.830717±0.0063, NOVELTY: 0.005685±0.0000, AVERAGE_POPULARITY: 0.446888±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.948906±0.0004, DIVERSITY_HERFINDAHL: 0.994869±0.0000, COVERAGE_ITEM: 0.153944±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.164577±0.0008, SHANNON_ENTROPY: 8.863586±0.0090, 
CrossSearchBayesianSkopt: Config 36 is suboptimal. Config: {'topK': 1, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.019502±0.0012, PRECISION: 0.003934±0.0001, PRECISION_RECALL_MIN_DEN: 0.039341±0.0014, RECALL: 0.039341±0.0014, MAP: 0.011800±0.0007, MRR: 0.011800±0.0007, NDCG: 0.018070±0.0009, F1: 0.007153±0.0003, HIT_RATE: 0.039341±0.0014, ARHR: 0.011800±0.0007, RMSE: 0.975290±0.0010, NOVELTY: 0.007114±0.0000, AVERAGE_POPULARITY: 0.048143±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.998534±0.0000, DIVERSITY_HERFINDAHL: 0.999831±0.0000, COVERAGE_ITEM: 0.577453±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.555388±0.0011, SHANNON_ENTROPY: 12.906294±0.0058, 
CrossSearchBayesianSkopt: Config 37 is suboptimal. Config: {'topK': 107, 'shrink': 1922, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.08176841558475362, 'feature_weighting': 'none'} - results: ROC_AUC: 0.042101±0.0028, PRECISION: 0.006323±0.0003, PRECISION_RECALL_MIN_DEN: 0.063234±0.0031, RECALL: 0.063234±0.0031, MAP: 0.028944±0.0023, MRR: 0.028944±0.0023, NDCG: 0.036955±0.0024, F1: 0.011497±0.0006, HIT_RATE: 0.063234±0.0031, ARHR: 0.028944±0.0023, RMSE: 0.976993±0.0004, NOVELTY: 0.005663±0.0000, AVERAGE_POPULARITY: 0.521900±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.907424±0.0005, DIVERSITY_HERFINDAHL: 0.990722±0.0001, COVERAGE_ITEM: 0.251203±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.153242±0.0001, SHANNON_ENTROPY: 8.573134±0.0050, 
CrossSearchBayesianSkopt: Config 38 is suboptimal. Config: {'topK': 1, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8098448482287598, 'feature_weighting': 'none'} - results: ROC_AUC: 0.039376±0.0034, PRECISION: 0.006079±0.0004, PRECISION_RECALL_MIN_DEN: 0.060795±0.0039, RECALL: 0.060795±0.0039, MAP: 0.026105±0.0024, MRR: 0.026105±0.0024, NDCG: 0.034197±0.0027, F1: 0.011054±0.0007, HIT_RATE: 0.060795±0.0039, ARHR: 0.026105±0.0024, RMSE: 0.996492±0.0002, NOVELTY: 0.005703±0.0000, AVERAGE_POPULARITY: 0.375690±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.973370±0.0002, DIVERSITY_HERFINDAHL: 0.997315±0.0000, COVERAGE_ITEM: 0.103304±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239842±0.0013, SHANNON_ENTROPY: 9.221462±0.0078, 
CrossSearchBayesianSkopt: New best config found. Config 39: {'topK': 1, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.050808±0.0032, PRECISION: 0.007462±0.0005, PRECISION_RECALL_MIN_DEN: 0.074616±0.0049, RECALL: 0.074616±0.0049, MAP: 0.034528±0.0024, MRR: 0.034528±0.0024, NDCG: 0.043943±0.0030, F1: 0.013567±0.0009, HIT_RATE: 0.074616±0.0049, ARHR: 0.034528±0.0024, RMSE: 0.952966±0.0018, NOVELTY: 0.006372±0.0000, AVERAGE_POPULARITY: 0.222172±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.987665±0.0000, DIVERSITY_HERFINDAHL: 0.998744±0.0000, COVERAGE_ITEM: 0.284023±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.264057±0.0009, SHANNON_ENTROPY: 10.645092±0.0094, 
CrossSearchBayesianSkopt: Config 40 is suboptimal. Config: {'topK': 1, 'shrink': 0, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.001802±0.0006, PRECISION: 0.000194±0.0001, PRECISION_RECALL_MIN_DEN: 0.001942±0.0005, RECALL: 0.001942±0.0005, MAP: 0.001674±0.0005, MRR: 0.001674±0.0005, NDCG: 0.001738±0.0005, F1: 0.000353±0.0001, HIT_RATE: 0.001942±0.0005, ARHR: 0.001674±0.0005, RMSE: 0.998872±0.0003, NOVELTY: 0.007444±0.0003, AVERAGE_POPULARITY: 0.006905±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.444050±0.0006, DIVERSITY_HERFINDAHL: 0.944395±0.0001, COVERAGE_ITEM: 0.097334±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.050934±0.0004, SHANNON_ENTROPY: 4.864229±0.0045, 
CrossSearchBayesianSkopt: Config 41 is suboptimal. Config: {'topK': 1, 'shrink': 0, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.050808±0.0032, PRECISION: 0.007462±0.0005, PRECISION_RECALL_MIN_DEN: 0.074616±0.0049, RECALL: 0.074616±0.0049, MAP: 0.034528±0.0024, MRR: 0.034528±0.0024, NDCG: 0.043943±0.0030, F1: 0.013567±0.0009, HIT_RATE: 0.074616±0.0049, ARHR: 0.034528±0.0024, RMSE: 267.050226±16.1093, NOVELTY: 0.006372±0.0000, AVERAGE_POPULARITY: 0.222172±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.987665±0.0000, DIVERSITY_HERFINDAHL: 0.998744±0.0000, COVERAGE_ITEM: 0.284023±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.264057±0.0009, SHANNON_ENTROPY: 10.645092±0.0094, 
CrossSearchBayesianSkopt: Config 42 is suboptimal. Config: {'topK': 1, 'shrink': 1113, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.050808±0.0032, PRECISION: 0.007462±0.0005, PRECISION_RECALL_MIN_DEN: 0.074616±0.0049, RECALL: 0.074616±0.0049, MAP: 0.034528±0.0024, MRR: 0.034528±0.0024, NDCG: 0.043943±0.0030, F1: 0.013567±0.0009, HIT_RATE: 0.074616±0.0049, ARHR: 0.034528±0.0024, RMSE: 1.020644±0.0068, NOVELTY: 0.006372±0.0000, AVERAGE_POPULARITY: 0.222172±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.987665±0.0000, DIVERSITY_HERFINDAHL: 0.998744±0.0000, COVERAGE_ITEM: 0.284023±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.264057±0.0009, SHANNON_ENTROPY: 10.645092±0.0094, 
CrossSearchBayesianSkopt: Config 43 is suboptimal. Config: {'topK': 1, 'shrink': 1426, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.050808±0.0032, PRECISION: 0.007462±0.0005, PRECISION_RECALL_MIN_DEN: 0.074616±0.0049, RECALL: 0.074616±0.0049, MAP: 0.034528±0.0024, MRR: 0.034528±0.0024, NDCG: 0.043943±0.0030, F1: 0.013567±0.0009, HIT_RATE: 0.074616±0.0049, ARHR: 0.034528±0.0024, RMSE: 0.982420±0.0040, NOVELTY: 0.006372±0.0000, AVERAGE_POPULARITY: 0.222172±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.987665±0.0000, DIVERSITY_HERFINDAHL: 0.998744±0.0000, COVERAGE_ITEM: 0.284023±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.264057±0.0009, SHANNON_ENTROPY: 10.645092±0.0094, 
CrossSearchBayesianSkopt: Config 44 is suboptimal. Config: {'topK': 200, 'shrink': 0, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.000015±0.0000, PRECISION: 0.000005±0.0000, PRECISION_RECALL_MIN_DEN: 0.000045±0.0001, RECALL: 0.000045±0.0001, MAP: 0.000006±0.0000, MRR: 0.000006±0.0000, NDCG: 0.000015±0.0000, F1: 0.000008±0.0000, HIT_RATE: 0.000045±0.0001, ARHR: 0.000006±0.0000, RMSE: 2.480505±0.1028, NOVELTY: 0.001027±0.0000, AVERAGE_POPULARITY: 0.000132±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.932247±0.0003, DIVERSITY_HERFINDAHL: 0.993204±0.0000, COVERAGE_ITEM: 0.081071±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.222752±0.0016, SHANNON_ENTROPY: 8.554308±0.0072, 
CrossSearchBayesianSkopt: Config 45 is suboptimal. Config: {'topK': 63, 'shrink': 0, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.048640±0.0027, PRECISION: 0.007674±0.0004, PRECISION_RECALL_MIN_DEN: 0.076739±0.0038, RECALL: 0.076739±0.0038, MAP: 0.033448±0.0024, MRR: 0.033448±0.0024, NDCG: 0.043478±0.0026, F1: 0.013953±0.0007, HIT_RATE: 0.076739±0.0038, ARHR: 0.033448±0.0024, RMSE: 1265.197000±23.9864, NOVELTY: 0.005586±0.0000, AVERAGE_POPULARITY: 0.489812±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.934482±0.0007, DIVERSITY_HERFINDAHL: 0.993427±0.0001, COVERAGE_ITEM: 0.139011±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.151893±0.0007, SHANNON_ENTROPY: 8.547159±0.0082, 
CrossSearchBayesianSkopt: Config 46 is suboptimal. Config: {'topK': 1, 'shrink': 1040, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.044465±0.0031, PRECISION: 0.006874±0.0004, PRECISION_RECALL_MIN_DEN: 0.068744±0.0038, RECALL: 0.068744±0.0038, MAP: 0.029194±0.0023, MRR: 0.029194±0.0023, NDCG: 0.038436±0.0026, F1: 0.012499±0.0007, HIT_RATE: 0.068744±0.0038, ARHR: 0.029194±0.0023, RMSE: 0.995160±0.0002, NOVELTY: 0.005776±0.0000, AVERAGE_POPULARITY: 0.351732±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.976922±0.0002, DIVERSITY_HERFINDAHL: 0.997670±0.0000, COVERAGE_ITEM: 0.108786±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.258783±0.0019, SHANNON_ENTROPY: 9.415441±0.0124, 
CrossSearchBayesianSkopt: Config 47 is suboptimal. Config: {'topK': 1, 'shrink': 578, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.046336±0.0035, PRECISION: 0.007182±0.0004, PRECISION_RECALL_MIN_DEN: 0.071816±0.0037, RECALL: 0.071816±0.0037, MAP: 0.030606±0.0027, MRR: 0.030606±0.0027, NDCG: 0.040224±0.0029, F1: 0.013057±0.0007, HIT_RATE: 0.071816±0.0037, ARHR: 0.030606±0.0027, RMSE: 0.992834±0.0004, NOVELTY: 0.005831±0.0000, AVERAGE_POPULARITY: 0.335360±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.978776±0.0001, DIVERSITY_HERFINDAHL: 0.997856±0.0000, COVERAGE_ITEM: 0.118497±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.263072±0.0013, SHANNON_ENTROPY: 9.556426±0.0056, 
CrossSearchBayesianSkopt: Config 48 is suboptimal. Config: {'topK': 200, 'shrink': 0, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.033860±0.0013, PRECISION: 0.005312±0.0002, PRECISION_RECALL_MIN_DEN: 0.053117±0.0015, RECALL: 0.053117±0.0015, MAP: 0.022799±0.0012, MRR: 0.022799±0.0012, NDCG: 0.029846±0.0010, F1: 0.009658±0.0003, HIT_RATE: 0.053117±0.0015, ARHR: 0.022799±0.0012, RMSE: 73.749639±1.5121, NOVELTY: 0.006763±0.0000, AVERAGE_POPULARITY: 0.070227±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.995577±0.0000, DIVERSITY_HERFINDAHL: 0.999535±0.0000, COVERAGE_ITEM: 0.545337±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.399140±0.0008, SHANNON_ENTROPY: 12.168745±0.0058, 
CrossSearchBayesianSkopt: Config 49 is suboptimal. Config: {'topK': 1, 'shrink': 499, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.42468695948149404, 'feature_weighting': 'none'} - results: ROC_AUC: 0.045885±0.0032, PRECISION: 0.006662±0.0004, PRECISION_RECALL_MIN_DEN: 0.066621±0.0042, RECALL: 0.066621±0.0042, MAP: 0.031966±0.0021, MRR: 0.031966±0.0021, NDCG: 0.040097±0.0026, F1: 0.012113±0.0008, HIT_RATE: 0.066621±0.0042, ARHR: 0.031966±0.0021, RMSE: 0.985897±0.0008, NOVELTY: 0.006603±0.0000, AVERAGE_POPULARITY: 0.160839±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.991941±0.0000, DIVERSITY_HERFINDAHL: 0.999172±0.0000, COVERAGE_ITEM: 0.475512±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.350042±0.0004, SHANNON_ENTROPY: 11.631514±0.0050, 
CrossSearchBayesianSkopt: Search complete. Best config is 39: {'topK': 1, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'}
