SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.8231119707341297, 'USER_CF': 0.7776933436581236, 'SLIM_BPR': 0.5336779598431284, 'P3ALPHA': 0.9509557077657007, 'RP3BETA': 0.24180630651460971, 'IALS': 0.16186784219781028, 'USER_ITEM_ALL': 0.26784003853788924} - results: ROC_AUC: 0.1317878, PRECISION: 0.0213937, PRECISION_RECALL_MIN_DEN: 0.0713124, RECALL: 0.0713124, MAP: 0.0346428, MRR: 0.0938292, NDCG: 0.0590525, F1: 0.0329134, HIT_RATE: 0.2139371, ARHR: 0.0987780, RMSE: 0.9818791, NOVELTY: 0.0059744, AVERAGE_POPULARITY: 0.3552927, DIVERSITY_MEAN_INTER_LIST: 0.9758543, DIVERSITY_HERFINDAHL: 0.9975794, COVERAGE_ITEM: 0.4632603, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1686121, SHANNON_ENTROPY: 10.2909688, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.02962269656923134, 'USER_CF': 0.12441164719305334, 'SLIM_BPR': 0.8766309351970225, 'P3ALPHA': 0.9044227060007878, 'RP3BETA': 0.009675489894181879, 'IALS': 0.09615381180727248, 'USER_ITEM_ALL': 0.07358910223658578} - results: ROC_AUC: 0.1216443, PRECISION: 0.0191697, PRECISION_RECALL_MIN_DEN: 0.0638990, RECALL: 0.0638990, MAP: 0.0320213, MRR: 0.0872605, NDCG: 0.0540475, F1: 0.0294919, HIT_RATE: 0.1916970, ARHR: 0.0915716, RMSE: 0.9818791, NOVELTY: 0.0061827, AVERAGE_POPULARITY: 0.2875279, DIVERSITY_MEAN_INTER_LIST: 0.9851387, DIVERSITY_HERFINDAHL: 0.9985078, COVERAGE_ITEM: 0.4323331, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2167346, SHANNON_ENTROPY: 10.8009822, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1344287, PRECISION: 0.0215173, PRECISION_RECALL_MIN_DEN: 0.0717242, RECALL: 0.0717242, MAP: 0.0352460, MRR: 0.0955943, NDCG: 0.0598493, F1: 0.0331035, HIT_RATE: 0.2151727, ARHR: 0.1005622, RMSE: 0.9818791, NOVELTY: 0.0057478, AVERAGE_POPULARITY: 0.4271102, DIVERSITY_MEAN_INTER_LIST: 0.9606804, DIVERSITY_HERFINDAHL: 0.9960621, COVERAGE_ITEM: 0.4209246, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1329384, SHANNON_ENTROPY: 9.6723725, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.9606006577293873, 'USER_CF': 0.06173856042287053, 'SLIM_BPR': 0.8631420626394061, 'P3ALPHA': 0.010928098668735233, 'RP3BETA': 0.06273386388250037, 'IALS': 0.30805575756178144, 'USER_ITEM_ALL': 0.9620393032037703} - results: ROC_AUC: 0.1316916, PRECISION: 0.0210169, PRECISION_RECALL_MIN_DEN: 0.0700562, RECALL: 0.0700562, MAP: 0.0348184, MRR: 0.0940088, NDCG: 0.0587972, F1: 0.0323336, HIT_RATE: 0.2101687, ARHR: 0.0991207, RMSE: 0.9818791, NOVELTY: 0.0060535, AVERAGE_POPULARITY: 0.3150050, DIVERSITY_MEAN_INTER_LIST: 0.9822820, DIVERSITY_HERFINDAHL: 0.9982221, COVERAGE_ITEM: 0.5138145, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1804615, SHANNON_ENTROPY: 10.6375813, 
SearchBayesianSkoptObject: Config 29 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.48481618875665555, 'USER_CF': 0.9420013337044812, 'SLIM_BPR': 0.07657836060614999, 'P3ALPHA': 0.9477967543316987, 'RP3BETA': 0.005818415595971072, 'IALS': 0.9950854935656421, 'USER_ITEM_ALL': 0.03138522868106309} - results: ROC_AUC: 0.1266048, PRECISION: 0.0203558, PRECISION_RECALL_MIN_DEN: 0.0678528, RECALL: 0.0678528, MAP: 0.0332500, MRR: 0.0903711, NDCG: 0.0565414, F1: 0.0313167, HIT_RATE: 0.2035584, ARHR: 0.0949525, RMSE: 0.9818791, NOVELTY: 0.0056466, AVERAGE_POPULARITY: 0.4608827, DIVERSITY_MEAN_INTER_LIST: 0.9511359, DIVERSITY_HERFINDAHL: 0.9951077, COVERAGE_ITEM: 0.3336577, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1241241, SHANNON_ENTROPY: 9.3266275, 
SearchBayesianSkoptObject: Config 30 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.9979023183950988, 'USER_CF': 0.686509059763244, 'SLIM_BPR': 0.9784903399979238, 'P3ALPHA': 0.020920947796108872, 'RP3BETA': 0.8787788999513799, 'IALS': 0.0807340835629289, 'USER_ITEM_ALL': 0.8126353274091406} - results: ROC_AUC: 0.1309935, PRECISION: 0.0211590, PRECISION_RECALL_MIN_DEN: 0.0705298, RECALL: 0.0705298, MAP: 0.0343521, MRR: 0.0931738, NDCG: 0.0585317, F1: 0.0325522, HIT_RATE: 0.2115895, ARHR: 0.0980214, RMSE: 0.9818791, NOVELTY: 0.0058449, AVERAGE_POPULARITY: 0.4085718, DIVERSITY_MEAN_INTER_LIST: 0.9619192, DIVERSITY_HERFINDAHL: 0.9961860, COVERAGE_ITEM: 0.4726142, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1512475, SHANNON_ENTROPY: 9.9133041, 
SearchBayesianSkoptObject: Config 31 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.020914058400906547, 'USER_CF': 0.9911459803924152, 'SLIM_BPR': 0.9860757069013041, 'P3ALPHA': 0.9979128838125757, 'RP3BETA': 0.02859679989784803, 'IALS': 0.13960937541166843, 'USER_ITEM_ALL': 0.10285906104151601} - results: ROC_AUC: 0.1219897, PRECISION: 0.0195836, PRECISION_RECALL_MIN_DEN: 0.0652787, RECALL: 0.0652787, MAP: 0.0321442, MRR: 0.0878073, NDCG: 0.0546256, F1: 0.0301286, HIT_RATE: 0.1958362, ARHR: 0.0920310, RMSE: 0.9818791, NOVELTY: 0.0057249, AVERAGE_POPULARITY: 0.4621098, DIVERSITY_MEAN_INTER_LIST: 0.9436815, DIVERSITY_HERFINDAHL: 0.9943623, COVERAGE_ITEM: 0.3561503, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1433632, SHANNON_ENTROPY: 9.3976530, 
SearchBayesianSkoptObject: Config 32 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1358208, PRECISION: 0.0219065, PRECISION_RECALL_MIN_DEN: 0.0730216, RECALL: 0.0730216, MAP: 0.0355893, MRR: 0.0960036, NDCG: 0.0605437, F1: 0.0337023, HIT_RATE: 0.2190647, ARHR: 0.1012667, RMSE: 0.9818791, NOVELTY: 0.0060739, AVERAGE_POPULARITY: 0.3016541, DIVERSITY_MEAN_INTER_LIST: 0.9840932, DIVERSITY_HERFINDAHL: 0.9984032, COVERAGE_ITEM: 0.4955934, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1763405, SHANNON_ENTROPY: 10.6309699, 
SearchBayesianSkoptObject: Config 33 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1333866, PRECISION: 0.0212702, PRECISION_RECALL_MIN_DEN: 0.0709005, RECALL: 0.0709005, MAP: 0.0351797, MRR: 0.0950616, NDCG: 0.0594636, F1: 0.0327233, HIT_RATE: 0.2127016, ARHR: 0.1001881, RMSE: 0.9818791, NOVELTY: 0.0061831, AVERAGE_POPULARITY: 0.2790047, DIVERSITY_MEAN_INTER_LIST: 0.9842842, DIVERSITY_HERFINDAHL: 0.9984223, COVERAGE_ITEM: 0.5498783, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1997158, SHANNON_ENTROPY: 10.8929830, 
SearchBayesianSkoptObject: Config 34 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1341307, PRECISION: 0.0221659, PRECISION_RECALL_MIN_DEN: 0.0738865, RECALL: 0.0738865, MAP: 0.0351160, MRR: 0.0947170, NDCG: 0.0603013, F1: 0.0341014, HIT_RATE: 0.2216594, ARHR: 0.0999211, RMSE: 0.9818791, NOVELTY: 0.0057293, AVERAGE_POPULARITY: 0.4228302, DIVERSITY_MEAN_INTER_LIST: 0.9648040, DIVERSITY_HERFINDAHL: 0.9964744, COVERAGE_ITEM: 0.3836713, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1242417, SHANNON_ENTROPY: 9.5771419, 
SearchBayesianSkoptObject: Search complete. Best config is 23: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0}
