CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 715, 'shrink': 1106, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038252±0.0026, PRECISION: 0.005881±0.0003, PRECISION_RECALL_MIN_DEN: 0.058808±0.0031, RECALL: 0.058808±0.0031, MAP: 0.025737±0.0015, MRR: 0.025737±0.0015, NDCG: 0.033456±0.0019, F1: 0.010692±0.0006, HIT_RATE: 0.058808±0.0031, ARHR: 0.025737±0.0015, RMSE: 0.735656±0.0055, NOVELTY: 0.005287±0.0000, AVERAGE_POPULARITY: 0.614577±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.880729±0.0012, DIVERSITY_HERFINDAHL: 0.988053±0.0001, COVERAGE_ITEM: 0.069651±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144801±0.0012, SHANNON_ENTROPY: 7.576827±0.0156, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 2438, 'shrink': 1187, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036410±0.0023, PRECISION: 0.005551±0.0002, PRECISION_RECALL_MIN_DEN: 0.055510±0.0024, RECALL: 0.055510±0.0024, MAP: 0.024536±0.0013, MRR: 0.024536±0.0013, NDCG: 0.031770±0.0016, F1: 0.010093±0.0004, HIT_RATE: 0.055510±0.0024, ARHR: 0.024536±0.0013, RMSE: 1.093099±0.0098, NOVELTY: 0.005045±0.0000, AVERAGE_POPULARITY: 0.741612±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.756948±0.0017, DIVERSITY_HERFINDAHL: 0.975678±0.0002, COVERAGE_ITEM: 0.025250±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127593±0.0011, SHANNON_ENTROPY: 6.158557±0.0078, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 563, 'shrink': 1160, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.031627±0.0025, PRECISION: 0.004842±0.0004, PRECISION_RECALL_MIN_DEN: 0.048419±0.0035, RECALL: 0.048419±0.0035, MAP: 0.021677±0.0016, MRR: 0.021677±0.0016, NDCG: 0.027908±0.0020, F1: 0.008803±0.0006, HIT_RATE: 0.048419±0.0035, ARHR: 0.021677±0.0016, RMSE: 0.971592±0.0007, NOVELTY: 0.005085±0.0000, AVERAGE_POPULARITY: 0.705970±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.811566±0.0007, DIVERSITY_HERFINDAHL: 0.981138±0.0001, COVERAGE_ITEM: 0.037729±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119803±0.0011, SHANNON_ENTROPY: 6.605865±0.0065, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 366, 'shrink': 725, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.033905±0.0019, PRECISION: 0.005172±0.0002, PRECISION_RECALL_MIN_DEN: 0.051716±0.0017, RECALL: 0.051716±0.0017, MAP: 0.023035±0.0010, MRR: 0.023035±0.0010, NDCG: 0.029730±0.0011, F1: 0.009403±0.0003, HIT_RATE: 0.051716±0.0017, ARHR: 0.023035±0.0010, RMSE: 4.099723±0.0982, NOVELTY: 0.005199±0.0000, AVERAGE_POPULARITY: 0.651447±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.858615±0.0006, DIVERSITY_HERFINDAHL: 0.985842±0.0001, COVERAGE_ITEM: 0.067013±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121968±0.0006, SHANNON_ENTROPY: 7.252768±0.0035, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 55, 'shrink': 1206, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.020722±0.0025, PRECISION: 0.003275±0.0003, PRECISION_RECALL_MIN_DEN: 0.032746±0.0032, RECALL: 0.032746±0.0032, MAP: 0.013742±0.0019, MRR: 0.013742±0.0019, NDCG: 0.018161±0.0022, F1: 0.005954±0.0006, HIT_RATE: 0.032746±0.0032, ARHR: 0.013742±0.0019, RMSE: 0.994164±0.0003, NOVELTY: 0.005693±0.0000, AVERAGE_POPULARITY: 0.426229±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.967559±0.0003, DIVERSITY_HERFINDAHL: 0.996734±0.0000, COVERAGE_ITEM: 0.210943±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.207641±0.0009, SHANNON_ENTROPY: 9.633303±0.0123, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 2770, 'shrink': 1996, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.025138±0.0009, PRECISION: 0.003717±0.0001, PRECISION_RECALL_MIN_DEN: 0.037173±0.0011, RECALL: 0.037173±0.0011, MAP: 0.017589±0.0011, MRR: 0.017589±0.0011, NDCG: 0.022165±0.0010, F1: 0.006759±0.0002, HIT_RATE: 0.037173±0.0011, ARHR: 0.017589±0.0011, RMSE: 0.956900±0.0007, NOVELTY: 0.004925±0.0000, AVERAGE_POPULARITY: 0.821976±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.579763±0.0015, DIVERSITY_HERFINDAHL: 0.957963±0.0001, COVERAGE_ITEM: 0.010392±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134676±0.0021, SHANNON_ENTROPY: 5.054660±0.0041, 
CrossSearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 2005, 'shrink': 1218, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.032370±0.0023, PRECISION: 0.005000±0.0003, PRECISION_RECALL_MIN_DEN: 0.050000±0.0028, RECALL: 0.050000±0.0028, MAP: 0.022633±0.0012, MRR: 0.022633±0.0012, NDCG: 0.028981±0.0016, F1: 0.009091±0.0005, HIT_RATE: 0.050000±0.0028, ARHR: 0.022633±0.0012, RMSE: 1.966673±0.0243, NOVELTY: 0.004997±0.0000, AVERAGE_POPULARITY: 0.773066±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.700708±0.0009, DIVERSITY_HERFINDAHL: 0.970055±0.0001, COVERAGE_ITEM: 0.022471±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111895±0.0013, SHANNON_ENTROPY: 5.794978±0.0063, 
CrossSearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 1671, 'shrink': 1137, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.026639±0.0015, PRECISION: 0.004128±0.0001, PRECISION_RECALL_MIN_DEN: 0.041283±0.0010, RECALL: 0.041283±0.0010, MAP: 0.018506±0.0012, MRR: 0.018506±0.0012, NDCG: 0.023794±0.0011, F1: 0.007506±0.0002, HIT_RATE: 0.041283±0.0010, ARHR: 0.018506±0.0012, RMSE: 0.938792±0.0010, NOVELTY: 0.004953±0.0000, AVERAGE_POPULARITY: 0.799331±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.651556±0.0005, DIVERSITY_HERFINDAHL: 0.965141±0.0001, COVERAGE_ITEM: 0.014761±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123498±0.0018, SHANNON_ENTROPY: 5.417921±0.0015, 
CrossSearchBayesianSkopt: Config 35 is suboptimal. Config: {'topK': 1316, 'shrink': 123, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.037880±0.0030, PRECISION: 0.005759±0.0003, PRECISION_RECALL_MIN_DEN: 0.057588±0.0026, RECALL: 0.057588±0.0026, MAP: 0.025851±0.0019, MRR: 0.025851±0.0019, NDCG: 0.033256±0.0020, F1: 0.010471±0.0005, HIT_RATE: 0.057588±0.0026, ARHR: 0.025851±0.0019, RMSE: 2.435921±0.0290, NOVELTY: 0.005105±0.0000, AVERAGE_POPULARITY: 0.705634±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.806830±0.0015, DIVERSITY_HERFINDAHL: 0.980665±0.0002, COVERAGE_ITEM: 0.036453±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128534±0.0009, SHANNON_ENTROPY: 6.614173±0.0098, 
CrossSearchBayesianSkopt: Config 36 is suboptimal. Config: {'topK': 820, 'shrink': 1267, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.035536±0.0026, PRECISION: 0.005474±0.0003, PRECISION_RECALL_MIN_DEN: 0.054743±0.0030, RECALL: 0.054743±0.0030, MAP: 0.024102±0.0017, MRR: 0.024102±0.0017, NDCG: 0.031240±0.0019, F1: 0.009953±0.0006, HIT_RATE: 0.054743±0.0030, ARHR: 0.024102±0.0017, RMSE: 1.214210±0.0188, NOVELTY: 0.005089±0.0000, AVERAGE_POPULARITY: 0.715359±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.795393±0.0008, DIVERSITY_HERFINDAHL: 0.979521±0.0001, COVERAGE_ITEM: 0.037707±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118413±0.0013, SHANNON_ENTROPY: 6.522085±0.0047, 
CrossSearchBayesianSkopt: Config 37 is suboptimal. Config: {'topK': 1484, 'shrink': 266, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.027386±0.0016, PRECISION: 0.004192±0.0002, PRECISION_RECALL_MIN_DEN: 0.041915±0.0015, RECALL: 0.041915±0.0015, MAP: 0.019054±0.0012, MRR: 0.019054±0.0012, NDCG: 0.024373±0.0012, F1: 0.007621±0.0003, HIT_RATE: 0.041915±0.0015, ARHR: 0.019054±0.0012, RMSE: 0.822868±0.0028, NOVELTY: 0.004962±0.0000, AVERAGE_POPULARITY: 0.792526±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.669241±0.0008, DIVERSITY_HERFINDAHL: 0.966909±0.0001, COVERAGE_ITEM: 0.016069±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122196±0.0019, SHANNON_ENTROPY: 5.517627±0.0034, 
CrossSearchBayesianSkopt: Config 38 is suboptimal. Config: {'topK': 1279, 'shrink': 1805, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.030824±0.0024, PRECISION: 0.004806±0.0003, PRECISION_RECALL_MIN_DEN: 0.048058±0.0030, RECALL: 0.048058±0.0030, MAP: 0.021271±0.0011, MRR: 0.021271±0.0011, NDCG: 0.027492±0.0015, F1: 0.008738±0.0006, HIT_RATE: 0.048058±0.0030, ARHR: 0.021271±0.0011, RMSE: 3.055331±0.0499, NOVELTY: 0.005015±0.0000, AVERAGE_POPULARITY: 0.759359±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.715237±0.0006, DIVERSITY_HERFINDAHL: 0.971508±0.0001, COVERAGE_ITEM: 0.026753±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105968±0.0017, SHANNON_ENTROPY: 5.922576±0.0072, 
CrossSearchBayesianSkopt: Config 39 is suboptimal. Config: {'topK': 1202, 'shrink': 1146, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.034553±0.0027, PRECISION: 0.005289±0.0003, PRECISION_RECALL_MIN_DEN: 0.052891±0.0033, RECALL: 0.052891±0.0033, MAP: 0.023680±0.0016, MRR: 0.023680±0.0016, NDCG: 0.030482±0.0021, F1: 0.009616±0.0006, HIT_RATE: 0.052891±0.0033, ARHR: 0.023680±0.0016, RMSE: 1.542815±0.0221, NOVELTY: 0.005046±0.0000, AVERAGE_POPULARITY: 0.741512±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.758658±0.0008, DIVERSITY_HERFINDAHL: 0.975849±0.0001, COVERAGE_ITEM: 0.030397±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114735±0.0005, SHANNON_ENTROPY: 6.207513±0.0055, 
CrossSearchBayesianSkopt: Config 40 is suboptimal. Config: {'topK': 554, 'shrink': 97, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.033710±0.0018, PRECISION: 0.005199±0.0003, PRECISION_RECALL_MIN_DEN: 0.051987±0.0029, RECALL: 0.051987±0.0029, MAP: 0.022816±0.0013, MRR: 0.022816±0.0013, NDCG: 0.029617±0.0015, F1: 0.009452±0.0005, HIT_RATE: 0.051987±0.0029, ARHR: 0.022816±0.0013, RMSE: 43.445903±0.8168, NOVELTY: 0.005120±0.0000, AVERAGE_POPULARITY: 0.694869±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.814800±0.0007, DIVERSITY_HERFINDAHL: 0.981462±0.0001, COVERAGE_ITEM: 0.046748±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116378±0.0007, SHANNON_ENTROPY: 6.746088±0.0020, 
CrossSearchBayesianSkopt: Config 41 is suboptimal. Config: {'topK': 2827, 'shrink': 1449, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.030633±0.0022, PRECISION: 0.004657±0.0002, PRECISION_RECALL_MIN_DEN: 0.046567±0.0020, RECALL: 0.046567±0.0020, MAP: 0.021484±0.0009, MRR: 0.021484±0.0009, NDCG: 0.027320±0.0012, F1: 0.008467±0.0004, HIT_RATE: 0.046567±0.0020, ARHR: 0.021484±0.0009, RMSE: 2.105033±0.0253, NOVELTY: 0.004972±0.0000, AVERAGE_POPULARITY: 0.789434±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.660592±0.0008, DIVERSITY_HERFINDAHL: 0.966044±0.0001, COVERAGE_ITEM: 0.018254±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113535±0.0021, SHANNON_ENTROPY: 5.545433±0.0035, 
CrossSearchBayesianSkopt: Config 42 is suboptimal. Config: {'topK': 2937, 'shrink': 1835, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029966±0.0022, PRECISION: 0.004535±0.0003, PRECISION_RECALL_MIN_DEN: 0.045348±0.0027, RECALL: 0.045348±0.0027, MAP: 0.021222±0.0012, MRR: 0.021222±0.0012, NDCG: 0.026831±0.0015, F1: 0.008245±0.0005, HIT_RATE: 0.045348±0.0027, ARHR: 0.021222±0.0012, RMSE: 1.870868±0.0228, NOVELTY: 0.004968±0.0000, AVERAGE_POPULARITY: 0.792484±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.650084±0.0009, DIVERSITY_HERFINDAHL: 0.964994±0.0001, COVERAGE_ITEM: 0.017680±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112483±0.0017, SHANNON_ENTROPY: 5.489374±0.0035, 
CrossSearchBayesianSkopt: Config 43 is suboptimal. Config: {'topK': 796, 'shrink': 449, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.030844±0.0016, PRECISION: 0.004770±0.0003, PRECISION_RECALL_MIN_DEN: 0.047696±0.0026, RECALL: 0.047696±0.0026, MAP: 0.021515±0.0013, MRR: 0.021515±0.0013, NDCG: 0.027590±0.0015, F1: 0.008672±0.0005, HIT_RATE: 0.047696±0.0026, ARHR: 0.021515±0.0013, RMSE: 0.921763±0.0014, NOVELTY: 0.005047±0.0000, AVERAGE_POPULARITY: 0.731113±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.778218±0.0009, DIVERSITY_HERFINDAHL: 0.977804±0.0001, COVERAGE_ITEM: 0.030289±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118113±0.0016, SHANNON_ENTROPY: 6.303015±0.0048, 
CrossSearchBayesianSkopt: Config 44 is suboptimal. Config: {'topK': 1460, 'shrink': 923, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038703±0.0025, PRECISION: 0.005926±0.0003, PRECISION_RECALL_MIN_DEN: 0.059259±0.0026, RECALL: 0.059259±0.0026, MAP: 0.026166±0.0016, MRR: 0.026166±0.0016, NDCG: 0.033882±0.0018, F1: 0.010774±0.0005, HIT_RATE: 0.059259±0.0026, ARHR: 0.026166±0.0016, RMSE: 1.054096±0.0095, NOVELTY: 0.005121±0.0000, AVERAGE_POPULARITY: 0.696437±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.813725±0.0013, DIVERSITY_HERFINDAHL: 0.981354±0.0001, COVERAGE_ITEM: 0.034128±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140067±0.0008, SHANNON_ENTROPY: 6.666890±0.0110, 
CrossSearchBayesianSkopt: Config 45 is suboptimal. Config: {'topK': 3000, 'shrink': 0, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.034568±0.0021, PRECISION: 0.005407±0.0002, PRECISION_RECALL_MIN_DEN: 0.054065±0.0024, RECALL: 0.054065±0.0024, MAP: 0.023477±0.0012, MRR: 0.023477±0.0012, NDCG: 0.030588±0.0015, F1: 0.009830±0.0004, HIT_RATE: 0.054065±0.0024, ARHR: 0.023477±0.0012, RMSE: 3.575432±0.0350, NOVELTY: 0.005032±0.0000, AVERAGE_POPULARITY: 0.747181±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.746809±0.0019, DIVERSITY_HERFINDAHL: 0.974664±0.0002, COVERAGE_ITEM: 0.023455±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126263±0.0017, SHANNON_ENTROPY: 6.055652±0.0106, 
CrossSearchBayesianSkopt: Config 46 is suboptimal. Config: {'topK': 2983, 'shrink': 98, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035135±0.0023, PRECISION: 0.005452±0.0003, PRECISION_RECALL_MIN_DEN: 0.054517±0.0028, RECALL: 0.054517±0.0028, MAP: 0.023859±0.0014, MRR: 0.023859±0.0014, NDCG: 0.030996±0.0017, F1: 0.009912±0.0005, HIT_RATE: 0.054517±0.0028, ARHR: 0.023859±0.0014, RMSE: 18.300869±0.1450, NOVELTY: 0.005023±0.0000, AVERAGE_POPULARITY: 0.755049±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.737355±0.0020, DIVERSITY_HERFINDAHL: 0.973719±0.0002, COVERAGE_ITEM: 0.022914±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124607±0.0010, SHANNON_ENTROPY: 6.002775±0.0090, 
CrossSearchBayesianSkopt: Config 47 is suboptimal. Config: {'topK': 2993, 'shrink': 22, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.027597±0.0018, PRECISION: 0.004205±0.0002, PRECISION_RECALL_MIN_DEN: 0.042051±0.0024, RECALL: 0.042051±0.0024, MAP: 0.019128±0.0010, MRR: 0.019128±0.0010, NDCG: 0.024469±0.0013, F1: 0.007646±0.0004, HIT_RATE: 0.042051±0.0024, ARHR: 0.019128±0.0010, RMSE: 412.024146±4.7886, NOVELTY: 0.004955±0.0000, AVERAGE_POPULARITY: 0.799448±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.604794±0.0012, DIVERSITY_HERFINDAHL: 0.960466±0.0001, COVERAGE_ITEM: 0.015356±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110747±0.0015, SHANNON_ENTROPY: 5.276753±0.0017, 
CrossSearchBayesianSkopt: Config 48 is suboptimal. Config: {'topK': 3000, 'shrink': 0, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.034568±0.0021, PRECISION: 0.005407±0.0002, PRECISION_RECALL_MIN_DEN: 0.054065±0.0024, RECALL: 0.054065±0.0024, MAP: 0.023477±0.0012, MRR: 0.023477±0.0012, NDCG: 0.030588±0.0015, F1: 0.009830±0.0004, HIT_RATE: 0.054065±0.0024, ARHR: 0.023477±0.0012, RMSE: 3.575432±0.0350, NOVELTY: 0.005032±0.0000, AVERAGE_POPULARITY: 0.747181±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.746809±0.0019, DIVERSITY_HERFINDAHL: 0.974664±0.0002, COVERAGE_ITEM: 0.023455±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126263±0.0017, SHANNON_ENTROPY: 6.055652±0.0106, 
CrossSearchBayesianSkopt: Config 49 is suboptimal. Config: {'topK': 2994, 'shrink': 89, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.033333±0.0024, PRECISION: 0.005068±0.0002, PRECISION_RECALL_MIN_DEN: 0.050678±0.0025, RECALL: 0.050678±0.0025, MAP: 0.023106±0.0014, MRR: 0.023106±0.0014, NDCG: 0.029526±0.0017, F1: 0.009214±0.0004, HIT_RATE: 0.050678±0.0025, ARHR: 0.023106±0.0014, RMSE: 4.436475±0.0449, NOVELTY: 0.004998±0.0000, AVERAGE_POPULARITY: 0.771167±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.714164±0.0011, DIVERSITY_HERFINDAHL: 0.971400±0.0001, COVERAGE_ITEM: 0.020600±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121626±0.0017, SHANNON_ENTROPY: 5.828184±0.0056, 
CrossSearchBayesianSkopt: Config 50 is suboptimal. Config: {'topK': 3000, 'shrink': 0, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.034568±0.0021, PRECISION: 0.005407±0.0002, PRECISION_RECALL_MIN_DEN: 0.054065±0.0024, RECALL: 0.054065±0.0024, MAP: 0.023477±0.0012, MRR: 0.023477±0.0012, NDCG: 0.030588±0.0015, F1: 0.009830±0.0004, HIT_RATE: 0.054065±0.0024, ARHR: 0.023477±0.0012, RMSE: 3.575432±0.0350, NOVELTY: 0.005032±0.0000, AVERAGE_POPULARITY: 0.747181±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.746809±0.0019, DIVERSITY_HERFINDAHL: 0.974664±0.0002, COVERAGE_ITEM: 0.023455±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126263±0.0017, SHANNON_ENTROPY: 6.055652±0.0106, 
CrossSearchBayesianSkopt: Config 51 is suboptimal. Config: {'topK': 3000, 'shrink': 0, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.034568±0.0021, PRECISION: 0.005407±0.0002, PRECISION_RECALL_MIN_DEN: 0.054065±0.0024, RECALL: 0.054065±0.0024, MAP: 0.023477±0.0012, MRR: 0.023477±0.0012, NDCG: 0.030588±0.0015, F1: 0.009830±0.0004, HIT_RATE: 0.054065±0.0024, ARHR: 0.023477±0.0012, RMSE: 3.575432±0.0350, NOVELTY: 0.005032±0.0000, AVERAGE_POPULARITY: 0.747181±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.746809±0.0019, DIVERSITY_HERFINDAHL: 0.974664±0.0002, COVERAGE_ITEM: 0.023455±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126263±0.0017, SHANNON_ENTROPY: 6.055652±0.0106, 
CrossSearchBayesianSkopt: Config 52 is suboptimal. Config: {'topK': 3000, 'shrink': 0, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.034568±0.0021, PRECISION: 0.005407±0.0002, PRECISION_RECALL_MIN_DEN: 0.054065±0.0024, RECALL: 0.054065±0.0024, MAP: 0.023477±0.0012, MRR: 0.023477±0.0012, NDCG: 0.030588±0.0015, F1: 0.009830±0.0004, HIT_RATE: 0.054065±0.0024, ARHR: 0.023477±0.0012, RMSE: 3.575432±0.0350, NOVELTY: 0.005032±0.0000, AVERAGE_POPULARITY: 0.747181±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.746809±0.0019, DIVERSITY_HERFINDAHL: 0.974664±0.0002, COVERAGE_ITEM: 0.023455±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126263±0.0017, SHANNON_ENTROPY: 6.055652±0.0106, 
CrossSearchBayesianSkopt: Config 53 is suboptimal. Config: {'topK': 37, 'shrink': 1982, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.006072±0.0005, PRECISION: 0.001016±0.0000, PRECISION_RECALL_MIN_DEN: 0.010163±0.0004, RECALL: 0.010163±0.0004, MAP: 0.004075±0.0003, MRR: 0.004075±0.0003, NDCG: 0.005476±0.0003, F1: 0.001848±0.0001, HIT_RATE: 0.010163±0.0004, ARHR: 0.004075±0.0003, RMSE: 0.985556±0.0007, NOVELTY: 0.007654±0.0000, AVERAGE_POPULARITY: 0.078313±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.998159±0.0000, DIVERSITY_HERFINDAHL: 0.999793±0.0000, COVERAGE_ITEM: 0.600898±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.561401±0.0010, SHANNON_ENTROPY: 12.920412±0.0040, 
CrossSearchBayesianSkopt: New best config found. Config 54: {'topK': 1193, 'shrink': 31, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039361±0.0030, PRECISION: 0.006093±0.0003, PRECISION_RECALL_MIN_DEN: 0.060930±0.0026, RECALL: 0.060930±0.0026, MAP: 0.026639±0.0021, MRR: 0.026639±0.0021, NDCG: 0.034623±0.0022, F1: 0.011078±0.0005, HIT_RATE: 0.060930±0.0026, ARHR: 0.026639±0.0021, RMSE: 34.620836±0.3236, NOVELTY: 0.005160±0.0000, AVERAGE_POPULARITY: 0.675520±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.833869±0.0018, DIVERSITY_HERFINDAHL: 0.983368±0.0002, COVERAGE_ITEM: 0.039924±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.143874±0.0006, SHANNON_ENTROPY: 6.896910±0.0144, 
CrossSearchBayesianSkopt: Config 55 is suboptimal. Config: {'topK': 2379, 'shrink': 22, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036590±0.0023, PRECISION: 0.005551±0.0003, PRECISION_RECALL_MIN_DEN: 0.055510±0.0027, RECALL: 0.055510±0.0027, MAP: 0.024605±0.0013, MRR: 0.024605±0.0013, NDCG: 0.031827±0.0017, F1: 0.010093±0.0005, HIT_RATE: 0.055510±0.0027, ARHR: 0.024605±0.0013, RMSE: 76.316204±0.6409, NOVELTY: 0.005048±0.0000, AVERAGE_POPULARITY: 0.739876±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.759278±0.0017, DIVERSITY_HERFINDAHL: 0.975911±0.0002, COVERAGE_ITEM: 0.025639±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127696±0.0013, SHANNON_ENTROPY: 6.178881±0.0078, 
