CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 11, 'shrink': 1812, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.3435839028372647, 'tversky_beta': 1.6558212544824547} - results: ROC_AUC: 0.063668±0.0011, PRECISION: 0.008820±0.0001, PRECISION_RECALL_MIN_DEN: 0.088197±0.0011, RECALL: 0.088197±0.0011, MAP: 0.045838±0.0009, MRR: 0.045838±0.0009, NDCG: 0.055832±0.0010, F1: 0.016036±0.0002, HIT_RATE: 0.088197±0.0011, ARHR: 0.045838±0.0009, RMSE: 0.969318±0.0002, NOVELTY: 0.005864±0.0000, AVERAGE_POPULARITY: 0.374658±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.974035±0.0002, DIVERSITY_HERFINDAHL: 0.997399±0.0000, COVERAGE_ITEM: 0.518562±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128727±0.0006, SHANNON_ENTROPY: 10.019374±0.0064, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 8, 'shrink': 1181, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.6038490491002302, 'tversky_beta': 0.6115409061400133} - results: ROC_AUC: 0.072182±0.0008, PRECISION: 0.009684±0.0001, PRECISION_RECALL_MIN_DEN: 0.096843±0.0007, RECALL: 0.096843±0.0007, MAP: 0.052287±0.0006, MRR: 0.052287±0.0006, NDCG: 0.062869±0.0006, F1: 0.017608±0.0001, HIT_RATE: 0.096843±0.0007, ARHR: 0.052287±0.0006, RMSE: 0.992514±0.0001, NOVELTY: 0.006777±0.0000, AVERAGE_POPULARITY: 0.167347±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.992716±0.0000, DIVERSITY_HERFINDAHL: 0.999267±0.0000, COVERAGE_ITEM: 0.791511±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.287758±0.0010, SHANNON_ENTROPY: 12.010767±0.0049, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 51, 'shrink': 1329, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.980515326511386, 'tversky_beta': 0.5457514314701916} - results: ROC_AUC: 0.062224±0.0011, PRECISION: 0.008583±0.0001, PRECISION_RECALL_MIN_DEN: 0.085830±0.0009, RECALL: 0.085830±0.0009, MAP: 0.045199±0.0009, MRR: 0.045199±0.0009, NDCG: 0.054788±0.0008, F1: 0.015605±0.0002, HIT_RATE: 0.085830±0.0009, ARHR: 0.045199±0.0009, RMSE: 0.935845±0.0005, NOVELTY: 0.005701±0.0000, AVERAGE_POPULARITY: 0.431998±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.961243±0.0002, DIVERSITY_HERFINDAHL: 0.996120±0.0000, COVERAGE_ITEM: 0.499129±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111322±0.0004, SHANNON_ENTROPY: 9.566637±0.0057, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 149, 'shrink': 108, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.4826799136126287, 'tversky_beta': 0.6880969662896758} - results: ROC_AUC: 0.068608±0.0008, PRECISION: 0.009412±0.0001, PRECISION_RECALL_MIN_DEN: 0.094121±0.0012, RECALL: 0.094121±0.0012, MAP: 0.049541±0.0007, MRR: 0.049541±0.0007, NDCG: 0.060082±0.0008, F1: 0.017113±0.0002, HIT_RATE: 0.094121±0.0012, ARHR: 0.049541±0.0007, RMSE: 0.962612±0.0002, NOVELTY: 0.006010±0.0000, AVERAGE_POPULARITY: 0.330941±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.978094±0.0001, DIVERSITY_HERFINDAHL: 0.997805±0.0000, COVERAGE_ITEM: 0.613690±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.147617±0.0005, SHANNON_ENTROPY: 10.416151±0.0031, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 107, 'shrink': 362, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.9975791241451843, 'tversky_beta': 1.7878738667989718} - results: ROC_AUC: 0.067893±0.0007, PRECISION: 0.009260±0.0001, PRECISION_RECALL_MIN_DEN: 0.092596±0.0009, RECALL: 0.092596±0.0009, MAP: 0.048985±0.0007, MRR: 0.048985±0.0007, NDCG: 0.059311±0.0007, F1: 0.016836±0.0002, HIT_RATE: 0.092596±0.0009, ARHR: 0.048985±0.0007, RMSE: 0.903036±0.0008, NOVELTY: 0.005774±0.0000, AVERAGE_POPULARITY: 0.410757±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.965300±0.0001, DIVERSITY_HERFINDAHL: 0.996526±0.0000, COVERAGE_ITEM: 0.518519±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116590±0.0004, SHANNON_ENTROPY: 9.737413±0.0056, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 169, 'shrink': 546, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.6570094348236646, 'tversky_beta': 1.5804244506662046} - results: ROC_AUC: 0.064627±0.0008, PRECISION: 0.008849±0.0001, PRECISION_RECALL_MIN_DEN: 0.088490±0.0006, RECALL: 0.088490±0.0006, MAP: 0.046869±0.0007, MRR: 0.046869±0.0007, NDCG: 0.056707±0.0007, F1: 0.016089±0.0001, HIT_RATE: 0.088490±0.0006, ARHR: 0.046869±0.0007, RMSE: 0.890608±0.0009, NOVELTY: 0.005608±0.0000, AVERAGE_POPULARITY: 0.478035±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.945512±0.0003, DIVERSITY_HERFINDAHL: 0.994547±0.0000, COVERAGE_ITEM: 0.475166±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.097849±0.0005, SHANNON_ENTROPY: 9.147129±0.0062, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 17, 'shrink': 1965, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.2134253572809919, 'tversky_beta': 1.9081224112206647} - results: ROC_AUC: 0.062979±0.0011, PRECISION: 0.008716±0.0001, PRECISION_RECALL_MIN_DEN: 0.087160±0.0006, RECALL: 0.087160±0.0006, MAP: 0.045464±0.0009, MRR: 0.045464±0.0009, NDCG: 0.055301±0.0008, F1: 0.015847±0.0001, HIT_RATE: 0.087160±0.0006, ARHR: 0.045464±0.0009, RMSE: 0.967755±0.0002, NOVELTY: 0.005776±0.0000, AVERAGE_POPULARITY: 0.405250±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.968505±0.0003, DIVERSITY_HERFINDAHL: 0.996846±0.0000, COVERAGE_ITEM: 0.514788±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121578±0.0005, SHANNON_ENTROPY: 9.825210±0.0103, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 195, 'shrink': 403, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.0621888994474824, 'tversky_beta': 0.16295673249548284} - results: ROC_AUC: 0.069764±0.0010, PRECISION: 0.009470±0.0000, PRECISION_RECALL_MIN_DEN: 0.094697±0.0005, RECALL: 0.094697±0.0005, MAP: 0.050600±0.0010, MRR: 0.050600±0.0010, NDCG: 0.061041±0.0009, F1: 0.017218±0.0001, HIT_RATE: 0.094697±0.0005, ARHR: 0.050600±0.0010, RMSE: 0.955856±0.0003, NOVELTY: 0.006497±0.0000, AVERAGE_POPULARITY: 0.251097±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.987962±0.0001, DIVERSITY_HERFINDAHL: 0.998792±0.0000, COVERAGE_ITEM: 0.760108±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246300±0.0005, SHANNON_ENTROPY: 11.520395±0.0036, 
CrossSearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 170, 'shrink': 919, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.23572303779353382, 'tversky_beta': 0.4176442907500705} - results: ROC_AUC: 0.054990±0.0010, PRECISION: 0.007633±0.0001, PRECISION_RECALL_MIN_DEN: 0.076332±0.0012, RECALL: 0.076332±0.0012, MAP: 0.040163±0.0008, MRR: 0.040163±0.0008, NDCG: 0.048678±0.0009, F1: 0.013879±0.0002, HIT_RATE: 0.076332±0.0012, ARHR: 0.040163±0.0008, RMSE: 0.867737±0.0011, NOVELTY: 0.005374±0.0000, AVERAGE_POPULARITY: 0.602466±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.879210±0.0005, DIVERSITY_HERFINDAHL: 0.987917±0.0001, COVERAGE_ITEM: 0.453917±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.076963±0.0004, SHANNON_ENTROPY: 8.088314±0.0068, 
CrossSearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 81, 'shrink': 1824, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.305612229538205, 'tversky_beta': 0.2439264639859025} - results: ROC_AUC: 0.072461±0.0008, PRECISION: 0.009947±0.0001, PRECISION_RECALL_MIN_DEN: 0.099468±0.0006, RECALL: 0.099468±0.0006, MAP: 0.052543±0.0007, MRR: 0.052543±0.0007, NDCG: 0.063629±0.0006, F1: 0.018085±0.0001, HIT_RATE: 0.099468±0.0006, ARHR: 0.052543±0.0007, RMSE: 0.989881±0.0001, NOVELTY: 0.006263±0.0000, AVERAGE_POPULARITY: 0.314578±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.980057±0.0002, DIVERSITY_HERFINDAHL: 0.998001±0.0000, COVERAGE_ITEM: 0.737270±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.203182±0.0004, SHANNON_ENTROPY: 10.976643±0.0038, 
CrossSearchBayesianSkopt: Config 35 is suboptimal. Config: {'topK': 44, 'shrink': 1271, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.1904149718420416, 'tversky_beta': 0.15895205891826805} - results: ROC_AUC: 0.060554±0.0010, PRECISION: 0.008345±0.0001, PRECISION_RECALL_MIN_DEN: 0.083453±0.0008, RECALL: 0.083453±0.0008, MAP: 0.044103±0.0008, MRR: 0.044103±0.0008, NDCG: 0.053385±0.0008, F1: 0.015173±0.0001, HIT_RATE: 0.083453±0.0008, ARHR: 0.044103±0.0008, RMSE: 0.988423±0.0001, NOVELTY: 0.005681±0.0000, AVERAGE_POPULARITY: 0.445273±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.957116±0.0001, DIVERSITY_HERFINDAHL: 0.995707±0.0000, COVERAGE_ITEM: 0.509727±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111630±0.0003, SHANNON_ENTROPY: 9.505235±0.0024, 
CrossSearchBayesianSkopt: Config 36 is suboptimal. Config: {'topK': 177, 'shrink': 535, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.9163526341668586, 'tversky_beta': 1.828385753220726} - results: ROC_AUC: 0.067736±0.0010, PRECISION: 0.009251±0.0001, PRECISION_RECALL_MIN_DEN: 0.092507±0.0006, RECALL: 0.092507±0.0006, MAP: 0.049337±0.0006, MRR: 0.049337±0.0006, NDCG: 0.059537±0.0006, F1: 0.016819±0.0001, HIT_RATE: 0.092507±0.0006, ARHR: 0.049337±0.0006, RMSE: 0.973751±0.0002, NOVELTY: 0.006514±0.0000, AVERAGE_POPULARITY: 0.269305±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.986033±0.0000, DIVERSITY_HERFINDAHL: 0.998599±0.0000, COVERAGE_ITEM: 0.773366±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.257723±0.0006, SHANNON_ENTROPY: 11.527513±0.0025, 
CrossSearchBayesianSkopt: Config 37 is suboptimal. Config: {'topK': 162, 'shrink': 606, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.502394126579749, 'tversky_beta': 0.5864424602575847} - results: ROC_AUC: 0.069453±0.0007, PRECISION: 0.009506±0.0001, PRECISION_RECALL_MIN_DEN: 0.095061±0.0006, RECALL: 0.095061±0.0006, MAP: 0.050380±0.0006, MRR: 0.050380±0.0006, NDCG: 0.060940±0.0006, F1: 0.017284±0.0001, HIT_RATE: 0.095061±0.0006, ARHR: 0.050380±0.0006, RMSE: 0.967921±0.0002, NOVELTY: 0.006184±0.0000, AVERAGE_POPULARITY: 0.349928±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.973684±0.0001, DIVERSITY_HERFINDAHL: 0.997364±0.0000, COVERAGE_ITEM: 0.729105±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.196986±0.0005, SHANNON_ENTROPY: 10.739515±0.0046, 
CrossSearchBayesianSkopt: Config 38 is suboptimal. Config: {'topK': 13, 'shrink': 1509, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.20791899544525855, 'tversky_beta': 1.4357252026575713} - results: ROC_AUC: 0.062304±0.0012, PRECISION: 0.008702±0.0001, PRECISION_RECALL_MIN_DEN: 0.087018±0.0009, RECALL: 0.087018±0.0009, MAP: 0.045002±0.0010, MRR: 0.045002±0.0010, NDCG: 0.054893±0.0010, F1: 0.015821±0.0002, HIT_RATE: 0.087018±0.0009, ARHR: 0.045002±0.0010, RMSE: 0.993969±0.0000, NOVELTY: 0.005787±0.0000, AVERAGE_POPULARITY: 0.406158±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.968253±0.0002, DIVERSITY_HERFINDAHL: 0.996821±0.0000, COVERAGE_ITEM: 0.515664±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122377±0.0006, SHANNON_ENTROPY: 9.823673±0.0104, 
CrossSearchBayesianSkopt: Config 39 is suboptimal. Config: {'topK': 110, 'shrink': 1305, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.2615340201616632, 'tversky_beta': 1.957771758749795} - results: ROC_AUC: 0.058167±0.0008, PRECISION: 0.008044±0.0001, PRECISION_RECALL_MIN_DEN: 0.080438±0.0007, RECALL: 0.080438±0.0007, MAP: 0.042210±0.0007, MRR: 0.042210±0.0007, NDCG: 0.051223±0.0007, F1: 0.014625±0.0001, HIT_RATE: 0.080438±0.0007, ARHR: 0.042210±0.0007, RMSE: 0.924234±0.0005, NOVELTY: 0.005435±0.0000, AVERAGE_POPULARITY: 0.566166±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.907713±0.0003, DIVERSITY_HERFINDAHL: 0.990767±0.0000, COVERAGE_ITEM: 0.454620±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.082230±0.0003, SHANNON_ENTROPY: 8.443916±0.0058, 
CrossSearchBayesianSkopt: Config 40 is suboptimal. Config: {'topK': 3, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.063188±0.0006, PRECISION: 0.008610±0.0001, PRECISION_RECALL_MIN_DEN: 0.086096±0.0007, RECALL: 0.086096±0.0007, MAP: 0.045573±0.0006, MRR: 0.045573±0.0006, NDCG: 0.055164±0.0005, F1: 0.015654±0.0001, HIT_RATE: 0.086096±0.0007, ARHR: 0.045573±0.0006, RMSE: 0.997288±0.0000, NOVELTY: 0.006149±0.0000, AVERAGE_POPULARITY: 0.290824±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.980225±0.0001, DIVERSITY_HERFINDAHL: 0.998018±0.0000, COVERAGE_ITEM: 0.457518±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.150545±0.0008, SHANNON_ENTROPY: 10.312921±0.0084, 
CrossSearchBayesianSkopt: Config 41 is suboptimal. Config: {'topK': 3, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.063188±0.0006, PRECISION: 0.008610±0.0001, PRECISION_RECALL_MIN_DEN: 0.086096±0.0007, RECALL: 0.086096±0.0007, MAP: 0.045573±0.0006, MRR: 0.045573±0.0006, NDCG: 0.055164±0.0005, F1: 0.015654±0.0001, HIT_RATE: 0.086096±0.0007, ARHR: 0.045573±0.0006, RMSE: 0.997288±0.0000, NOVELTY: 0.006149±0.0000, AVERAGE_POPULARITY: 0.290824±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.980225±0.0001, DIVERSITY_HERFINDAHL: 0.998018±0.0000, COVERAGE_ITEM: 0.457518±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.150545±0.0008, SHANNON_ENTROPY: 10.312921±0.0084, 
CrossSearchBayesianSkopt: Config 42 is suboptimal. Config: {'topK': 3, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.063188±0.0006, PRECISION: 0.008610±0.0001, PRECISION_RECALL_MIN_DEN: 0.086096±0.0007, RECALL: 0.086096±0.0007, MAP: 0.045573±0.0006, MRR: 0.045573±0.0006, NDCG: 0.055164±0.0005, F1: 0.015654±0.0001, HIT_RATE: 0.086096±0.0007, ARHR: 0.045573±0.0006, RMSE: 0.997288±0.0000, NOVELTY: 0.006149±0.0000, AVERAGE_POPULARITY: 0.290824±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.980225±0.0001, DIVERSITY_HERFINDAHL: 0.998018±0.0000, COVERAGE_ITEM: 0.457518±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.150545±0.0008, SHANNON_ENTROPY: 10.312921±0.0084, 
CrossSearchBayesianSkopt: New best config found. Config 43: {'topK': 12, 'shrink': 1999, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.9764070802269857, 'tversky_beta': 1.5791835757945396} - results: ROC_AUC: 0.073658±0.0009, PRECISION: 0.009930±0.0001, PRECISION_RECALL_MIN_DEN: 0.099299±0.0009, RECALL: 0.099299±0.0009, MAP: 0.053388±0.0008, MRR: 0.053388±0.0008, NDCG: 0.064274±0.0008, F1: 0.018054±0.0002, HIT_RATE: 0.099299±0.0009, ARHR: 0.053388±0.0008, RMSE: 0.994757±0.0000, NOVELTY: 0.006663±0.0000, AVERAGE_POPULARITY: 0.199920±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.991974±0.0000, DIVERSITY_HERFINDAHL: 0.999193±0.0000, COVERAGE_ITEM: 0.786851±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.270334±0.0009, SHANNON_ENTROPY: 11.864050±0.0045, 
CrossSearchBayesianSkopt: Config 44 is suboptimal. Config: {'topK': 200, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.058984±0.0010, PRECISION: 0.008137±0.0001, PRECISION_RECALL_MIN_DEN: 0.081369±0.0010, RECALL: 0.081369±0.0010, MAP: 0.043000±0.0009, MRR: 0.043000±0.0009, NDCG: 0.052049±0.0009, F1: 0.014794±0.0002, HIT_RATE: 0.081369±0.0010, ARHR: 0.043000±0.0009, RMSE: 0.990749±0.0000, NOVELTY: 0.005434±0.0000, AVERAGE_POPULARITY: 0.563745±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.906088±0.0004, DIVERSITY_HERFINDAHL: 0.990605±0.0000, COVERAGE_ITEM: 0.450132±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.080121±0.0005, SHANNON_ENTROPY: 8.397450±0.0085, 
CrossSearchBayesianSkopt: Config 45 is suboptimal. Config: {'topK': 23, 'shrink': 1999, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.10901103216609401, 'tversky_beta': 1.9421473380175476} - results: ROC_AUC: 0.073545±0.0008, PRECISION: 0.009981±0.0001, PRECISION_RECALL_MIN_DEN: 0.099814±0.0011, RECALL: 0.099814±0.0011, MAP: 0.053062±0.0009, MRR: 0.053062±0.0009, NDCG: 0.064141±0.0008, F1: 0.018148±0.0002, HIT_RATE: 0.099814±0.0011, ARHR: 0.053062±0.0009, RMSE: 0.993730±0.0000, NOVELTY: 0.006490±0.0000, AVERAGE_POPULARITY: 0.251079±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.988264±0.0000, DIVERSITY_HERFINDAHL: 0.998822±0.0000, COVERAGE_ITEM: 0.766867±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239929±0.0003, SHANNON_ENTROPY: 11.516154±0.0039, 
CrossSearchBayesianSkopt: Config 46 is suboptimal. Config: {'topK': 3, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.063188±0.0006, PRECISION: 0.008610±0.0001, PRECISION_RECALL_MIN_DEN: 0.086096±0.0007, RECALL: 0.086096±0.0007, MAP: 0.045573±0.0006, MRR: 0.045573±0.0006, NDCG: 0.055164±0.0005, F1: 0.015654±0.0001, HIT_RATE: 0.086096±0.0007, ARHR: 0.045573±0.0006, RMSE: 0.997288±0.0000, NOVELTY: 0.006149±0.0000, AVERAGE_POPULARITY: 0.290824±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.980225±0.0001, DIVERSITY_HERFINDAHL: 0.998018±0.0000, COVERAGE_ITEM: 0.457518±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.150545±0.0008, SHANNON_ENTROPY: 10.312921±0.0084, 
CrossSearchBayesianSkopt: Config 47 is suboptimal. Config: {'topK': 3, 'shrink': 2000, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.063188±0.0006, PRECISION: 0.008610±0.0001, PRECISION_RECALL_MIN_DEN: 0.086096±0.0007, RECALL: 0.086096±0.0007, MAP: 0.045573±0.0006, MRR: 0.045573±0.0006, NDCG: 0.055164±0.0005, F1: 0.015654±0.0001, HIT_RATE: 0.086096±0.0007, ARHR: 0.045573±0.0006, RMSE: 0.997288±0.0000, NOVELTY: 0.006149±0.0000, AVERAGE_POPULARITY: 0.290824±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.980225±0.0001, DIVERSITY_HERFINDAHL: 0.998018±0.0000, COVERAGE_ITEM: 0.457518±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.150545±0.0008, SHANNON_ENTROPY: 10.312921±0.0084, 
CrossSearchBayesianSkopt: Config 48 is suboptimal. Config: {'topK': 180, 'shrink': 1999, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.8733744835204271, 'tversky_beta': 0.7421587485280151} - results: ROC_AUC: 0.069912±0.0007, PRECISION: 0.009531±0.0001, PRECISION_RECALL_MIN_DEN: 0.095309±0.0008, RECALL: 0.095309±0.0008, MAP: 0.050611±0.0004, MRR: 0.050611±0.0004, NDCG: 0.061187±0.0005, F1: 0.017329±0.0001, HIT_RATE: 0.095309±0.0008, ARHR: 0.050611±0.0004, RMSE: 0.988771±0.0001, NOVELTY: 0.006115±0.0000, AVERAGE_POPULARITY: 0.365210±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.970663±0.0001, DIVERSITY_HERFINDAHL: 0.997062±0.0000, COVERAGE_ITEM: 0.715220±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.184187±0.0008, SHANNON_ENTROPY: 10.560014±0.0057, 
CrossSearchBayesianSkopt: Config 49 is suboptimal. Config: {'topK': 8, 'shrink': 1143, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.0576209986473233, 'tversky_beta': 1.9383505150237013} - results: ROC_AUC: 0.073745±0.0008, PRECISION: 0.009936±0.0001, PRECISION_RECALL_MIN_DEN: 0.099362±0.0008, RECALL: 0.099362±0.0008, MAP: 0.053295±0.0007, MRR: 0.053295±0.0007, NDCG: 0.064225±0.0006, F1: 0.018066±0.0001, HIT_RATE: 0.099362±0.0008, ARHR: 0.053295±0.0007, RMSE: 0.991886±0.0001, NOVELTY: 0.006690±0.0000, AVERAGE_POPULARITY: 0.191503±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.992558±0.0001, DIVERSITY_HERFINDAHL: 0.999251±0.0000, COVERAGE_ITEM: 0.784136±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.276521±0.0007, SHANNON_ENTROPY: 11.930765±0.0061, 
CrossSearchBayesianSkopt: Config 50 is suboptimal. Config: {'topK': 4, 'shrink': 1274, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.8267023038221473, 'tversky_beta': 0.24525749541915293} - results: ROC_AUC: 0.070888±0.0009, PRECISION: 0.009424±0.0001, PRECISION_RECALL_MIN_DEN: 0.094245±0.0009, RECALL: 0.094245±0.0009, MAP: 0.051484±0.0006, MRR: 0.051484±0.0006, NDCG: 0.061657±0.0007, F1: 0.017135±0.0002, HIT_RATE: 0.094245±0.0009, ARHR: 0.051484±0.0006, RMSE: 0.993813±0.0001, NOVELTY: 0.006752±0.0000, AVERAGE_POPULARITY: 0.165737±0.0011, DIVERSITY_MEAN_INTER_LIST: 0.988639±0.0001, DIVERSITY_HERFINDAHL: 0.998860±0.0000, COVERAGE_ITEM: 0.761027±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.259195±0.0009, SHANNON_ENTROPY: 11.731039±0.0054, 
CrossSearchBayesianSkopt: Config 51 is suboptimal. Config: {'topK': 5, 'shrink': 1998, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.2988549024470771, 'tversky_beta': 1.6858619251933806} - results: ROC_AUC: 0.073393±0.0010, PRECISION: 0.009857±0.0001, PRECISION_RECALL_MIN_DEN: 0.098572±0.0010, RECALL: 0.098572±0.0010, MAP: 0.053326±0.0007, MRR: 0.053326±0.0007, NDCG: 0.064063±0.0007, F1: 0.017922±0.0002, HIT_RATE: 0.098572±0.0010, ARHR: 0.053326±0.0007, RMSE: 0.995352±0.0000, NOVELTY: 0.006655±0.0000, AVERAGE_POPULARITY: 0.192638±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.990344±0.0001, DIVERSITY_HERFINDAHL: 0.999030±0.0000, COVERAGE_ITEM: 0.767699±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.254240±0.0010, SHANNON_ENTROPY: 11.723629±0.0083, 
