CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 605, 'shrink': 840, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.049696±0.0012, PRECISION: 0.006939±0.0002, PRECISION_RECALL_MIN_DEN: 0.069390±0.0016, RECALL: 0.069390±0.0016, MAP: 0.035885±0.0010, MRR: 0.035885±0.0010, NDCG: 0.043776±0.0011, F1: 0.012616±0.0003, HIT_RATE: 0.069390±0.0016, ARHR: 0.035885±0.0010, RMSE: 0.975580±0.0002, NOVELTY: 0.005300±0.0000, AVERAGE_POPULARITY: 0.626583±0.0069, DIVERSITY_MEAN_INTER_LIST: 0.850619±0.0015, DIVERSITY_HERFINDAHL: 0.985058±0.0001, COVERAGE_ITEM: 0.389630±0.0066, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.064997±0.0005, SHANNON_ENTROPY: 7.646796±0.0115, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 266, 'shrink': 1887, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.057864±0.0008, PRECISION: 0.008018±0.0001, PRECISION_RECALL_MIN_DEN: 0.080182±0.0012, RECALL: 0.080182±0.0012, MAP: 0.041466±0.0008, MRR: 0.041466±0.0008, NDCG: 0.050608±0.0008, F1: 0.014579±0.0002, HIT_RATE: 0.080182±0.0012, ARHR: 0.041466±0.0008, RMSE: 0.986998±0.0001, NOVELTY: 0.005873±0.0000, AVERAGE_POPULARITY: 0.448617±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.945762±0.0004, DIVERSITY_HERFINDAHL: 0.994572±0.0000, COVERAGE_ITEM: 0.672506±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.153892±0.0010, SHANNON_ENTROPY: 9.792313±0.0142, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 502, 'shrink': 6, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.053598±0.0012, PRECISION: 0.007273±0.0001, PRECISION_RECALL_MIN_DEN: 0.072732±0.0012, RECALL: 0.072732±0.0012, MAP: 0.038584±0.0010, MRR: 0.038584±0.0010, NDCG: 0.046683±0.0010, F1: 0.013224±0.0002, HIT_RATE: 0.072732±0.0012, ARHR: 0.038584±0.0010, RMSE: 0.939778±0.0002, NOVELTY: 0.006376±0.0000, AVERAGE_POPULARITY: 0.285165±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.977316±0.0003, DIVERSITY_HERFINDAHL: 0.997727±0.0000, COVERAGE_ITEM: 0.875566±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.276852±0.0013, SHANNON_ENTROPY: 11.468486±0.0105, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 661, 'shrink': 191, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.056028±0.0010, PRECISION: 0.007727±0.0001, PRECISION_RECALL_MIN_DEN: 0.077273±0.0010, RECALL: 0.077273±0.0010, MAP: 0.040382±0.0007, MRR: 0.040382±0.0007, NDCG: 0.049097±0.0008, F1: 0.014050±0.0002, HIT_RATE: 0.077273±0.0010, ARHR: 0.040382±0.0007, RMSE: 0.953693±0.0002, NOVELTY: 0.005547±0.0000, AVERAGE_POPULARITY: 0.511676±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.919756±0.0010, DIVERSITY_HERFINDAHL: 0.991971±0.0001, COVERAGE_ITEM: 0.479157±0.0063, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.095113±0.0006, SHANNON_ENTROPY: 8.794501±0.0130, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 72, 'shrink': 1045, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.054140±0.0007, PRECISION: 0.007610±0.0001, PRECISION_RECALL_MIN_DEN: 0.076102±0.0007, RECALL: 0.076102±0.0007, MAP: 0.038820±0.0007, MRR: 0.038820±0.0007, NDCG: 0.047598±0.0006, F1: 0.013837±0.0001, HIT_RATE: 0.076102±0.0007, ARHR: 0.038820±0.0007, RMSE: 0.924438±0.0007, NOVELTY: 0.005570±0.0000, AVERAGE_POPULARITY: 0.489942±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.942024±0.0003, DIVERSITY_HERFINDAHL: 0.994198±0.0000, COVERAGE_ITEM: 0.455994±0.0047, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.099221±0.0006, SHANNON_ENTROPY: 9.073095±0.0066, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 713, 'shrink': 1755, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.046399±0.0011, PRECISION: 0.006471±0.0001, PRECISION_RECALL_MIN_DEN: 0.064714±0.0013, RECALL: 0.064714±0.0013, MAP: 0.033589±0.0010, MRR: 0.033589±0.0010, NDCG: 0.040918±0.0011, F1: 0.011766±0.0002, HIT_RATE: 0.064714±0.0013, ARHR: 0.033589±0.0010, RMSE: 0.901000±0.0008, NOVELTY: 0.005217±0.0000, AVERAGE_POPULARITY: 0.673737±0.0075, DIVERSITY_MEAN_INTER_LIST: 0.802723±0.0017, DIVERSITY_HERFINDAHL: 0.980268±0.0002, COVERAGE_ITEM: 0.366499±0.0065, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.056055±0.0004, SHANNON_ENTROPY: 7.140348±0.0100, 
CrossSearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 693, 'shrink': 1648, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.046580±0.0011, PRECISION: 0.006540±0.0001, PRECISION_RECALL_MIN_DEN: 0.065396±0.0014, RECALL: 0.065396±0.0014, MAP: 0.033759±0.0010, MRR: 0.033759±0.0010, NDCG: 0.041197±0.0011, F1: 0.011890±0.0003, HIT_RATE: 0.065396±0.0014, ARHR: 0.033759±0.0010, RMSE: 0.897388±0.0008, NOVELTY: 0.005224±0.0000, AVERAGE_POPULARITY: 0.669808±0.0074, DIVERSITY_MEAN_INTER_LIST: 0.807387±0.0018, DIVERSITY_HERFINDAHL: 0.980735±0.0002, COVERAGE_ITEM: 0.368867±0.0064, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.056800±0.0004, SHANNON_ENTROPY: 7.185212±0.0100, 
CrossSearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 917, 'shrink': 1385, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.051027±0.0005, PRECISION: 0.007190±0.0001, PRECISION_RECALL_MIN_DEN: 0.071896±0.0010, RECALL: 0.071896±0.0010, MAP: 0.036741±0.0006, MRR: 0.036741±0.0006, NDCG: 0.045008±0.0006, F1: 0.013072±0.0002, HIT_RATE: 0.071896±0.0010, ARHR: 0.036741±0.0006, RMSE: 0.974953±0.0001, NOVELTY: 0.005538±0.0000, AVERAGE_POPULARITY: 0.565636±0.0064, DIVERSITY_MEAN_INTER_LIST: 0.888886±0.0006, DIVERSITY_HERFINDAHL: 0.988884±0.0001, COVERAGE_ITEM: 0.578546±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.101459±0.0006, SHANNON_ENTROPY: 8.497713±0.0077, 
CrossSearchBayesianSkopt: Config 35 is suboptimal. Config: {'topK': 355, 'shrink': 1247, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.056884±0.0008, PRECISION: 0.007926±0.0001, PRECISION_RECALL_MIN_DEN: 0.079261±0.0013, RECALL: 0.079261±0.0013, MAP: 0.040921±0.0007, MRR: 0.040921±0.0007, NDCG: 0.049958±0.0008, F1: 0.014411±0.0002, HIT_RATE: 0.079261±0.0013, ARHR: 0.040921±0.0007, RMSE: 0.980116±0.0001, NOVELTY: 0.005875±0.0000, AVERAGE_POPULARITY: 0.448094±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.945934±0.0004, DIVERSITY_HERFINDAHL: 0.994589±0.0000, COVERAGE_ITEM: 0.670841±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.154111±0.0009, SHANNON_ENTROPY: 9.791135±0.0127, 
CrossSearchBayesianSkopt: Config 36 is suboptimal. Config: {'topK': 344, 'shrink': 1066, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.057472±0.0006, PRECISION: 0.007985±0.0001, PRECISION_RECALL_MIN_DEN: 0.079846±0.0010, RECALL: 0.079846±0.0010, MAP: 0.041413±0.0005, MRR: 0.041413±0.0005, NDCG: 0.050475±0.0006, F1: 0.014518±0.0002, HIT_RATE: 0.079846±0.0010, ARHR: 0.041413±0.0005, RMSE: 0.977973±0.0001, NOVELTY: 0.005937±0.0000, AVERAGE_POPULARITY: 0.428083±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.952591±0.0004, DIVERSITY_HERFINDAHL: 0.995255±0.0000, COVERAGE_ITEM: 0.682844±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.163881±0.0009, SHANNON_ENTROPY: 9.992145±0.0120, 
CrossSearchBayesianSkopt: Config 37 is suboptimal. Config: {'topK': 294, 'shrink': 800, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.051606±0.0011, PRECISION: 0.007224±0.0001, PRECISION_RECALL_MIN_DEN: 0.072242±0.0012, RECALL: 0.072242±0.0012, MAP: 0.037206±0.0010, MRR: 0.037206±0.0010, NDCG: 0.045456±0.0010, F1: 0.013135±0.0002, HIT_RATE: 0.072242±0.0012, ARHR: 0.037206±0.0010, RMSE: 0.872292±0.0011, NOVELTY: 0.005390±0.0000, AVERAGE_POPULARITY: 0.579270±0.0067, DIVERSITY_MEAN_INTER_LIST: 0.892310±0.0009, DIVERSITY_HERFINDAHL: 0.989227±0.0001, COVERAGE_ITEM: 0.420643±0.0059, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.076453±0.0004, SHANNON_ENTROPY: 8.174988±0.0092, 
CrossSearchBayesianSkopt: Config 38 is suboptimal. Config: {'topK': 911, 'shrink': 1899, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.045586±0.0012, PRECISION: 0.006417±0.0002, PRECISION_RECALL_MIN_DEN: 0.064167±0.0016, RECALL: 0.064167±0.0016, MAP: 0.032945±0.0010, MRR: 0.032945±0.0010, NDCG: 0.040286±0.0011, F1: 0.011667±0.0003, HIT_RATE: 0.064167±0.0016, ARHR: 0.032945±0.0010, RMSE: 0.902997±0.0008, NOVELTY: 0.005192±0.0000, AVERAGE_POPULARITY: 0.687789±0.0076, DIVERSITY_MEAN_INTER_LIST: 0.784135±0.0015, DIVERSITY_HERFINDAHL: 0.978410±0.0001, COVERAGE_ITEM: 0.352247±0.0067, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.052700±0.0004, SHANNON_ENTROPY: 6.964406±0.0103, 
CrossSearchBayesianSkopt: Config 39 is suboptimal. Config: {'topK': 132, 'shrink': 1666, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.051227±0.0009, PRECISION: 0.007176±0.0001, PRECISION_RECALL_MIN_DEN: 0.071762±0.0013, RECALL: 0.071762±0.0013, MAP: 0.036846±0.0007, MRR: 0.036846±0.0007, NDCG: 0.045068±0.0008, F1: 0.013048±0.0002, HIT_RATE: 0.071762±0.0013, ARHR: 0.036846±0.0007, RMSE: 0.929376±0.0006, NOVELTY: 0.005442±0.0000, AVERAGE_POPULARITY: 0.556842±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.907837±0.0008, DIVERSITY_HERFINDAHL: 0.990779±0.0001, COVERAGE_ITEM: 0.439708±0.0054, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085592±0.0008, SHANNON_ENTROPY: 8.466803±0.0124, 
CrossSearchBayesianSkopt: Config 40 is suboptimal. Config: {'topK': 733, 'shrink': 995, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.048568±0.0012, PRECISION: 0.006786±0.0001, PRECISION_RECALL_MIN_DEN: 0.067864±0.0014, RECALL: 0.067864±0.0014, MAP: 0.035103±0.0010, MRR: 0.035103±0.0010, NDCG: 0.042816±0.0011, F1: 0.012339±0.0003, HIT_RATE: 0.067864±0.0014, ARHR: 0.035103±0.0010, RMSE: 0.863541±0.0011, NOVELTY: 0.005264±0.0000, AVERAGE_POPULARITY: 0.646417±0.0072, DIVERSITY_MEAN_INTER_LIST: 0.830918±0.0014, DIVERSITY_HERFINDAHL: 0.983088±0.0001, COVERAGE_ITEM: 0.376415±0.0063, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.060747±0.0004, SHANNON_ENTROPY: 7.426167±0.0102, 
CrossSearchBayesianSkopt: Config 41 is suboptimal. Config: {'topK': 678, 'shrink': 1612, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.046671±0.0011, PRECISION: 0.006552±0.0002, PRECISION_RECALL_MIN_DEN: 0.065521±0.0015, RECALL: 0.065521±0.0015, MAP: 0.033832±0.0011, MRR: 0.033832±0.0011, NDCG: 0.041282±0.0012, F1: 0.011913±0.0003, HIT_RATE: 0.065521±0.0015, ARHR: 0.033832±0.0011, RMSE: 0.896310±0.0009, NOVELTY: 0.005228±0.0000, AVERAGE_POPULARITY: 0.667729±0.0073, DIVERSITY_MEAN_INTER_LIST: 0.810088±0.0016, DIVERSITY_HERFINDAHL: 0.981005±0.0002, COVERAGE_ITEM: 0.370003±0.0066, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.057246±0.0004, SHANNON_ENTROPY: 7.210017±0.0107, 
CrossSearchBayesianSkopt: Config 42 is suboptimal. Config: {'topK': 610, 'shrink': 32, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.059000±0.0010, PRECISION: 0.008043±0.0001, PRECISION_RECALL_MIN_DEN: 0.080432±0.0013, RECALL: 0.080432±0.0013, MAP: 0.042437±0.0009, MRR: 0.042437±0.0009, NDCG: 0.051439±0.0010, F1: 0.014624±0.0002, HIT_RATE: 0.080432±0.0013, ARHR: 0.042437±0.0009, RMSE: 0.773469±0.0012, NOVELTY: 0.006027±0.0000, AVERAGE_POPULARITY: 0.380250±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.959955±0.0006, DIVERSITY_HERFINDAHL: 0.995991±0.0001, COVERAGE_ITEM: 0.737551±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.178283±0.0011, SHANNON_ENTROPY: 10.314889±0.0146, 
CrossSearchBayesianSkopt: Config 43 is suboptimal. Config: {'topK': 168, 'shrink': 1002, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.052103±0.0008, PRECISION: 0.007299±0.0001, PRECISION_RECALL_MIN_DEN: 0.072991±0.0009, RECALL: 0.072991±0.0009, MAP: 0.037460±0.0008, MRR: 0.037460±0.0008, NDCG: 0.045831±0.0007, F1: 0.013271±0.0002, HIT_RATE: 0.072991±0.0009, ARHR: 0.037460±0.0008, RMSE: 0.900073±0.0009, NOVELTY: 0.005444±0.0000, AVERAGE_POPULARITY: 0.552868±0.0064, DIVERSITY_MEAN_INTER_LIST: 0.910573±0.0007, DIVERSITY_HERFINDAHL: 0.991053±0.0001, COVERAGE_ITEM: 0.434723±0.0055, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.083898±0.0006, SHANNON_ENTROPY: 8.468834±0.0096, 
CrossSearchBayesianSkopt: Config 44 is suboptimal. Config: {'topK': 812, 'shrink': 1086, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.047945±0.0012, PRECISION: 0.006713±0.0001, PRECISION_RECALL_MIN_DEN: 0.067134±0.0014, RECALL: 0.067134±0.0014, MAP: 0.034656±0.0011, MRR: 0.034656±0.0011, NDCG: 0.042300±0.0011, F1: 0.012206±0.0003, HIT_RATE: 0.067134±0.0014, ARHR: 0.034656±0.0011, RMSE: 0.867632±0.0011, NOVELTY: 0.005246±0.0000, AVERAGE_POPULARITY: 0.656428±0.0075, DIVERSITY_MEAN_INTER_LIST: 0.819722±0.0016, DIVERSITY_HERFINDAHL: 0.981968±0.0002, COVERAGE_ITEM: 0.369386±0.0068, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058572±0.0003, SHANNON_ENTROPY: 7.313034±0.0091, 
CrossSearchBayesianSkopt: Config 45 is suboptimal. Config: {'topK': 172, 'shrink': 121, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.059387±0.0007, PRECISION: 0.008208±0.0001, PRECISION_RECALL_MIN_DEN: 0.082084±0.0008, RECALL: 0.082084±0.0008, MAP: 0.042353±0.0006, MRR: 0.042353±0.0006, NDCG: 0.051750±0.0006, F1: 0.014924±0.0001, HIT_RATE: 0.082084±0.0008, ARHR: 0.042353±0.0006, RMSE: 0.966107±0.0002, NOVELTY: 0.005785±0.0000, AVERAGE_POPULARITY: 0.416828±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.961306±0.0003, DIVERSITY_HERFINDAHL: 0.996126±0.0000, COVERAGE_ITEM: 0.549175±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124937±0.0008, SHANNON_ENTROPY: 9.750312±0.0106, 
CrossSearchBayesianSkopt: Config 46 is suboptimal. Config: {'topK': 697, 'shrink': 1975, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.051741±0.0006, PRECISION: 0.007309±0.0001, PRECISION_RECALL_MIN_DEN: 0.073087±0.0008, RECALL: 0.073087±0.0008, MAP: 0.037224±0.0006, MRR: 0.037224±0.0006, NDCG: 0.045653±0.0006, F1: 0.013289±0.0001, HIT_RATE: 0.073087±0.0008, ARHR: 0.037224±0.0006, RMSE: 0.982523±0.0001, NOVELTY: 0.005541±0.0000, AVERAGE_POPULARITY: 0.565088±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.890180±0.0007, DIVERSITY_HERFINDAHL: 0.989014±0.0001, COVERAGE_ITEM: 0.580989±0.0048, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102816±0.0007, SHANNON_ENTROPY: 8.526354±0.0094, 
CrossSearchBayesianSkopt: Config 47 is suboptimal. Config: {'topK': 898, 'shrink': 1547, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.050745±0.0005, PRECISION: 0.007150±0.0001, PRECISION_RECALL_MIN_DEN: 0.071503±0.0011, RECALL: 0.071503±0.0011, MAP: 0.036532±0.0006, MRR: 0.036532±0.0006, NDCG: 0.044756±0.0006, F1: 0.013000±0.0002, HIT_RATE: 0.071503±0.0011, ARHR: 0.036532±0.0006, RMSE: 0.977133±0.0001, NOVELTY: 0.005520±0.0000, AVERAGE_POPULARITY: 0.572783±0.0065, DIVERSITY_MEAN_INTER_LIST: 0.884551±0.0006, DIVERSITY_HERFINDAHL: 0.988451±0.0001, COVERAGE_ITEM: 0.572252±0.0045, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.098912±0.0007, SHANNON_ENTROPY: 8.420940±0.0084, 
CrossSearchBayesianSkopt: Config 48 is suboptimal. Config: {'topK': 518, 'shrink': 1179, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.048543±0.0012, PRECISION: 0.006784±0.0002, PRECISION_RECALL_MIN_DEN: 0.067844±0.0015, RECALL: 0.067844±0.0015, MAP: 0.035112±0.0010, MRR: 0.035112±0.0010, NDCG: 0.042819±0.0011, F1: 0.012335±0.0003, HIT_RATE: 0.067844±0.0015, ARHR: 0.035112±0.0010, RMSE: 0.980790±0.0001, NOVELTY: 0.005280±0.0000, AVERAGE_POPULARITY: 0.638240±0.0069, DIVERSITY_MEAN_INTER_LIST: 0.841707±0.0014, DIVERSITY_HERFINDAHL: 0.984167±0.0001, COVERAGE_ITEM: 0.389435±0.0062, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.063443±0.0005, SHANNON_ENTROPY: 7.543284±0.0115, 
CrossSearchBayesianSkopt: Config 49 is suboptimal. Config: {'topK': 769, 'shrink': 269, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.054635±0.0011, PRECISION: 0.007574±0.0001, PRECISION_RECALL_MIN_DEN: 0.075737±0.0014, RECALL: 0.075737±0.0014, MAP: 0.039435±0.0010, MRR: 0.039435±0.0010, NDCG: 0.048001±0.0010, F1: 0.013770±0.0003, HIT_RATE: 0.075737±0.0014, ARHR: 0.039435±0.0010, RMSE: 0.956872±0.0002, NOVELTY: 0.005462±0.0000, AVERAGE_POPULARITY: 0.547163±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.900971±0.0011, DIVERSITY_HERFINDAHL: 0.990093±0.0001, COVERAGE_ITEM: 0.446380±0.0068, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.084240±0.0005, SHANNON_ENTROPY: 8.430110±0.0126, 
CrossSearchBayesianSkopt: Config 50 is suboptimal. Config: {'topK': 669, 'shrink': 253, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.054783±0.0013, PRECISION: 0.007592±0.0001, PRECISION_RECALL_MIN_DEN: 0.075919±0.0011, RECALL: 0.075919±0.0011, MAP: 0.039641±0.0010, MRR: 0.039641±0.0010, NDCG: 0.048199±0.0009, F1: 0.013804±0.0002, HIT_RATE: 0.075919±0.0011, ARHR: 0.039641±0.0010, RMSE: 0.935799±0.0002, NOVELTY: 0.006412±0.0000, AVERAGE_POPULARITY: 0.298080±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.980079±0.0001, DIVERSITY_HERFINDAHL: 0.998003±0.0000, COVERAGE_ITEM: 0.761308±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.249031±0.0005, SHANNON_ENTROPY: 11.271229±0.0072, 
CrossSearchBayesianSkopt: Config 51 is suboptimal. Config: {'topK': 287, 'shrink': 134, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.058124±0.0010, PRECISION: 0.008035±0.0001, PRECISION_RECALL_MIN_DEN: 0.080346±0.0010, RECALL: 0.080346±0.0010, MAP: 0.041553±0.0007, MRR: 0.041553±0.0007, NDCG: 0.050725±0.0007, F1: 0.014608±0.0002, HIT_RATE: 0.080346±0.0010, ARHR: 0.041553±0.0007, RMSE: 0.811536±0.0014, NOVELTY: 0.005711±0.0000, AVERAGE_POPULARITY: 0.446825±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.950269±0.0005, DIVERSITY_HERFINDAHL: 0.995022±0.0000, COVERAGE_ITEM: 0.532328±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116251±0.0008, SHANNON_ENTROPY: 9.464687±0.0107, 
CrossSearchBayesianSkopt: Config 52 is suboptimal. Config: {'topK': 265, 'shrink': 1105, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.050550±0.0012, PRECISION: 0.007057±0.0001, PRECISION_RECALL_MIN_DEN: 0.070571±0.0014, RECALL: 0.070571±0.0014, MAP: 0.036372±0.0011, MRR: 0.036372±0.0011, NDCG: 0.044432±0.0012, F1: 0.012831±0.0003, HIT_RATE: 0.070571±0.0014, ARHR: 0.036372±0.0011, RMSE: 0.982900±0.0001, NOVELTY: 0.005371±0.0000, AVERAGE_POPULARITY: 0.590912±0.0070, DIVERSITY_MEAN_INTER_LIST: 0.884612±0.0009, DIVERSITY_HERFINDAHL: 0.988457±0.0001, COVERAGE_ITEM: 0.421238±0.0054, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.075145±0.0004, SHANNON_ENTROPY: 8.077761±0.0082, 
CrossSearchBayesianSkopt: Config 53 is suboptimal. Config: {'topK': 155, 'shrink': 952, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.052665±0.0008, PRECISION: 0.007327±0.0001, PRECISION_RECALL_MIN_DEN: 0.073269±0.0009, RECALL: 0.073269±0.0009, MAP: 0.037806±0.0008, MRR: 0.037806±0.0008, NDCG: 0.046173±0.0008, F1: 0.013322±0.0002, HIT_RATE: 0.073269±0.0009, ARHR: 0.037806±0.0008, RMSE: 0.984044±0.0001, NOVELTY: 0.005461±0.0000, AVERAGE_POPULARITY: 0.543991±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.915868±0.0007, DIVERSITY_HERFINDAHL: 0.991582±0.0001, COVERAGE_ITEM: 0.436442±0.0054, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085819±0.0006, SHANNON_ENTROPY: 8.554102±0.0099, 
CrossSearchBayesianSkopt: Config 54 is suboptimal. Config: {'topK': 749, 'shrink': 1517, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.046849±0.0011, PRECISION: 0.006560±0.0001, PRECISION_RECALL_MIN_DEN: 0.065598±0.0015, RECALL: 0.065598±0.0015, MAP: 0.033916±0.0010, MRR: 0.033916±0.0010, NDCG: 0.041370±0.0011, F1: 0.011927±0.0003, HIT_RATE: 0.065598±0.0015, ARHR: 0.033916±0.0010, RMSE: 0.890918±0.0009, NOVELTY: 0.005223±0.0000, AVERAGE_POPULARITY: 0.669714±0.0074, DIVERSITY_MEAN_INTER_LIST: 0.807037±0.0014, DIVERSITY_HERFINDAHL: 0.980700±0.0001, COVERAGE_ITEM: 0.366099±0.0060, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.056498±0.0004, SHANNON_ENTROPY: 7.178825±0.0098, 
CrossSearchBayesianSkopt: Config 55 is suboptimal. Config: {'topK': 765, 'shrink': 1212, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.047615±0.0012, PRECISION: 0.006677±0.0002, PRECISION_RECALL_MIN_DEN: 0.066769±0.0016, RECALL: 0.066769±0.0016, MAP: 0.034505±0.0011, MRR: 0.034505±0.0011, NDCG: 0.042093±0.0012, F1: 0.012140±0.0003, HIT_RATE: 0.066769±0.0016, ARHR: 0.034505±0.0011, RMSE: 0.875838±0.0011, NOVELTY: 0.005240±0.0000, AVERAGE_POPULARITY: 0.659616±0.0073, DIVERSITY_MEAN_INTER_LIST: 0.817563±0.0012, DIVERSITY_HERFINDAHL: 0.981752±0.0001, COVERAGE_ITEM: 0.369213±0.0063, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058204±0.0004, SHANNON_ENTROPY: 7.284720±0.0107, 
