CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 474, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.4840121401836927e-12, 'lambda_j': 8.645393989967818e-08, 'learning_rate': 7.142193913508191e-05} - results: ROC_AUC: 0.027345±0.0013, PRECISION: 0.004332±0.0002, PRECISION_RECALL_MIN_DEN: 0.043317±0.0016, RECALL: 0.043317±0.0016, MAP: 0.019170±0.0009, MRR: 0.019170±0.0009, NDCG: 0.024754±0.0008, F1: 0.007876±0.0003, HIT_RATE: 0.043317±0.0016, ARHR: 0.019170±0.0009, RMSE: 0.824105±0.0034, NOVELTY: 0.004984±0.0000, AVERAGE_POPULARITY: 0.780187±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.697745±0.0027, DIVERSITY_HERFINDAHL: 0.969757±0.0003, COVERAGE_ITEM: 0.018794±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119579±0.0015, SHANNON_ENTROPY: 5.702696±0.0082, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 649, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 5.998992227155677e-09, 'lambda_j': 7.097790439469492e-11, 'learning_rate': 1.3028543539981806e-06} - results: ROC_AUC: 0.026861±0.0015, PRECISION: 0.004220±0.0001, PRECISION_RECALL_MIN_DEN: 0.042201±0.0013, RECALL: 0.042201±0.0013, MAP: 0.018909±0.0011, MRR: 0.018909±0.0011, NDCG: 0.024297±0.0009, F1: 0.007673±0.0002, HIT_RATE: 0.042201±0.0013, ARHR: 0.018909±0.0011, RMSE: 0.993064±0.0001, NOVELTY: 0.004970±0.0000, AVERAGE_POPULARITY: 0.791557±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.676119±0.0024, DIVERSITY_HERFINDAHL: 0.967595±0.0002, COVERAGE_ITEM: 0.016296±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123365±0.0017, SHANNON_ENTROPY: 5.559332±0.0097, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 829, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 8.929459963009942e-10, 'lambda_j': 1.7876793034559062e-08, 'learning_rate': 5.122918669878724e-06} - results: ROC_AUC: 0.031730±0.0007, PRECISION: 0.004895±0.0001, PRECISION_RECALL_MIN_DEN: 0.048948±0.0009, RECALL: 0.048948±0.0009, MAP: 0.021743±0.0011, MRR: 0.021743±0.0011, NDCG: 0.028080±0.0008, F1: 0.008900±0.0002, HIT_RATE: 0.048948±0.0009, ARHR: 0.021743±0.0011, RMSE: 0.999627±0.0000, NOVELTY: 0.005050±0.0000, AVERAGE_POPULARITY: 0.737856±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.762847±0.0016, DIVERSITY_HERFINDAHL: 0.976265±0.0002, COVERAGE_ITEM: 0.027424±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120194±0.0021, SHANNON_ENTROPY: 6.186302±0.0093, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 632, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 3.514991943012063e-11, 'lambda_j': 0.0003949819570922057, 'learning_rate': 1.756933046890702e-07} - results: ROC_AUC: 0.027114±0.0014, PRECISION: 0.004225±0.0001, PRECISION_RECALL_MIN_DEN: 0.042252±0.0013, RECALL: 0.042252±0.0013, MAP: 0.018820±0.0010, MRR: 0.018820±0.0010, NDCG: 0.024255±0.0009, F1: 0.007682±0.0002, HIT_RATE: 0.042252±0.0013, ARHR: 0.018820±0.0010, RMSE: 0.999070±0.0000, NOVELTY: 0.004970±0.0000, AVERAGE_POPULARITY: 0.791238±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.677417±0.0026, DIVERSITY_HERFINDAHL: 0.967725±0.0003, COVERAGE_ITEM: 0.016394±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123195±0.0011, SHANNON_ENTROPY: 5.565766±0.0093, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 693, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.07765727236565517, 'lambda_j': 4.150028456384522e-06, 'learning_rate': 3.18064351926027e-06} - results: ROC_AUC: 0.032136±0.0006, PRECISION: 0.004976±0.0001, PRECISION_RECALL_MIN_DEN: 0.049759±0.0006, RECALL: 0.049759±0.0006, MAP: 0.021916±0.0010, MRR: 0.021916±0.0010, NDCG: 0.028398±0.0008, F1: 0.009047±0.0001, HIT_RATE: 0.049759±0.0006, ARHR: 0.021916±0.0010, RMSE: 0.999781±0.0000, NOVELTY: 0.005061±0.0000, AVERAGE_POPULARITY: 0.730505±0.0064, DIVERSITY_MEAN_INTER_LIST: 0.773674±0.0033, DIVERSITY_HERFINDAHL: 0.977348±0.0003, COVERAGE_ITEM: 0.029013±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120941±0.0012, SHANNON_ENTROPY: 6.268898±0.0174, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 903, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.3621721574168983e-06, 'lambda_j': 0.028001768320434627, 'learning_rate': 5.336985708349267e-07} - results: ROC_AUC: 0.026624±0.0016, PRECISION: 0.004154±0.0001, PRECISION_RECALL_MIN_DEN: 0.041542±0.0014, RECALL: 0.041542±0.0014, MAP: 0.018567±0.0010, MRR: 0.018567±0.0010, NDCG: 0.023892±0.0009, F1: 0.007553±0.0003, HIT_RATE: 0.041542±0.0014, ARHR: 0.018567±0.0010, RMSE: 0.996945±0.0000, NOVELTY: 0.004960±0.0000, AVERAGE_POPULARITY: 0.799191±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.660158±0.0020, DIVERSITY_HERFINDAHL: 0.965999±0.0002, COVERAGE_ITEM: 0.014685±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127461±0.0017, SHANNON_ENTROPY: 5.467032±0.0073, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 793, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.09382906774246219, 'lambda_j': 4.2678321839897786e-08, 'learning_rate': 1.705397236698703e-07} - results: ROC_AUC: 0.026838±0.0013, PRECISION: 0.004185±0.0002, PRECISION_RECALL_MIN_DEN: 0.041846±0.0018, RECALL: 0.041846±0.0018, MAP: 0.018739±0.0010, MRR: 0.018739±0.0010, NDCG: 0.024094±0.0010, F1: 0.007608±0.0003, HIT_RATE: 0.041846±0.0018, ARHR: 0.018739±0.0010, RMSE: 0.999524±0.0000, NOVELTY: 0.004965±0.0000, AVERAGE_POPULARITY: 0.795177±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.668798±0.0024, DIVERSITY_HERFINDAHL: 0.966863±0.0002, COVERAGE_ITEM: 0.015453±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125745±0.0017, SHANNON_ENTROPY: 5.516484±0.0083, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 205, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 6.382435380419883e-10, 'lambda_j': 3.753473530039084e-07, 'learning_rate': 1.512401091423958e-06} - results: ROC_AUC: 0.028974±0.0007, PRECISION: 0.004540±0.0001, PRECISION_RECALL_MIN_DEN: 0.045397±0.0012, RECALL: 0.045397±0.0012, MAP: 0.020053±0.0011, MRR: 0.020053±0.0011, NDCG: 0.025933±0.0007, F1: 0.008254±0.0002, HIT_RATE: 0.045397±0.0012, ARHR: 0.020053±0.0011, RMSE: 0.997172±0.0000, NOVELTY: 0.005029±0.0000, AVERAGE_POPULARITY: 0.746395±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.759954±0.0014, DIVERSITY_HERFINDAHL: 0.975976±0.0001, COVERAGE_ITEM: 0.024763±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120723±0.0021, SHANNON_ENTROPY: 6.086682±0.0098, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 856, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.0025733789078213397, 'lambda_j': 9.675395969210137e-06, 'learning_rate': 3.893095443443691e-06} - results: ROC_AUC: 0.031809±0.0004, PRECISION: 0.004895±0.0001, PRECISION_RECALL_MIN_DEN: 0.048948±0.0008, RECALL: 0.048948±0.0008, MAP: 0.021592±0.0009, MRR: 0.021592±0.0009, NDCG: 0.027968±0.0005, F1: 0.008900±0.0001, HIT_RATE: 0.048948±0.0008, ARHR: 0.021592±0.0009, RMSE: 0.999715±0.0000, NOVELTY: 0.005047±0.0000, AVERAGE_POPULARITY: 0.739526±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.760331±0.0022, DIVERSITY_HERFINDAHL: 0.976014±0.0002, COVERAGE_ITEM: 0.027099±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120057±0.0007, SHANNON_ENTROPY: 6.168683±0.0106, 
CrossSearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 462, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.007420578303260523, 'lambda_j': 4.550439590743696e-08, 'learning_rate': 5.10143636906173e-06} - results: ROC_AUC: 0.027125±0.0012, PRECISION: 0.004266±0.0001, PRECISION_RECALL_MIN_DEN: 0.042658±0.0013, RECALL: 0.042658±0.0013, MAP: 0.018883±0.0010, MRR: 0.018883±0.0010, NDCG: 0.024388±0.0008, F1: 0.007756±0.0002, HIT_RATE: 0.042658±0.0013, ARHR: 0.018883±0.0010, RMSE: 0.975213±0.0003, NOVELTY: 0.004983±0.0000, AVERAGE_POPULARITY: 0.781506±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.697238±0.0018, DIVERSITY_HERFINDAHL: 0.969706±0.0002, COVERAGE_ITEM: 0.018491±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119410±0.0020, SHANNON_ENTROPY: 5.681572±0.0050, 
CrossSearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 645, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.301025898215948e-05, 'lambda_j': 3.180108945147361e-10, 'learning_rate': 4.737948321843154e-07} - results: ROC_AUC: 0.026832±0.0014, PRECISION: 0.004210±0.0001, PRECISION_RECALL_MIN_DEN: 0.042100±0.0015, RECALL: 0.042100±0.0015, MAP: 0.018865±0.0010, MRR: 0.018865±0.0010, NDCG: 0.024241±0.0009, F1: 0.007655±0.0003, HIT_RATE: 0.042100±0.0015, ARHR: 0.018865±0.0010, RMSE: 0.997482±0.0000, NOVELTY: 0.004970±0.0000, AVERAGE_POPULARITY: 0.791688±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.677317±0.0021, DIVERSITY_HERFINDAHL: 0.967715±0.0002, COVERAGE_ITEM: 0.016329±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123321±0.0013, SHANNON_ENTROPY: 5.562579±0.0067, 
CrossSearchBayesianSkopt: Config 35 is suboptimal. Config: {'topK': 74, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 4.78970814853447e-12, 'lambda_j': 3.939076964972592e-12, 'learning_rate': 2.816068356626714e-06} - results: ROC_AUC: 0.030637±0.0011, PRECISION: 0.004773±0.0001, PRECISION_RECALL_MIN_DEN: 0.047730±0.0010, RECALL: 0.047730±0.0010, MAP: 0.021042±0.0014, MRR: 0.021042±0.0014, NDCG: 0.027241±0.0012, F1: 0.008678±0.0002, HIT_RATE: 0.047730±0.0010, ARHR: 0.021042±0.0014, RMSE: 0.996475±0.0001, NOVELTY: 0.005111±0.0000, AVERAGE_POPULARITY: 0.689390±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.831254±0.0005, DIVERSITY_HERFINDAHL: 0.983104±0.0001, COVERAGE_ITEM: 0.032030±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140568±0.0020, SHANNON_ENTROPY: 6.670124±0.0020, 
CrossSearchBayesianSkopt: Config 36 is suboptimal. Config: {'topK': 591, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.001317296514414416, 'lambda_j': 3.8744958258533536e-09, 'learning_rate': 6.038682889314766e-05} - results: ROC_AUC: 0.029233±0.0009, PRECISION: 0.004611±0.0002, PRECISION_RECALL_MIN_DEN: 0.046107±0.0018, RECALL: 0.046107±0.0018, MAP: 0.019943±0.0009, MRR: 0.019943±0.0009, NDCG: 0.026015±0.0006, F1: 0.008383±0.0003, HIT_RATE: 0.046107±0.0018, ARHR: 0.019943±0.0009, RMSE: 0.998048±0.0000, NOVELTY: 0.005006±0.0000, AVERAGE_POPULARITY: 0.766247±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.731308±0.0013, DIVERSITY_HERFINDAHL: 0.973112±0.0001, COVERAGE_ITEM: 0.022709±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116658±0.0011, SHANNON_ENTROPY: 5.907372±0.0107, 
CrossSearchBayesianSkopt: Config 37 is suboptimal. Config: {'topK': 242, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 8.707569684647043e-09, 'lambda_j': 1.791401712814525e-11, 'learning_rate': 1.1641706942143517e-08} - results: ROC_AUC: 0.028760±0.0008, PRECISION: 0.004484±0.0001, PRECISION_RECALL_MIN_DEN: 0.044839±0.0013, RECALL: 0.044839±0.0013, MAP: 0.019989±0.0012, MRR: 0.019989±0.0012, NDCG: 0.025752±0.0008, F1: 0.008153±0.0002, HIT_RATE: 0.044839±0.0013, ARHR: 0.019989±0.0012, RMSE: 0.999977±0.0000, NOVELTY: 0.005019±0.0000, AVERAGE_POPULARITY: 0.754147±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.747612±0.0019, DIVERSITY_HERFINDAHL: 0.974742±0.0002, COVERAGE_ITEM: 0.023769±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118090±0.0019, SHANNON_ENTROPY: 5.999458±0.0106, 
CrossSearchBayesianSkopt: Config 38 is suboptimal. Config: {'topK': 71, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 6.637539915607177e-10, 'lambda_j': 6.6897328763847755e-12, 'learning_rate': 1.841408570661718e-08} - results: ROC_AUC: 0.030732±0.0009, PRECISION: 0.004768±0.0000, PRECISION_RECALL_MIN_DEN: 0.047679±0.0003, RECALL: 0.047679±0.0003, MAP: 0.021006±0.0013, MRR: 0.021006±0.0013, NDCG: 0.027212±0.0010, F1: 0.008669±0.0001, HIT_RATE: 0.047679±0.0003, ARHR: 0.021006±0.0013, RMSE: 0.999955±0.0000, NOVELTY: 0.005116±0.0000, AVERAGE_POPULARITY: 0.686413±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.834198±0.0008, DIVERSITY_HERFINDAHL: 0.983399±0.0001, COVERAGE_ITEM: 0.032722±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140278±0.0011, SHANNON_ENTROPY: 6.697103±0.0065, 
CrossSearchBayesianSkopt: Config 39 is suboptimal. Config: {'topK': 703, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.8067015519658306e-09, 'lambda_j': 0.004725848684332574, 'learning_rate': 6.232674719614853e-05} - results: ROC_AUC: 0.028574±0.0009, PRECISION: 0.004489±0.0001, PRECISION_RECALL_MIN_DEN: 0.044890±0.0014, RECALL: 0.044890±0.0014, MAP: 0.019578±0.0011, MRR: 0.019578±0.0011, NDCG: 0.025453±0.0010, F1: 0.008162±0.0003, HIT_RATE: 0.044890±0.0014, ARHR: 0.019578±0.0011, RMSE: 0.997864±0.0000, NOVELTY: 0.004994±0.0000, AVERAGE_POPULARITY: 0.774918±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.717742±0.0020, DIVERSITY_HERFINDAHL: 0.971756±0.0002, COVERAGE_ITEM: 0.021044±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116361±0.0008, SHANNON_ENTROPY: 5.806815±0.0023, 
CrossSearchBayesianSkopt: New best config found. Config 40: {'topK': 7, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.009755462435533048, 'lambda_j': 9.091470400975356e-11, 'learning_rate': 1.454021127106037e-08} - results: ROC_AUC: 0.044146±0.0012, PRECISION: 0.007025±0.0002, PRECISION_RECALL_MIN_DEN: 0.070251±0.0024, RECALL: 0.070251±0.0024, MAP: 0.028729±0.0009, MRR: 0.028729±0.0009, NDCG: 0.038402±0.0005, F1: 0.012773±0.0004, HIT_RATE: 0.070251±0.0024, ARHR: 0.028729±0.0009, RMSE: 1.000000±0.0000, NOVELTY: 0.005714±0.0000, AVERAGE_POPULARITY: 0.398749±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.958452±0.0005, DIVERSITY_HERFINDAHL: 0.995821±0.0000, COVERAGE_ITEM: 0.088197±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.201752±0.0032, SHANNON_ENTROPY: 8.693910±0.0105, 
CrossSearchBayesianSkopt: Config 41 is suboptimal. Config: {'topK': 6, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.448886150568787e-12, 'lambda_j': 3.3481580736702727e-12, 'learning_rate': 4.431710263793477e-05} - results: ROC_AUC: 0.044664±0.0012, PRECISION: 0.007061±0.0002, PRECISION_RECALL_MIN_DEN: 0.070606±0.0025, RECALL: 0.070606±0.0025, MAP: 0.028711±0.0007, MRR: 0.028711±0.0007, NDCG: 0.038491±0.0006, F1: 0.012837±0.0005, HIT_RATE: 0.070606±0.0025, ARHR: 0.028711±0.0007, RMSE: 0.999371±0.0000, NOVELTY: 0.005731±0.0000, AVERAGE_POPULARITY: 0.392375±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.959116±0.0005, DIVERSITY_HERFINDAHL: 0.995887±0.0000, COVERAGE_ITEM: 0.088737±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.203570±0.0023, SHANNON_ENTROPY: 8.716854±0.0125, 
CrossSearchBayesianSkopt: New best config found. Config 42: {'topK': 5, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.1, 'lambda_j': 1e-12, 'learning_rate': 1e-08} - results: ROC_AUC: 0.045059±0.0013, PRECISION: 0.007106±0.0002, PRECISION_RECALL_MIN_DEN: 0.071063±0.0021, RECALL: 0.071063±0.0021, MAP: 0.028995±0.0011, MRR: 0.028995±0.0011, NDCG: 0.038815±0.0008, F1: 0.012920±0.0004, HIT_RATE: 0.071063±0.0021, ARHR: 0.028995±0.0011, RMSE: 1.000000±0.0000, NOVELTY: 0.005747±0.0000, AVERAGE_POPULARITY: 0.386889±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.959628±0.0004, DIVERSITY_HERFINDAHL: 0.995938±0.0000, COVERAGE_ITEM: 0.089613±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.204037±0.0026, SHANNON_ENTROPY: 8.733825±0.0054, 
CrossSearchBayesianSkopt: Config 43 is suboptimal. Config: {'topK': 8, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.0006102503992986225, 'lambda_j': 0.03596149868125079, 'learning_rate': 7.521684767910481e-05} - results: ROC_AUC: 0.043915±0.0013, PRECISION: 0.006934±0.0002, PRECISION_RECALL_MIN_DEN: 0.069338±0.0023, RECALL: 0.069338±0.0023, MAP: 0.028350±0.0011, MRR: 0.028350±0.0011, NDCG: 0.037914±0.0008, F1: 0.012607±0.0004, HIT_RATE: 0.069338±0.0023, ARHR: 0.028350±0.0011, RMSE: 0.998860±0.0000, NOVELTY: 0.005699±0.0000, AVERAGE_POPULARITY: 0.404167±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.957751±0.0005, DIVERSITY_HERFINDAHL: 0.995751±0.0000, COVERAGE_ITEM: 0.086942±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.201158±0.0026, SHANNON_ENTROPY: 8.669286±0.0090, 
CrossSearchBayesianSkopt: New best config found. Config 44: {'topK': 5, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.1, 'lambda_j': 1e-12, 'learning_rate': 1e-08} - results: ROC_AUC: 0.044918±0.0013, PRECISION: 0.007076±0.0002, PRECISION_RECALL_MIN_DEN: 0.070758±0.0022, RECALL: 0.070758±0.0022, MAP: 0.029018±0.0011, MRR: 0.029018±0.0011, NDCG: 0.038758±0.0007, F1: 0.012865±0.0004, HIT_RATE: 0.070758±0.0022, ARHR: 0.029018±0.0011, RMSE: 1.000000±0.0000, NOVELTY: 0.005747±0.0000, AVERAGE_POPULARITY: 0.386941±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.959711±0.0003, DIVERSITY_HERFINDAHL: 0.995947±0.0000, COVERAGE_ITEM: 0.089105±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.205458±0.0024, SHANNON_ENTROPY: 8.737211±0.0059, 
CrossSearchBayesianSkopt: Config 45 is suboptimal. Config: {'topK': 14, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 3.0851693213180396e-12, 'lambda_j': 0.02871613368369655, 'learning_rate': 3.407927891298512e-08} - results: ROC_AUC: 0.043103±0.0009, PRECISION: 0.006792±0.0002, PRECISION_RECALL_MIN_DEN: 0.067918±0.0019, RECALL: 0.067918±0.0019, MAP: 0.027952±0.0009, MRR: 0.027952±0.0009, NDCG: 0.037276±0.0009, F1: 0.012349±0.0003, HIT_RATE: 0.067918±0.0019, ARHR: 0.027952±0.0009, RMSE: 0.999999±0.0000, NOVELTY: 0.005616±0.0000, AVERAGE_POPULARITY: 0.437917±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.951904±0.0005, DIVERSITY_HERFINDAHL: 0.995166±0.0001, COVERAGE_ITEM: 0.081492±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.192300±0.0018, SHANNON_ENTROPY: 8.500559±0.0086, 
CrossSearchBayesianSkopt: Config 46 is suboptimal. Config: {'topK': 5, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.1, 'lambda_j': 1e-12, 'learning_rate': 1e-08} - results: ROC_AUC: 0.044692±0.0013, PRECISION: 0.007056±0.0003, PRECISION_RECALL_MIN_DEN: 0.070555±0.0026, RECALL: 0.070555±0.0026, MAP: 0.028790±0.0009, MRR: 0.028790±0.0009, NDCG: 0.038536±0.0009, F1: 0.012828±0.0005, HIT_RATE: 0.070555±0.0026, ARHR: 0.028790±0.0009, RMSE: 1.000000±0.0000, NOVELTY: 0.005747±0.0000, AVERAGE_POPULARITY: 0.387043±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.959701±0.0003, DIVERSITY_HERFINDAHL: 0.995946±0.0000, COVERAGE_ITEM: 0.089451±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.204844±0.0030, SHANNON_ENTROPY: 8.737602±0.0088, 
CrossSearchBayesianSkopt: New best config found. Config 47: {'topK': 5, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.1, 'lambda_j': 1e-12, 'learning_rate': 1e-08} - results: ROC_AUC: 0.045115±0.0012, PRECISION: 0.007096±0.0002, PRECISION_RECALL_MIN_DEN: 0.070961±0.0023, RECALL: 0.070961±0.0023, MAP: 0.029030±0.0009, MRR: 0.029030±0.0009, NDCG: 0.038822±0.0008, F1: 0.012902±0.0004, HIT_RATE: 0.070961±0.0023, ARHR: 0.029030±0.0009, RMSE: 1.000000±0.0000, NOVELTY: 0.005746±0.0000, AVERAGE_POPULARITY: 0.387109±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.959700±0.0004, DIVERSITY_HERFINDAHL: 0.995946±0.0000, COVERAGE_ITEM: 0.089159±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.205141±0.0034, SHANNON_ENTROPY: 8.736158±0.0078, 
CrossSearchBayesianSkopt: Config 48 is suboptimal. Config: {'topK': 24, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 3.115917330545599e-12, 'lambda_j': 0.000800976127045217, 'learning_rate': 1.2256658642438106e-08} - results: ROC_AUC: 0.041125±0.0011, PRECISION: 0.006391±0.0003, PRECISION_RECALL_MIN_DEN: 0.063911±0.0029, RECALL: 0.063911±0.0029, MAP: 0.026991±0.0005, MRR: 0.026991±0.0005, NDCG: 0.035615±0.0008, F1: 0.011620±0.0005, HIT_RATE: 0.063911±0.0029, ARHR: 0.026991±0.0005, RMSE: 1.000000±0.0000, NOVELTY: 0.005515±0.0000, AVERAGE_POPULARITY: 0.482295±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.941291±0.0005, DIVERSITY_HERFINDAHL: 0.994105±0.0000, COVERAGE_ITEM: 0.073652±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.182036±0.0017, SHANNON_ENTROPY: 8.255063±0.0075, 
CrossSearchBayesianSkopt: Config 49 is suboptimal. Config: {'topK': 7, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.00017439308610957152, 'lambda_j': 0.022930270356712773, 'learning_rate': 8.893024869188171e-05} - results: ROC_AUC: 0.044270±0.0011, PRECISION: 0.007040±0.0002, PRECISION_RECALL_MIN_DEN: 0.070403±0.0024, RECALL: 0.070403±0.0024, MAP: 0.028558±0.0010, MRR: 0.028558±0.0010, NDCG: 0.038315±0.0008, F1: 0.012801±0.0004, HIT_RATE: 0.070403±0.0024, ARHR: 0.028558±0.0010, RMSE: 0.998696±0.0000, NOVELTY: 0.005712±0.0000, AVERAGE_POPULARITY: 0.399031±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.958483±0.0004, DIVERSITY_HERFINDAHL: 0.995824±0.0000, COVERAGE_ITEM: 0.087818±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.202537±0.0031, SHANNON_ENTROPY: 8.694167±0.0064, 
